white,black
4.895400000000000000e+04,1.719460000000000000e+05
2.878300000000000000e+04,9.093300000000000000e+04
2.626700000000000000e+04,8.662900000000000000e+04
2.748600000000000000e+04,9.361800000000000000e+04
6.957000000000000000e+03,2.401900000000000000e+04
6.664000000000000000e+03,2.023200000000000000e+04
7.217900000000000000e+04,3.687170000000000000e+05
2.014500000000000000e+04,9.007900000000000000e+04
2.002300000000000000e+04,7.857300000000000000e+04
1.793500000000000000e+04,7.570100000000000000e+04
2.079700000000000000e+04,8.547900000000000000e+04
2.469000000000000000e+04,8.553400000000000000e+04
6.666300000000000000e+04,2.981530000000000000e+05
8.864800000000000000e+04,2.761680000000000000e+05
8.871000000000000000e+04,2.761060000000000000e+05
7.275100000000000000e+04,1.935050000000000000e+05
7.275500000000000000e+04,1.955690000000000000e+05
3.355700000000000000e+04,1.280470000000000000e+05
3.357700000000000000e+04,1.280270000000000000e+05
2.639800000000000000e+04,8.649800000000000000e+04
