white,black
7.625400000000000000e+04,4.895400000000000000e+04
1.217570000000000000e+05,2.878300000000000000e+04
4.889700000000000000e+04,2.627100000000000000e+04
4.765500000000000000e+04,2.751300000000000000e+04
1.263900000000000000e+04,6.957000000000000000e+03
2.047900000000000000e+04,6.671000000000000000e+03
1.581770000000000000e+05,7.218300000000000000e+04
4.817400000000000000e+04,2.015300000000000000e+04
6.061700000000000000e+04,2.002300000000000000e+04
4.809900000000000000e+04,1.793500000000000000e+04
5.984300000000000000e+04,2.079700000000000000e+04
3.803400000000000000e+04,2.471000000000000000e+04
1.195370000000000000e+05,6.666300000000000000e+04
1.663560000000000000e+05,8.865200000000000000e+04
4.396750000000000000e+05,8.871000000000000000e+04
9.777800000000000000e+04,7.275500000000000000e+04
2.683000000000000000e+05,7.275500000000000000e+04
5.487300000000000000e+04,3.357700000000000000e+04
1.436630000000000000e+05,3.357700000000000000e+04
4.874300000000000000e+04,2.642500000000000000e+04
