white,black
1.274910000000000000e+05,2.923200000000000000e+04
1.254540000000000000e+05,3.126900000000000000e+04
1.248800000000000000e+05,2.525800000000000000e+04
1.204420000000000000e+05,2.193300000000000000e+04
9.087700000000000000e+04,2.086400000000000000e+04
1.198600000000000000e+05,3.686300000000000000e+04
1.128600000000000000e+05,4.386300000000000000e+04
1.189200000000000000e+05,3.780300000000000000e+04
1.279550000000000000e+05,2.876800000000000000e+04
1.004840000000000000e+05,2.169600000000000000e+04
1.290080000000000000e+05,2.771500000000000000e+04
1.253480000000000000e+05,3.137500000000000000e+04
9.709100000000000000e+04,2.187800000000000000e+04
1.282030000000000000e+05,2.852000000000000000e+04
1.283860000000000000e+05,2.833700000000000000e+04
1.287210000000000000e+05,2.800200000000000000e+04
1.267200000000000000e+05,3.000300000000000000e+04
1.266750000000000000e+05,3.004800000000000000e+04
1.272410000000000000e+05,2.948200000000000000e+04
1.288280000000000000e+05,2.789500000000000000e+04
