white,black
1.201700000000000000e+04,3.377900000000000000e+04
1.601400000000000000e+04,3.874200000000000000e+04
1.729300000000000000e+04,3.935100000000000000e+04
1.120400000000000000e+04,3.459200000000000000e+04
1.607400000000000000e+04,3.775000000000000000e+04
1.506600000000000000e+04,4.157800000000000000e+04
1.553200000000000000e+04,3.645200000000000000e+04
1.087100000000000000e+04,3.407300000000000000e+04
1.785400000000000000e+04,3.879000000000000000e+04
1.015200000000000000e+04,3.311200000000000000e+04
1.625300000000000000e+04,4.039100000000000000e+04
1.161800000000000000e+04,3.766600000000000000e+04
1.653800000000000000e+04,3.544600000000000000e+04
1.060600000000000000e+04,3.101000000000000000e+04
1.640300000000000000e+04,3.649700000000000000e+04
1.091800000000000000e+04,3.151800000000000000e+04
1.672300000000000000e+04,3.617700000000000000e+04
1.143200000000000000e+04,3.522400000000000000e+04
1.681500000000000000e+04,3.700900000000000000e+04
1.155900000000000000e+04,3.772500000000000000e+04
