white,black
8.935900000000000000e+04,1.201700000000000000e+04
8.536200000000000000e+04,1.601400000000000000e+04
8.408300000000000000e+04,1.729300000000000000e+04
9.017200000000000000e+04,1.120400000000000000e+04
8.530200000000000000e+04,1.607400000000000000e+04
8.631000000000000000e+04,1.506600000000000000e+04
8.584400000000000000e+04,1.553200000000000000e+04
9.050500000000000000e+04,1.087100000000000000e+04
8.352200000000000000e+04,1.785400000000000000e+04
9.122400000000000000e+04,1.015200000000000000e+04
8.512300000000000000e+04,1.625300000000000000e+04
8.975800000000000000e+04,1.161800000000000000e+04
8.483800000000000000e+04,1.653800000000000000e+04
9.077000000000000000e+04,1.060600000000000000e+04
8.497300000000000000e+04,1.640300000000000000e+04
9.045800000000000000e+04,1.091800000000000000e+04
8.465300000000000000e+04,1.672300000000000000e+04
8.994400000000000000e+04,1.143200000000000000e+04
8.456100000000000000e+04,1.681500000000000000e+04
8.981700000000000000e+04,1.155900000000000000e+04
