white,black
4.413700000000000000e+04,8.546300000000000000e+04
4.637100000000000000e+04,1.010850000000000000e+05
3.903600000000000000e+04,6.986400000000000000e+04
3.082900000000000000e+04,6.280700000000000000e+04
4.505400000000000000e+04,6.122200000000000000e+04
4.221600000000000000e+04,1.146000000000000000e+05
4.410600000000000000e+04,6.745000000000000000e+04
5.082300000000000000e+04,1.480930000000000000e+05
3.352000000000000000e+04,9.464400000000000000e+04
4.927200000000000000e+04,1.028280000000000000e+05
2.960000000000000000e+04,6.774400000000000000e+04
3.527700000000000000e+04,9.288700000000000000e+04
3.662300000000000000e+04,6.577700000000000000e+04
4.158500000000000000e+04,1.184150000000000000e+05
4.649100000000000000e+04,1.025050000000000000e+05
2.883800000000000000e+04,9.087800000000000000e+04
3.306600000000000000e+04,7.321000000000000000e+04
4.029000000000000000e+04,7.260600000000000000e+04
3.606000000000000000e+04,6.762400000000000000e+04
4.772000000000000000e+04,8.188000000000000000e+04
