white,black
9.466800000000000000e+04,4.413700000000000000e+04
7.650600000000000000e+04,4.637100000000000000e+04
8.069400000000000000e+04,3.903600000000000000e+04
8.949100000000000000e+04,3.082900000000000000e+04
7.699100000000000000e+04,4.505400000000000000e+04
8.047800000000000000e+04,4.221600000000000000e+04
9.456000000000000000e+04,4.410600000000000000e+04
1.051860000000000000e+05,5.082300000000000000e+04
1.044720000000000000e+05,3.352000000000000000e+04
9.463800000000000000e+04,4.927200000000000000e+04
8.558400000000000000e+04,2.960000000000000000e+04
7.841900000000000000e+04,3.527700000000000000e+04
7.173700000000000000e+04,3.662300000000000000e+04
7.813100000000000000e+04,4.158500000000000000e+04
9.444400000000000000e+04,4.649100000000000000e+04
8.229400000000000000e+04,2.883800000000000000e+04
9.914400000000000000e+04,3.306600000000000000e+04
9.393500000000000000e+04,4.029000000000000000e+04
9.262800000000000000e+04,3.606000000000000000e+04
8.718000000000000000e+04,4.772000000000000000e+04
