white,black
2.062600000000000000e+05,6.206400000000000000e+04
3.534580000000000000e+05,1.035180000000000000e+05
3.531550000000000000e+05,1.038210000000000000e+05
5.265340000000000000e+05,1.524420000000000000e+05
5.277740000000000000e+05,1.545020000000000000e+05
5.268780000000000000e+05,1.520980000000000000e+05
5.255620000000000000e+05,1.501220000000000000e+05
3.189690000000000000e+05,9.319500000000000000e+04
3.180920000000000000e+05,9.150800000000000000e+04
5.377110000000000000e+05,1.578450000000000000e+05
5.352750000000000000e+05,1.536250000000000000e+05
3.242190000000000000e+05,9.568500000000000000e+04
3.256910000000000000e+05,9.941300000000000000e+04
5.541290000000000000e+05,1.615870000000000000e+05
5.539280000000000000e+05,1.651760000000000000e+05
2.382050000000000000e+05,6.871100000000000000e+04
2.402420000000000000e+05,7.112200000000000000e+04
4.147250000000000000e+05,1.181750000000000000e+05
4.150870000000000000e+05,1.207370000000000000e+05
5.751450000000000000e+05,1.678990000000000000e+05
5.790100000000000000e+05,1.674860000000000000e+05
3.150050000000000000e+05,9.459500000000000000e+04
3.179820000000000000e+05,9.418200000000000000e+04
3.639200000000000000e+05,1.039360000000000000e+05
3.650570000000000000e+05,1.055390000000000000e+05
3.371990000000000000e+05,9.840100000000000000e+04
3.357370000000000000e+05,9.986300000000000000e+04
3.411180000000000000e+05,9.977800000000000000e+04
3.398130000000000000e+05,9.843100000000000000e+04
4.580150000000000000e+05,1.348850000000000000e+05
4.601980000000000000e+05,1.327020000000000000e+05
5.563110000000000000e+05,1.627930000000000000e+05
5.538330000000000000e+05,1.585030000000000000e+05
3.038710000000000000e+05,9.051300000000000000e+04
3.042040000000000000e+05,9.018000000000000000e+04
3.025920000000000000e+05,8.928400000000000000e+04
3.085540000000000000e+05,8.834600000000000000e+04
3.038570000000000000e+05,9.052700000000000000e+04
3.083970000000000000e+05,9.355900000000000000e+04
5.919440000000000000e+05,1.719320000000000000e+05
5.931040000000000000e+05,1.742720000000000000e+05
3.185370000000000000e+05,9.362700000000000000e+04
3.183580000000000000e+05,9.380600000000000000e+04
5.014150000000000000e+05,1.482210000000000000e+05
5.146290000000000000e+05,1.512270000000000000e+05
7.122680000000000000e+05,2.054960000000000000e+05
7.317650000000000000e+05,2.130190000000000000e+05
2.527670000000000000e+05,7.670900000000000000e+04
2.522400000000000000e+05,7.494400000000000000e+04
2.524420000000000000e+05,7.474200000000000000e+04
2.505790000000000000e+05,7.432100000000000000e+04
3.151510000000000000e+05,9.444900000000000000e+04
3.159720000000000000e+05,9.362800000000000000e+04
4.480240000000000000e+05,1.326200000000000000e+05
4.529220000000000000e+05,1.307740000000000000e+05
5.256500000000000000e+05,1.566260000000000000e+05
5.252780000000000000e+05,1.536980000000000000e+05
3.695330000000000000e+05,1.093310000000000000e+05
3.728080000000000000e+05,1.116080000000000000e+05
2.055800000000000000e+05,6.067600000000000000e+04
2.060890000000000000e+05,6.223500000000000000e+04
3.897320000000000000e+05,1.172120000000000000e+05
3.898350000000000000e+05,1.199610000000000000e+05
5.344160000000000000e+05,1.678280000000000000e+05
5.339680000000000000e+05,1.582560000000000000e+05
5.266230000000000000e+05,1.490610000000000000e+05
5.270560000000000000e+05,1.552200000000000000e+05
2.526600000000000000e+05,7.452400000000000000e+04
2.535870000000000000e+05,7.359700000000000000e+04
2.019130000000000000e+05,6.023100000000000000e+04
