white,black
6.699700000000000000e+04,8.354700000000000000e+04
4.263600000000000000e+04,7.296400000000000000e+04
4.589000000000000000e+04,6.700600000000000000e+04
5.240400000000000000e+04,7.291200000000000000e+04
5.449100000000000000e+04,6.941300000000000000e+04
6.625700000000000000e+04,6.623900000000000000e+04
6.094200000000000000e+04,7.448200000000000000e+04
4.857400000000000000e+04,4.877000000000000000e+04
3.736700000000000000e+04,3.338900000000000000e+04
4.397600000000000000e+04,4.482800000000000000e+04
6.775600000000000000e+04,8.278800000000000000e+04
6.627300000000000000e+04,6.768300000000000000e+04
6.384900000000000000e+04,7.010700000000000000e+04
3.870300000000000000e+04,4.309300000000000000e+04
4.668400000000000000e+04,9.170000000000000000e+04
3.230500000000000000e+04,4.609500000000000000e+04
3.247900000000000000e+04,3.002100000000000000e+04
5.207500000000000000e+04,5.032500000000000000e+04
4.507900000000000000e+04,5.477700000000000000e+04
4.532800000000000000e+04,4.347600000000000000e+04
