white,black
9.577800000000000000e+04,6.699700000000000000e+04
6.822000000000000000e+04,4.263600000000000000e+04
8.707900000000000000e+04,4.589000000000000000e+04
6.735200000000000000e+04,5.240400000000000000e+04
7.068100000000000000e+04,5.449100000000000000e+04
7.061800000000000000e+04,6.625700000000000000e+04
8.020900000000000000e+04,6.094200000000000000e+04
7.666100000000000000e+04,4.857400000000000000e+04
8.233300000000000000e+04,3.736700000000000000e+04
7.595400000000000000e+04,4.397600000000000000e+04
7.333100000000000000e+04,6.775600000000000000e+04
8.268700000000000000e+04,6.627300000000000000e+04
9.061300000000000000e+04,6.384900000000000000e+04
6.282500000000000000e+04,3.870300000000000000e+04
1.057080000000000000e+05,4.668400000000000000e+04
7.652700000000000000e+04,3.230500000000000000e+04
9.593300000000000000e+04,3.247900000000000000e+04
7.537400000000000000e+04,5.207500000000000000e+04
6.706100000000000000e+04,4.507900000000000000e+04
6.954400000000000000e+04,4.532800000000000000e+04
