fd_box, fd_min, fd_mass
-9.646120040183094879e-01,3.008209746549466157e-01,1.703197252675742401e+00
-9.464252980571085105e-01,3.458642142550432674e-01,1.664602425625803628e+00
-9.183679835602907016e-01,4.283300599621460147e-01,1.579102180728242155e+00
-9.599829005831902462e-01,3.159889244273393905e-01,1.690250997118052823e+00
-5.962065528250202195e-01,1.131278547772691434e+00,5.157884026774119945e-01
-8.448415638014472595e-01,5.506480412501254529e-01,1.408061488061726374e+00
-8.526033919448186005e-01,5.443822475323372156e-01,1.419000019134357915e+00
-9.309284497070970943e-01,3.851760742657514558e-01,1.628878312844499465e+00
-9.643447041565410549e-01,2.611311836441460588e-01,1.736246975506968271e+00
-6.515133047138323974e-01,1.081430835487740216e+00,5.795155184805026449e-01
-9.788569204609918195e-01,2.527032633535462591e-01,1.742828366434184817e+00
-8.167037845483223757e-01,5.721788849533122612e-01,1.370410938845073368e+00
-9.391287147348121866e-01,3.227813008271026018e-01,1.684872521865962813e+00
-4.530175186095097284e-01,1.539373932563865122e+00,4.836207281394282881e-02
-5.467122602313578827e-01,1.225086126515074314e+00,3.942968229720301143e-01
-9.317021757422560002e-01,3.701429477198549534e-01,1.643849380941006633e+00
-9.678737748404478980e-01,2.835306909970049527e-01,1.717457587630340399e+00
-8.546491520198401526e-01,5.234011716879369835e-01,1.452158646347565085e+00
-9.003604221714333056e-01,4.575586628780485277e-01,1.542677502579747451e+00
-7.440131272898051762e-01,8.576233310700650536e-01,9.145170623027687462e-01
-6.029965048462092581e-01,1.188598269849044042e+00,4.418101908555462365e-01
-5.317235829357107590e-01,1.299777384435903960e+00,2.953242371701124136e-01
-7.271933667827715775e-01,7.681004082906820463e-01,1.050841018316251541e+00
-8.329678136686357037e-01,5.971599472705599876e-01,1.327326559893030833e+00
-7.586391305276569685e-01,6.789110933734273656e-01,1.191644701644626991e+00
-9.311316274839183116e-01,3.993278868451072827e-01,1.613384324840244632e+00
-9.511980584530478344e-01,3.345355372963318419e-01,1.674383939351641981e+00
-7.060454225896558578e-01,9.199170437390877808e-01,8.209302043822712669e-01
-8.193075416209530948e-01,5.846161358065544711e-01,1.348762284001822298e+00
-9.051236819330615857e-01,4.377057747728698156e-01,1.567635248564053896e+00
-5.046960138057043910e-01,1.394067738908939091e+00,1.838793250494201170e-01
-7.835669195118580843e-01,6.872344876626319543e-01,1.178154387852695217e+00
-9.821077179812197633e-01,2.473424241065880769e-01,1.747620673462474405e+00
-9.895284249754751071e-01,2.311868165399694475e-01,1.760456669997988444e+00
-7.485159273350475706e-01,7.266383951613123449e-01,1.115651143277267776e+00
-9.606743853478608708e-01,2.901428323938269327e-01,1.712473250423593774e+00
-8.868890962719876425e-01,4.634368581671448051e-01,1.534861595738228113e+00
-9.747718647505274614e-01,2.728080794484414318e-01,1.726849463336516122e+00
-9.166836795296898766e-01,3.902029309066843421e-01,1.623309288100133640e+00
-8.643787730935168501e-01,5.182678333853200092e-01,1.459508227163707650e+00
-9.257686729236710432e-01,4.099993463834408214e-01,1.600862385184963044e+00
-4.530175186095097284e-01,1.447178262407943672e+00,1.371544198949507520e-01
-8.487619157725920793e-01,5.336848945363351637e-01,1.436761466974570300e+00
-9.245612822072064585e-01,3.794233879651900954e-01,1.635343474781014272e+00
-7.495127807158926680e-01,8.176828815625832858e-01,9.747608590533244355e-01
-9.328574750864299103e-01,3.751685842209400712e-01,1.639432397660514740e+00
-8.658584344020293644e-01,5.132627165656451496e-01,1.466653939436272980e+00
-6.640706508884303139e-01,1.059049883117282986e+00,6.130582388814507233e-01
-9.421783332891645601e-01,3.283138268974629126e-01,1.680153634782602934e+00
-9.576824856678283204e-01,3.105727459227972664e-01,1.694848523752526814e+00
-8.765469030746605439e-01,4.821722611987755425e-01,1.509851778123245669e+00
-9.056660511582206308e-01,4.425771915382520905e-01,1.561631050628897954e+00
