white,black
1.586000000000000000e+03,1.051400000000000000e+04
2.399000000000000000e+03,1.248500000000000000e+04
1.208000000000000000e+03,1.224800000000000000e+04
1.183000000000000000e+03,9.221000000000000000e+03
1.096000000000000000e+03,9.308000000000000000e+03
2.920000000000000000e+03,1.100400000000000000e+04
2.680000000000000000e+03,8.556000000000000000e+03
2.340000000000000000e+03,8.064000000000000000e+03
1.210000000000000000e+03,9.194000000000000000e+03
2.054000000000000000e+03,1.049000000000000000e+04
2.593000000000000000e+03,1.483100000000000000e+04
2.316000000000000000e+03,6.520000000000000000e+03
1.488000000000000000e+03,1.291200000000000000e+04
1.724000000000000000e+03,1.037600000000000000e+04
2.147000000000000000e+03,9.089000000000000000e+03
1.603000000000000000e+03,1.232100000000000000e+04
1.934000000000000000e+03,8.882000000000000000e+03
1.523000000000000000e+03,1.057700000000000000e+04
2.627000000000000000e+03,1.324900000000000000e+04
2.397000000000000000e+03,1.347900000000000000e+04
2.020000000000000000e+03,1.097600000000000000e+04
1.956000000000000000e+03,1.196800000000000000e+04
1.563000000000000000e+03,1.010100000000000000e+04
2.140000000000000000e+03,1.323600000000000000e+04
2.438000000000000000e+03,1.446200000000000000e+04
2.099000000000000000e+03,1.278500000000000000e+04
2.255000000000000000e+03,1.964900000000000000e+04
2.672000000000000000e+03,1.221200000000000000e+04
9.880000000000000000e+02,1.024800000000000000e+04
1.864000000000000000e+03,8.540000000000000000e+03
1.360000000000000000e+03,1.118400000000000000e+04
2.333000000000000000e+03,1.671100000000000000e+04
2.079000000000000000e+03,1.430500000000000000e+04
3.525000000000000000e+03,2.143900000000000000e+04
1.815000000000000000e+03,1.028500000000000000e+04
2.058000000000000000e+03,9.178000000000000000e+03
2.128000000000000000e+03,1.227200000000000000e+04
1.276000000000000000e+03,7.940000000000000000e+03
2.407000000000000000e+03,1.104900000000000000e+04
1.984000000000000000e+03,1.290000000000000000e+04
2.559000000000000000e+03,7.845000000000000000e+03
1.020000000000000000e+03,6.724000000000000000e+03
1.371000000000000000e+03,1.072900000000000000e+04
1.449000000000000000e+03,8.551000000000000000e+03
4.160000000000000000e+03,1.657600000000000000e+04
1.850000000000000000e+03,1.160600000000000000e+04
2.681000000000000000e+03,1.805500000000000000e+04
1.654000000000000000e+03,1.323000000000000000e+04
2.068000000000000000e+03,1.233200000000000000e+04
9.880000000000000000e+02,8.616000000000000000e+03
2.805000000000000000e+03,1.111900000000000000e+04
1.797000000000000000e+03,1.119900000000000000e+04
2.085000000000000000e+03,8.319000000000000000e+03
9.060000000000000000e+02,9.498000000000000000e+03
1.487000000000000000e+03,8.917000000000000000e+03
2.537000000000000000e+03,1.234700000000000000e+04
1.500000000000000000e+03,1.060000000000000000e+04
2.945000000000000000e+03,1.145500000000000000e+04
2.065000000000000000e+03,1.185900000000000000e+04
2.364000000000000000e+03,1.613200000000000000e+04
2.262000000000000000e+03,1.119400000000000000e+04
2.184000000000000000e+03,1.686000000000000000e+04
2.985000000000000000e+03,1.551100000000000000e+04
1.544000000000000000e+03,1.100000000000000000e+04
3.103000000000000000e+03,2.061300000000000000e+04
3.689000000000000000e+03,1.218700000000000000e+04
1.817000000000000000e+03,7.019000000000000000e+03
1.894000000000000000e+03,1.449000000000000000e+04
2.872000000000000000e+03,1.012400000000000000e+04
2.075000000000000000e+03,1.232500000000000000e+04
1.494000000000000000e+03,7.342000000000000000e+03
2.532000000000000000e+03,1.139200000000000000e+04
2.155000000000000000e+03,1.272900000000000000e+04
2.138000000000000000e+03,2.036200000000000000e+04
1.713000000000000000e+03,1.624300000000000000e+04
