white,black
3.261000000000000000e+03,3.463000000000000000e+03
3.349000000000000000e+03,6.651000000000000000e+03
4.288000000000000000e+03,3.456000000000000000e+03
3.531000000000000000e+03,3.193000000000000000e+03
4.312000000000000000e+03,3.788000000000000000e+03
3.699000000000000000e+03,1.167700000000000000e+04
3.591000000000000000e+03,4.509000000000000000e+03
2.900000000000000000e+03,2.284000000000000000e+03
4.074000000000000000e+03,2.982000000000000000e+03
3.349000000000000000e+03,3.707000000000000000e+03
2.396000000000000000e+03,2.228000000000000000e+03
2.282000000000000000e+03,1.814000000000000000e+03
2.949000000000000000e+03,3.451000000000000000e+03
3.818000000000000000e+03,3.238000000000000000e+03
2.930000000000000000e+03,2.254000000000000000e+03
2.584000000000000000e+03,4.472000000000000000e+03
1.292000000000000000e+03,1.012000000000000000e+03
3.426000000000000000e+03,2.350000000000000000e+03
3.020000000000000000e+03,3.064000000000000000e+03
2.631000000000000000e+03,6.205000000000000000e+03
4.046000000000000000e+03,3.698000000000000000e+03
3.722000000000000000e+03,3.002000000000000000e+03
4.059000000000000000e+03,3.337000000000000000e+03
3.089000000000000000e+03,2.687000000000000000e+03
5.727000000000000000e+03,7.269000000000000000e+03
3.628000000000000000e+03,4.116000000000000000e+03
3.770000000000000000e+03,5.446000000000000000e+03
2.840000000000000000e+03,3.884000000000000000e+03
2.805000000000000000e+03,3.595000000000000000e+03
4.461000000000000000e+03,4.003000000000000000e+03
4.581000000000000000e+03,4.255000000000000000e+03
3.421000000000000000e+03,3.303000000000000000e+03
3.445000000000000000e+03,2.331000000000000000e+03
3.366000000000000000e+03,3.358000000000000000e+03
3.387000000000000000e+03,2.697000000000000000e+03
3.743000000000000000e+03,5.093000000000000000e+03
3.052000000000000000e+03,5.048000000000000000e+03
3.088000000000000000e+03,2.688000000000000000e+03
2.446000000000000000e+03,2.454000000000000000e+03
1.788000000000000000e+03,2.308000000000000000e+03
3.904000000000000000e+03,3.152000000000000000e+03
3.162000000000000000e+03,8.074000000000000000e+03
3.508000000000000000e+03,2.576000000000000000e+03
3.258000000000000000e+03,4.138000000000000000e+03
2.863000000000000000e+03,3.221000000000000000e+03
4.263000000000000000e+03,4.573000000000000000e+03
2.977000000000000000e+03,2.499000000000000000e+03
3.406000000000000000e+03,2.370000000000000000e+03
4.602000000000000000e+03,4.234000000000000000e+03
4.247000000000000000e+03,3.853000000000000000e+03
3.543000000000000000e+03,2.233000000000000000e+03
2.255000000000000000e+03,2.645000000000000000e+03
2.674000000000000000e+03,1.950000000000000000e+03
2.097000000000000000e+03,1.503000000000000000e+03
2.670000000000000000e+03,2.514000000000000000e+03
2.477000000000000000e+03,2.999000000000000000e+03
3.034000000000000000e+03,2.150000000000000000e+03
2.466000000000000000e+03,2.718000000000000000e+03
2.490000000000000000e+03,1.606000000000000000e+03
