fd_box, fd_min, fd_mass
-9.545324693119551229e-01,3.103132722260871779e-01,1.695052912033000680e+00
-5.431787833553364253e-01,1.299580002099128606e+00,2.943647421524962504e-01
-7.947418823126788379e-01,6.905632892030741932e-01,1.173206120100102279e+00
-8.913441773062734663e-01,4.766832347109303814e-01,1.517653579652995521e+00
-7.879711151890511633e-01,6.829788114978561087e-01,1.185512180110596114e+00
-9.854074432628250335e-01,2.316396046100646644e-01,1.760179146274938100e+00
-8.375169849891498375e-01,5.365009014193139469e-01,1.432638561732282323e+00
-6.658950155895173584e-01,1.014801186490718266e+00,6.786618577793283036e-01
-8.532582014352804167e-01,5.112813732078050899e-01,1.469856684839570438e+00
-9.236350085416892286e-01,3.882275992868184367e-01,1.625536074235735429e+00
-8.659202613372859458e-01,5.155354474335460679e-01,1.463787166071673695e+00
-7.887884379796553658e-01,6.086823195004736897e-01,1.308156555043002101e+00
-7.715591816712263906e-01,7.006981572993175034e-01,1.157041923022458452e+00
-5.867104591199537866e-01,1.201233450773512068e+00,4.250026591836711387e-01
-6.188677069529178176e-01,1.140911467670423063e+00,5.028523289867933288e-01
-9.038821132607175457e-01,4.266920393243672782e-01,1.581403632046382457e+00
-9.425859789896774421e-01,3.551195124128806446e-01,1.656781896985458413e+00
-7.476748419339357410e-01,7.824983183569301781e-01,1.028755722975097209e+00
-6.105382185488588132e-01,1.167353783988812621e+00,4.690620508800277255e-01
-9.044836137903020656e-01,4.468851070232667255e-01,1.556547541826311054e+00
-8.288295402930888622e-01,5.636045231542535783e-01,1.385890386770417315e+00
-8.554516542128270951e-01,5.204414367925802587e-01,1.456818041481165338e+00
-7.602919315824232527e-01,7.417750975424600712e-01,1.092163734257580954e+00
-7.465613494820247942e-01,8.337648322250135191e-01,9.505123089620242105e-01
-4.530175186095097284e-01,1.496012093242720331e+00,9.369311976209171444e-02
-7.733360757854085277e-01,6.739567594183125676e-01,1.200082241510600278e+00
-9.684221959575746164e-01,3.041125557306632587e-01,1.699817104075680430e+00
-1.240689710118717676e-01,1.805796314537252201e+00,-2.166406819645513376e-18
-8.305188955636226833e-01,5.766954539512294531e-01,1.363068812183716449e+00
-9.754779408339664393e-01,2.572588421576352813e-01,1.739257698925242179e+00
-5.193510239264312878e-01,1.388404448115347245e+00,1.898558433760056674e-01
-9.646234807414044710e-01,2.883335972354282850e-01,1.713433024309588104e+00
-9.486259026714575215e-01,3.210353095372359133e-01,1.685842316460246071e+00
-9.771812795449924538e-01,2.509198878961707568e-01,1.744098168188886744e+00
-8.666212901497478693e-01,4.909559809963451871e-01,1.498322328993973551e+00
-9.351497720602489627e-01,3.728618091223099840e-01,1.641021170492289238e+00
-9.458026396927441404e-01,3.155317908948535033e-01,1.690622427566539132e+00
-9.895875120532967584e-01,2.365279598653131088e-01,1.756164262424343869e+00
-7.705283595261218643e-01,6.492309863566130268e-01,1.240527287404633361e+00
-7.288259151461916607e-01,7.954446085073170192e-01,1.008809669487037652e+00
-8.701543027377819373e-01,5.063913340735126667e-01,1.476826917960861296e+00
-9.668525667093080811e-01,2.717985084680228924e-01,1.726817213963694364e+00
-9.010451399449469490e-01,4.615991329063075521e-01,1.537672609085967146e+00
-9.315961322440723391e-01,3.837068209962440357e-01,1.630392674255131125e+00
-7.881063904564915568e-01,6.420392696719525727e-01,1.252334882381300973e+00
-9.145235627503620623e-01,4.177201777847067143e-01,1.591981604909165293e+00
-7.438350690549901945e-01,7.497267131046244648e-01,1.079601320634263395e+00
-9.513007298750858487e-01,3.266883545890206242e-01,1.680817654626394653e+00
-9.419863004090287539e-01,3.489978578664391651e-01,1.662367258173353957e+00
-9.189436496040330749e-01,4.223167504745709011e-01,1.586546852485922754e+00
-7.944961723654542229e-01,6.146481178098481823e-01,1.298031689698379010e+00
-6.162596389482979387e-01,1.110931472985377422e+00,5.416395004417351444e-01
-4.323769745442531121e-01,1.557070093961237633e+00,3.130508051135735131e-02
-6.584491416140585418e-01,1.062787762279846948e+00,6.068195957032901378e-01
-9.189817996200034811e-01,4.133251820056509374e-01,1.597293408345912047e+00
-7.427538165646031532e-01,7.612902687895077847e-01,1.061479802860808785e+00
-9.486987781667007846e-01,3.373855939729195064e-01,1.671561831037919887e+00
-9.085703035427836749e-01,4.415931470882447640e-01,1.563230485115944424e+00
-9.796119979323566485e-01,2.460165667640487330e-01,1.748125918014381108e+00
-7.969487984544796344e-01,6.367122119886217124e-01,1.261230637784214625e+00
-9.622907142734831165e-01,2.933725309140736703e-01,1.709082145971416500e+00
-8.134924151538005521e-01,6.017066364808888457e-01,1.320023760746555697e+00
-4.530175186095097284e-01,1.441841417441193984e+00,1.410029457076611703e-01
-8.402000846529007472e-01,5.476990357458525471e-01,1.413789386161087736e+00
-8.212756299226372514e-01,5.698334940691408557e-01,1.374996668473881689e+00
-8.005282083642341062e-01,6.216136847436180002e-01,1.286244805072883191e+00
-5.673528042966150542e-01,1.266126962970089087e+00,3.400502607990760207e-01
-9.776847005168300964e-01,2.668741441696987904e-01,1.731274279542205363e+00
-7.026108877626884297e-01,9.246426179110712740e-01,8.134847439679731007e-01
