white,black
6.000000000000000000e+00,1.000000000000000000e+01
3.160000000000000000e+02,2.600000000000000000e+02
2.765800000000000000e+04,1.314600000000000000e+04
2.813600000000000000e+04,1.430000000000000000e+04
2.869200000000000000e+04,1.374400000000000000e+04
2.926500000000000000e+04,1.483500000000000000e+04
2.981800000000000000e+04,1.428200000000000000e+04
3.042900000000000000e+04,1.451500000000000000e+04
3.103000000000000000e+04,1.562600000000000000e+04
3.151000000000000000e+04,1.514600000000000000e+04
3.220300000000000000e+04,1.532100000000000000e+04
3.270500000000000000e+04,1.657900000000000000e+04
3.660000000000000000e+02,3.100000000000000000e+02
3.341300000000000000e+04,1.676300000000000000e+04
3.409500000000000000e+04,1.698100000000000000e+04
3.459100000000000000e+04,1.739300000000000000e+04
3.527600000000000000e+04,1.762400000000000000e+04
3.593500000000000000e+04,1.788900000000000000e+04
3.650400000000000000e+04,1.732000000000000000e+04
3.714300000000000000e+04,1.761300000000000000e+04
3.767000000000000000e+04,1.897400000000000000e+04
3.844200000000000000e+04,1.915800000000000000e+04
3.905400000000000000e+04,1.951000000000000000e+04
4.380000000000000000e+02,3.460000000000000000e+02
3.979200000000000000e+04,1.974400000000000000e+04
4.037200000000000000e+04,1.916400000000000000e+04
4.104700000000000000e+04,2.045700000000000000e+04
4.184600000000000000e+04,2.065400000000000000e+04
4.243200000000000000e+04,2.107200000000000000e+04
4.318200000000000000e+04,2.133400000000000000e+04
5.010000000000000000e+02,3.990000000000000000e+02
5.930000000000000000e+02,4.310000000000000000e+02
6.600000000000000000e+02,4.960000000000000000e+02
7.370000000000000000e+02,5.590000000000000000e+02
8.380000000000000000e+02,6.060000000000000000e+02
9.480000000000000000e+02,6.520000000000000000e+02
1.020000000000000000e+03,7.440000000000000000e+02
2.100000000000000000e+01,4.300000000000000000e+01
1.146000000000000000e+03,7.900000000000000000e+02
1.271000000000000000e+03,8.450000000000000000e+02
1.379000000000000000e+03,9.250000000000000000e+02
1.516000000000000000e+03,9.840000000000000000e+02
1.626000000000000000e+03,8.740000000000000000e+02
1.791000000000000000e+03,1.125000000000000000e+03
1.918000000000000000e+03,9.980000000000000000e+02
2.096000000000000000e+03,1.268000000000000000e+03
2.244000000000000000e+03,1.356000000000000000e+03
2.404000000000000000e+03,1.440000000000000000e+03
3.300000000000000000e+01,6.700000000000000000e+01
2.544000000000000000e+03,1.552000000000000000e+03
2.668000000000000000e+03,1.688000000000000000e+03
2.864000000000000000e+03,1.760000000000000000e+03
3.067000000000000000e+03,1.833000000000000000e+03
3.227000000000000000e+03,1.673000000000000000e+03
3.418000000000000000e+03,2.058000000000000000e+03
3.643000000000000000e+03,2.133000000000000000e+03
3.859000000000000000e+03,2.225000000000000000e+03
4.090000000000000000e+03,2.310000000000000000e+03
4.241000000000000000e+03,2.483000000000000000e+03
5.900000000000000000e+01,8.500000000000000000e+01
4.482000000000000000e+03,2.574000000000000000e+03
4.704000000000000000e+03,2.692000000000000000e+03
4.994000000000000000e+03,2.750000000000000000e+03
5.123000000000000000e+03,2.977000000000000000e+03
5.373000000000000000e+03,2.727000000000000000e+03
5.628000000000000000e+03,3.208000000000000000e+03
5.898000000000000000e+03,3.318000000000000000e+03
6.170000000000000000e+03,3.434000000000000000e+03
6.391000000000000000e+03,3.609000000000000000e+03
6.692000000000000000e+03,3.712000000000000000e+03
7.700000000000000000e+01,6.700000000000000000e+01
6.974000000000000000e+03,3.430000000000000000e+03
7.243000000000000000e+03,3.993000000000000000e+03
7.528000000000000000e+03,3.708000000000000000e+03
7.860000000000000000e+03,4.240000000000000000e+03
8.142000000000000000e+03,4.402000000000000000e+03
8.422000000000000000e+03,4.574000000000000000e+03
8.687000000000000000e+03,4.309000000000000000e+03
9.029000000000000000e+03,4.895000000000000000e+03
9.339000000000000000e+03,4.585000000000000000e+03
9.727000000000000000e+03,5.157000000000000000e+03
1.250000000000000000e+02,1.310000000000000000e+02
9.975000000000000000e+03,5.401000000000000000e+03
1.034900000000000000e+04,5.527000000000000000e+03
1.074300000000000000e+04,5.133000000000000000e+03
1.108300000000000000e+04,5.817000000000000000e+03
1.141200000000000000e+04,6.012000000000000000e+03
1.174700000000000000e+04,6.209000000000000000e+03
1.211300000000000000e+04,6.383000000000000000e+03
1.256600000000000000e+04,6.478000000000000000e+03
1.284900000000000000e+04,6.751000000000000000e+03
1.323200000000000000e+04,6.932000000000000000e+03
1.510000000000000000e+02,1.730000000000000000e+02
1.361100000000000000e+04,7.125000000000000000e+03
1.404000000000000000e+04,7.276000000000000000e+03
1.439500000000000000e+04,7.509000000000000000e+03
1.474600000000000000e+04,7.158000000000000000e+03
1.517500000000000000e+04,7.929000000000000000e+03
1.561400000000000000e+04,8.102000000000000000e+03
1.599600000000000000e+04,7.720000000000000000e+03
1.640900000000000000e+04,8.555000000000000000e+03
1.689600000000000000e+04,8.704000000000000000e+03
1.739000000000000000e+04,8.854000000000000000e+03
1.950000000000000000e+02,2.050000000000000000e+02
1.773300000000000000e+04,9.163000000000000000e+03
1.813400000000000000e+04,8.762000000000000000e+03
1.861500000000000000e+04,9.609000000000000000e+03
1.908600000000000000e+04,9.814000000000000000e+03
1.954500000000000000e+04,1.003900000000000000e+04
2.003800000000000000e+04,1.023800000000000000e+04
2.049400000000000000e+04,1.048200000000000000e+04
2.099300000000000000e+04,1.069100000000000000e+04
