white,black
6.000000000000000000e+00,1.000000000000000000e+01
3.120000000000000000e+02,2.640000000000000000e+02
2.765000000000000000e+04,1.396600000000000000e+04
2.812700000000000000e+04,1.348900000000000000e+04
2.869500000000000000e+04,1.374100000000000000e+04
2.928400000000000000e+04,1.398000000000000000e+04
2.981200000000000000e+04,1.428800000000000000e+04
3.042600000000000000e+04,1.537000000000000000e+04
3.103700000000000000e+04,1.561900000000000000e+04
3.149300000000000000e+04,1.516300000000000000e+04
3.220500000000000000e+04,1.619500000000000000e+04
3.269700000000000000e+04,1.570300000000000000e+04
3.640000000000000000e+02,3.120000000000000000e+02
3.342300000000000000e+04,1.675300000000000000e+04
3.408200000000000000e+04,1.699400000000000000e+04
3.460700000000000000e+04,1.646900000000000000e+04
3.528200000000000000e+04,1.670200000000000000e+04
3.594400000000000000e+04,1.695600000000000000e+04
3.651700000000000000e+04,1.823900000000000000e+04
3.716500000000000000e+04,1.759100000000000000e+04
3.768300000000000000e+04,1.896100000000000000e+04
3.841700000000000000e+04,1.822700000000000000e+04
3.906400000000000000e+04,1.950000000000000000e+04
4.380000000000000000e+02,3.460000000000000000e+02
3.981100000000000000e+04,1.875300000000000000e+04
4.040900000000000000e+04,1.912700000000000000e+04
4.104700000000000000e+04,2.045700000000000000e+04
4.186100000000000000e+04,2.063900000000000000e+04
4.242800000000000000e+04,2.107600000000000000e+04
4.317800000000000000e+04,2.032600000000000000e+04
5.020000000000000000e+02,3.980000000000000000e+02
5.860000000000000000e+02,3.140000000000000000e+02
6.550000000000000000e+02,5.010000000000000000e+02
7.380000000000000000e+02,4.180000000000000000e+02
8.450000000000000000e+02,5.990000000000000000e+02
9.520000000000000000e+02,6.480000000000000000e+02
1.025000000000000000e+03,5.750000000000000000e+02
2.000000000000000000e+01,4.400000000000000000e+01
1.147000000000000000e+03,7.890000000000000000e+02
1.273000000000000000e+03,6.630000000000000000e+02
1.382000000000000000e+03,7.340000000000000000e+02
1.511000000000000000e+03,7.930000000000000000e+02
1.635000000000000000e+03,1.069000000000000000e+03
1.788000000000000000e+03,9.160000000000000000e+02
1.930000000000000000e+03,9.860000000000000000e+02
2.092000000000000000e+03,1.272000000000000000e+03
2.244000000000000000e+03,1.120000000000000000e+03
2.402000000000000000e+03,1.442000000000000000e+03
3.400000000000000000e+01,6.600000000000000000e+01
2.547000000000000000e+03,1.549000000000000000e+03
2.672000000000000000e+03,1.424000000000000000e+03
2.871000000000000000e+03,1.485000000000000000e+03
3.067000000000000000e+03,1.557000000000000000e+03
3.228000000000000000e+03,1.672000000000000000e+03
3.427000000000000000e+03,1.757000000000000000e+03
3.639000000000000000e+03,2.137000000000000000e+03
3.861000000000000000e+03,1.915000000000000000e+03
4.080000000000000000e+03,2.004000000000000000e+03
4.238000000000000000e+03,2.162000000000000000e+03
5.900000000000000000e+01,8.500000000000000000e+01
4.483000000000000000e+03,2.241000000000000000e+03
4.712000000000000000e+03,2.684000000000000000e+03
4.992000000000000000e+03,2.404000000000000000e+03
5.122000000000000000e+03,2.622000000000000000e+03
5.375000000000000000e+03,2.725000000000000000e+03
5.632000000000000000e+03,3.204000000000000000e+03
5.898000000000000000e+03,3.318000000000000000e+03
6.164000000000000000e+03,3.440000000000000000e+03
6.400000000000000000e+03,3.204000000000000000e+03
6.691000000000000000e+03,3.309000000000000000e+03
8.200000000000000000e+01,1.140000000000000000e+02
6.986000000000000000e+03,3.830000000000000000e+03
7.237000000000000000e+03,3.999000000000000000e+03
7.540000000000000000e+03,3.696000000000000000e+03
7.857000000000000000e+03,3.807000000000000000e+03
8.148000000000000000e+03,3.952000000000000000e+03
8.411000000000000000e+03,4.133000000000000000e+03
8.682000000000000000e+03,4.314000000000000000e+03
9.027000000000000000e+03,4.429000000000000000e+03
9.355000000000000000e+03,5.045000000000000000e+03
9.721000000000000000e+03,5.163000000000000000e+03
1.240000000000000000e+02,1.320000000000000000e+02
9.973000000000000000e+03,4.911000000000000000e+03
1.035700000000000000e+04,5.519000000000000000e+03
1.074500000000000000e+04,5.639000000000000000e+03
1.109100000000000000e+04,5.293000000000000000e+03
1.140200000000000000e+04,5.498000000000000000e+03
1.175700000000000000e+04,6.199000000000000000e+03
1.211100000000000000e+04,5.845000000000000000e+03
1.256800000000000000e+04,5.928000000000000000e+03
1.285100000000000000e+04,6.193000000000000000e+03
1.323800000000000000e+04,6.362000000000000000e+03
1.530000000000000000e+02,1.030000000000000000e+02
1.361700000000000000e+04,7.119000000000000000e+03
1.405100000000000000e+04,7.265000000000000000e+03
1.439300000000000000e+04,7.511000000000000000e+03
1.473900000000000000e+04,7.761000000000000000e+03
1.516600000000000000e+04,7.938000000000000000e+03
1.563100000000000000e+04,8.085000000000000000e+03
1.600500000000000000e+04,7.711000000000000000e+03
1.641000000000000000e+04,7.926000000000000000e+03
1.690100000000000000e+04,8.063000000000000000e+03
1.738400000000000000e+04,8.860000000000000000e+03
1.950000000000000000e+02,2.050000000000000000e+02
1.774000000000000000e+04,9.156000000000000000e+03
1.811900000000000000e+04,9.437000000000000000e+03
1.862900000000000000e+04,9.595000000000000000e+03
1.907600000000000000e+04,9.824000000000000000e+03
1.955700000000000000e+04,1.002700000000000000e+04
2.004500000000000000e+04,1.023100000000000000e+04
2.048900000000000000e+04,1.048700000000000000e+04
2.099400000000000000e+04,1.069000000000000000e+04
2.148900000000000000e+04,1.091100000000000000e+04
2.200400000000000000e+04,1.039600000000000000e+04
2.470000000000000000e+02,2.370000000000000000e+02
2.241000000000000000e+04,1.144600000000000000e+04
2.293800000000000000e+04,1.165800000000000000e+04
2.332500000000000000e+04,1.127100000000000000e+04
2.387900000000000000e+04,1.146500000000000000e+04
2.445400000000000000e+04,1.164600000000000000e+04
2.498900000000000000e+04,1.264700000000000000e+04
2.549500000000000000e+04,1.292100000000000000e+04
2.601000000000000000e+04,1.319400000000000000e+04
2.652400000000000000e+04,1.347600000000000000e+04
2.710200000000000000e+04,1.289800000000000000e+04
