fd_box, fd_min, fd_mass
-8.193075416209530948e-01,5.999645271813994762e-01,1.325482723787136718e+00
-8.401056006625567951e-01,5.530300400508252334e-01,1.406957962624557412e+00
-9.188606401991571415e-01,4.215681313404316954e-01,1.588253419016445456e+00
-8.986740085523150512e-01,4.585490071057765071e-01,1.542861990444522879e+00
-1.240689710118717676e-01,1.820567529471839086e+00,-3.343629806015300984e-17
-6.151455778732253243e-01,1.123070645337358675e+00,5.248266161478467584e-01
-8.848317335380637694e-01,4.736440737985982974e-01,1.523186678512624681e+00
-7.873353579284559922e-01,6.634404443603457713e-01,1.219159573298755683e+00
-7.441428387721249482e-01,7.970231010206503264e-01,1.007567146192742458e+00
-8.833365733401832287e-01,4.870680227688001240e-01,1.505259049279944250e+00
-7.835138861983705905e-01,6.550644262736692314e-01,1.232905988824738008e+00
-9.559497693099815452e-01,3.155182704929269666e-01,1.689893919370569986e+00
-5.673528042966150542e-01,1.269472799139492070e+00,3.335277829376546710e-01
-6.105382185488588132e-01,1.145650709120428434e+00,4.959125392837938628e-01
-6.116769002537890687e-01,1.176760928212379209e+00,4.560530213431938651e-01
-9.313102232360028765e-01,4.016725844116929567e-01,1.611170786318121051e+00
-8.500047280983369369e-01,5.169091087420076835e-01,1.463876677943059201e+00
-9.808130198455193849e-01,2.681486858796974793e-01,1.729824770546094070e+00
-7.612503978934442861e-01,7.222072622319090085e-01,1.124502637739444255e+00
-9.781706568918482336e-01,2.633436908848851843e-01,1.733860508766407627e+00
-9.289319999617874357e-01,3.924124020510420530e-01,1.621364361699780599e+00
-9.641469226405555704e-01,3.099343837366599352e-01,1.694870430254526994e+00
-9.402055277031426961e-01,3.488043762148807514e-01,1.661844853655227272e+00
-8.013559208124630961e-01,6.127941427798866414e-01,1.303632165518400665e+00
-8.651992553714544787e-01,5.073248724957060141e-01,1.477354052400920992e+00
-9.186457136149414060e-01,4.062747065892242104e-01,1.606006291926881380e+00
-8.095611065267046547e-01,6.070334234381408178e-01,1.313435755615376621e+00
-2.989448513517399264e-01,1.707191983848304950e+00,3.780831901509958559e-16
-8.622152039216850472e-01,5.125580713676470834e-01,1.469996555417526274e+00
-7.288697257391049122e-01,7.730485095850557764e-01,1.044617461742038733e+00
-7.338663849131293881e-01,7.850126250695113050e-01,1.026061206172985907e+00
-7.806554841658833732e-01,7.059418696672802307e-01,1.150295719260893135e+00
-8.834547835679201766e-01,4.777854028025232958e-01,1.517740727688256186e+00
-7.626803048877113245e-01,7.429684624641341717e-01,1.091726362427026142e+00
-9.099086294414684417e-01,4.439983303356943578e-01,1.561128417111907529e+00
-7.298066967118825854e-01,8.204978945304622906e-01,9.713341644634480021e-01
-8.456775835389461760e-01,5.477956080130813588e-01,1.415903970565267178e+00
-7.770745513209175170e-01,6.877148217673002550e-01,1.179640022340801897e+00
-9.306918280618398098e-01,3.826933910387052551e-01,1.632075276049097967e+00
-9.594256516262765766e-01,3.269933932448088609e-01,1.680925589078601901e+00
-9.201630453877716054e-01,4.112198258291178132e-01,1.600430809824388678e+00
-4.875098144902983988e-01,1.438244585140820320e+00,1.435164070814554937e-01
-9.681821423782838165e-01,2.784090082457618687e-01,1.721103883661218914e+00
-5.317235829357107590e-01,1.313965671749628195e+00,2.738673905931751640e-01
-7.218595416257864716e-01,9.171269086875366572e-01,8.249327514589861465e-01
-8.546315814207663397e-01,5.372698706407966762e-01,1.433222991471965635e+00
-9.626290828478872852e-01,2.996399634635183440e-01,1.703733984488013942e+00
-9.455109812100220834e-01,3.330944874134880163e-01,1.675267917450576682e+00
-7.485623763512814222e-01,8.447482698486539210e-01,9.343153706922302515e-01
-9.383201745108933345e-01,3.604609957256521002e-01,1.651470576819094482e+00
-8.169016040312179205e-01,5.935321133710445007e-01,1.336516519374337797e+00
-8.124871222929040959e-01,5.821591459387529532e-01,1.356292925810619776e+00
-5.550346584605512223e-01,1.357980774182426575e+00,2.258309135874586315e-01
-8.124777360990751429e-01,5.866704003638627540e-01,1.348380893262795199e+00
-7.307297864438168089e-01,8.351064158377246027e-01,9.491270238778577450e-01
-7.457429771103697425e-01,7.503646689842857764e-01,1.079980411959916564e+00
-9.654142837621306761e-01,3.044628155607405628e-01,1.699659470069434519e+00
-6.515133047138323974e-01,1.071071505475624575e+00,5.943314893236962826e-01
-9.629999519709228073e-01,2.945640667321411388e-01,1.708265477398416499e+00
-4.530175186095097284e-01,1.557700065189319583e+00,4.187035210243856415e-02
-8.255482101406934614e-01,5.633396534098507047e-01,1.389140781684340409e+00
-9.596303918680455514e-01,3.203759798359447908e-01,1.685955725660060356e+00
-9.291270556132568137e-01,3.969846569883873078e-01,1.616322940124267138e+00
-9.243579420470044994e-01,4.164638640018522575e-01,1.594300801140638324e+00
-8.570956825819168179e-01,5.212804727335770272e-01,1.457633099895870643e+00
-8.510989908356884071e-01,5.269055667608487648e-01,1.449389506354544110e+00
-7.015646894795171118e-01,9.701429495900661948e-01,7.453065112891246180e-01
-6.921570689291453027e-01,1.008531561634065987e+00,6.876867489240612308e-01
-6.041351865511392916e-01,1.203294293282209937e+00,4.209179330672301877e-01
-9.122347605076089883e-01,4.303014392864626947e-01,1.577943698975605713e+00
-9.396277912649656505e-01,3.657048177557142288e-01,1.646866909832532144e+00
-6.800928529183182247e-01,9.870436336925976217e-01,7.199082548992669084e-01
-9.803554478102363134e-01,2.578012544592403477e-01,1.738919435957360982e+00
-7.815362718171076084e-01,6.966968259570959221e-01,1.165200898210875247e+00
-7.842700188592214294e-01,6.704985900990219072e-01,1.207544206885931004e+00
-8.366722558326757930e-01,5.584415091888396132e-01,1.397635981106131187e+00
-7.370602787134685752e-01,7.612624162051311316e-01,1.062924426692031021e+00
-8.942284889835097061e-01,4.535538914528485788e-01,1.549211514804258005e+00
-4.530175186095097284e-01,1.506301083554714371e+00,7.959023146975645335e-02
-3.803669573474414145e-01,1.638845892580262031e+00,4.614505915609893975e-03
-6.476434121905010333e-01,1.098831532182548587e+00,5.561715402205682501e-01
-8.517881075219622122e-01,5.319600456376624154e-01,1.441632128171580485e+00
-6.402428914595250653e-01,1.046594851852981733e+00,6.302093699093069823e-01
-7.036465713123394305e-01,9.517220513959265826e-01,7.728949494553418731e-01
-9.282899440169839478e-01,3.873197202652595705e-01,1.626918104468606519e+00
-7.127901946325744253e-01,8.072041790622876967e-01,9.917502007619152238e-01
-8.695401666672275542e-01,4.973464555535861420e-01,1.491225846839077995e+00
-9.440947696293955360e-01,3.545887002708315583e-01,1.656722633152367896e+00
-9.448141726906669202e-01,3.441997479066443155e-01,1.665602367768232783e+00
-9.016988045078134784e-01,4.490311954115540627e-01,1.554855649702152176e+00
-8.902106822755956328e-01,4.682771163103391920e-01,1.530337910405178858e+00
-8.255391098235360658e-01,5.689092864851252873e-01,1.379342788842936374e+00
-9.093713743164417718e-01,4.253487223026594655e-01,1.583943155610969100e+00
-7.576812908533456792e-01,7.318832705825115692e-01,1.109100843500954836e+00
-7.763219687437580285e-01,6.469820888956715477e-01,1.246244159931602979e+00
-8.730772333465616208e-01,4.925956145259907659e-01,1.497663804333383419e+00
-7.812280337545725040e-01,6.185776684863901753e-01,1.293811160839617003e+00
-7.177423627084101865e-01,8.848626762230736853e-01,8.734762046866548779e-01
-9.304897710307082903e-01,3.784453033055437676e-01,1.636481741025795023e+00
-8.723690546027069725e-01,5.017576066415907476e-01,1.485134311383213612e+00
-9.823494477265322100e-01,2.473173153472306152e-01,1.746899729438258886e+00
-7.616743768841947038e-01,6.789099425864624227e-01,1.193906841288871812e+00
-9.091990613116042175e-01,4.341011209980224494e-01,1.573233548841246332e+00
