white,black
7.000000000000000000e+00,9.000000000000000000e+00
2.990000000000000000e+02,1.850000000000000000e+02
2.619100000000000000e+04,1.461300000000000000e+04
2.682900000000000000e+04,1.478700000000000000e+04
2.732900000000000000e+04,1.510700000000000000e+04
2.780700000000000000e+04,1.545700000000000000e+04
2.846100000000000000e+04,1.563900000000000000e+04
2.907100000000000000e+04,1.587300000000000000e+04
2.942300000000000000e+04,1.637300000000000000e+04
3.013700000000000000e+04,1.651900000000000000e+04
3.076900000000000000e+04,1.675500000000000000e+04
3.127100000000000000e+04,1.712900000000000000e+04
3.290000000000000000e+02,2.470000000000000000e+02
3.164100000000000000e+04,1.764300000000000000e+04
3.232300000000000000e+04,1.785300000000000000e+04
3.284100000000000000e+04,1.823500000000000000e+04
3.349300000000000000e+04,1.849100000000000000e+04
3.406900000000000000e+04,1.883100000000000000e+04
3.460300000000000000e+04,1.922100000000000000e+04
3.512300000000000000e+04,1.963300000000000000e+04
3.585500000000000000e+04,1.984100000000000000e+04
3.625100000000000000e+04,1.944500000000000000e+04
3.694300000000000000e+04,1.970100000000000000e+04
4.110000000000000000e+02,2.650000000000000000e+02
3.770100000000000000e+04,2.086300000000000000e+04
3.830300000000000000e+04,2.123300000000000000e+04
3.885100000000000000e+04,2.068500000000000000e+04
3.956500000000000000e+04,2.193900000000000000e+04
4.020300000000000000e+04,2.130100000000000000e+04
4.096900000000000000e+04,2.253500000000000000e+04
4.850000000000000000e+02,2.990000000000000000e+02
5.310000000000000000e+02,3.690000000000000000e+02
6.250000000000000000e+02,3.990000000000000000e+02
7.210000000000000000e+02,4.350000000000000000e+02
8.050000000000000000e+02,4.910000000000000000e+02
8.850000000000000000e+02,5.590000000000000000e+02
1.007000000000000000e+03,5.930000000000000000e+02
1.700000000000000000e+01,1.900000000000000000e+01
1.099000000000000000e+03,6.650000000000000000e+02
1.221000000000000000e+03,7.150000000000000000e+02
1.307000000000000000e+03,8.090000000000000000e+02
1.409000000000000000e+03,8.950000000000000000e+02
1.547000000000000000e+03,9.530000000000000000e+02
1.705000000000000000e+03,9.990000000000000000e+02
1.801000000000000000e+03,1.115000000000000000e+03
1.959000000000000000e+03,1.177000000000000000e+03
2.137000000000000000e+03,1.227000000000000000e+03
2.239000000000000000e+03,1.361000000000000000e+03
3.300000000000000000e+01,3.100000000000000000e+01
2.403000000000000000e+03,1.441000000000000000e+03
2.593000000000000000e+03,1.503000000000000000e+03
2.747000000000000000e+03,1.609000000000000000e+03
2.857000000000000000e+03,1.499000000000000000e+03
3.047000000000000000e+03,1.577000000000000000e+03
3.271000000000000000e+03,1.913000000000000000e+03
3.449000000000000000e+03,2.027000000000000000e+03
3.615000000000000000e+03,1.861000000000000000e+03
3.855000000000000000e+03,2.229000000000000000e+03
4.035000000000000000e+03,2.049000000000000000e+03
5.700000000000000000e+01,4.300000000000000000e+01
4.269000000000000000e+03,2.455000000000000000e+03
4.467000000000000000e+03,2.589000000000000000e+03
4.681000000000000000e+03,2.715000000000000000e+03
4.935000000000000000e+03,2.809000000000000000e+03
5.185000000000000000e+03,2.915000000000000000e+03
5.379000000000000000e+03,3.085000000000000000e+03
5.643000000000000000e+03,3.193000000000000000e+03
5.917000000000000000e+03,3.299000000000000000e+03
6.165000000000000000e+03,3.439000000000000000e+03
6.387000000000000000e+03,3.613000000000000000e+03
8.500000000000000000e+01,5.900000000000000000e+01
6.693000000000000000e+03,3.711000000000000000e+03
6.961000000000000000e+03,3.855000000000000000e+03
7.195000000000000000e+03,4.041000000000000000e+03
7.415000000000000000e+03,4.249000000000000000e+03
7.665000000000000000e+03,4.435000000000000000e+03
8.033000000000000000e+03,4.511000000000000000e+03
8.283000000000000000e+03,4.713000000000000000e+03
8.549000000000000000e+03,4.907000000000000000e+03
8.913000000000000000e+03,5.011000000000000000e+03
9.277000000000000000e+03,5.123000000000000000e+03
1.110000000000000000e+02,8.500000000000000000e+01
9.479000000000000000e+03,5.405000000000000000e+03
9.863000000000000000e+03,5.513000000000000000e+03
1.022300000000000000e+04,5.653000000000000000e+03
1.051500000000000000e+04,5.869000000000000000e+03
1.086100000000000000e+04,6.039000000000000000e+03
1.124500000000000000e+04,6.179000000000000000e+03
1.143500000000000000e+04,6.521000000000000000e+03
1.182100000000000000e+04,6.675000000000000000e+03
1.215900000000000000e+04,6.885000000000000000e+03
1.250300000000000000e+04,7.097000000000000000e+03
1.530000000000000000e+02,1.030000000000000000e+02
1.291300000000000000e+04,7.251000000000000000e+03
1.336500000000000000e+04,7.371000000000000000e+03
1.359900000000000000e+04,7.717000000000000000e+03
1.402300000000000000e+04,7.881000000000000000e+03
1.439700000000000000e+04,8.103000000000000000e+03
1.474100000000000000e+04,8.363000000000000000e+03
1.508300000000000000e+04,8.021000000000000000e+03
1.552700000000000000e+04,8.809000000000000000e+03
1.595700000000000000e+04,8.379000000000000000e+03
1.631300000000000000e+04,8.651000000000000000e+03
1.910000000000000000e+02,1.330000000000000000e+02
1.677500000000000000e+04,8.825000000000000000e+03
1.719700000000000000e+04,9.047000000000000000e+03
1.766500000000000000e+04,9.891000000000000000e+03
1.806900000000000000e+04,9.487000000000000000e+03
1.849900000000000000e+04,1.040100000000000000e+04
1.899300000000000000e+04,1.059100000000000000e+04
1.949900000000000000e+04,1.077700000000000000e+04
1.982700000000000000e+04,1.114900000000000000e+04
2.036700000000000000e+04,1.131700000000000000e+04
2.088500000000000000e+04,1.151500000000000000e+04
