fd_box, fd_min, fd_mass
-9.571086566881215063e-01,3.116982713109852088e-01,1.693706811084427333e+00
-7.708379332231439784e-01,7.145636719332073561e-01,1.138797754635120452e+00
-7.114408618450680510e-01,9.474052453764383319e-01,7.801741358019095296e-01
-6.811131797824887535e-01,9.961999090458796280e-01,7.070148508463790504e-01
-6.790438739708481997e-01,1.017818667637270025e+00,6.744708906956236039e-01
-6.454507838174353695e-01,1.081548264380006952e+00,5.799374862820549925e-01
-8.555403125360624417e-01,5.380441964686633050e-01,1.434102877424753064e+00
-9.195149258624055744e-01,4.320141898198130437e-01,1.576964685850283265e+00
-8.408717725620604710e-01,5.596932665549569919e-01,1.398312627323815782e+00
-7.558772521225618490e-01,7.427341053239698843e-01,1.093979485614621883e+00
-9.363464404377931372e-01,3.859322254339088709e-01,1.629066917204798681e+00
-3.803669573474414145e-01,1.642025642113096540e+00,4.587156715905173096e-16
-9.049420354016357582e-01,4.513518621564637234e-01,1.553317063674090281e+00
-7.455460738234747087e-01,8.575454605422400123e-01,9.163234468756614737e-01
-8.886593366456990717e-01,4.798802440095223387e-01,1.516649252614969079e+00
-9.523258096792001082e-01,3.367260385536905432e-01,1.672304137645494793e+00
-8.599830088746657220e-01,5.286682183165082316e-01,1.448693305086770966e+00
-9.342715842020508088e-01,3.903849148756992626e-01,1.624309883446252378e+00
-8.375827480559977500e-01,5.688310547952822871e-01,1.382633915226042287e+00
-4.323769745442531121e-01,1.563140018135877440e+00,2.337644678659429182e-02
-9.793977096052581821e-01,2.811732097590974866e-01,1.719695321174529390e+00
-8.695235489516955907e-01,5.044340916107947770e-01,1.483414495772226616e+00
-8.805858980562383254e-01,4.898355879727913642e-01,1.503331219971564936e+00
-8.593298212246117673e-01,5.184417297674606129e-01,1.463948265054169084e+00
-8.859540916068289196e-01,4.850220464695939593e-01,1.509731959917751665e+00
-6.188677069529178176e-01,1.165731779768288234e+00,4.705216814953037119e-01
-4.530175186095097284e-01,1.500475029828401752e+00,8.514440270333506477e-02
-6.487281853706264867e-01,1.062464297171334060e+00,6.075190279865447796e-01
-9.371140520026286502e-01,3.680957646066405631e-01,1.644986207919265864e+00
-7.654448910325355460e-01,7.248462204821697341e-01,1.122462043285482824e+00
-8.306074854380006700e-01,5.745623292445900532e-01,1.372653510408084809e+00
-7.279111174703671860e-01,7.953065063102064958e-01,1.011658113508086876e+00
-9.392192317362977327e-01,3.751201623820652475e-01,1.639522931859663135e+00
-7.361033990257164206e-01,8.225778477799106092e-01,9.698229585482800452e-01
-8.218842059230200281e-01,5.930306347989172666e-01,1.340587351076302447e+00
-9.567511989540466999e-01,3.209154552397877613e-01,1.685857440571700172e+00
-6.811607344516021900e-01,1.035663452612154423e+00,6.474435257796421483e-01
-7.900506447445085900e-01,6.720662646127673057e-01,1.207594356766376276e+00
-7.418928136865637901e-01,8.302980345254803440e-01,9.576849315782123284e-01
-8.148836736888095400e-01,5.968493716084904976e-01,1.333928095374644407e+00
-9.248259388388891944e-01,4.145076863186752392e-01,1.597517257850172401e+00
-7.906804392370361256e-01,6.888992971764206219e-01,1.180243239970883762e+00
-8.226590298908531551e-01,6.040279765024965108e-01,1.321553687751873651e+00
-9.123976094969006301e-01,4.410541778896716614e-01,1.566147266869589938e+00
-8.352925464800662336e-01,5.626441628536811290e-01,1.393256993375840080e+00
-7.854509200038819472e-01,6.798695444292667256e-01,1.194901142579214870e+00
-9.455111238313214095e-01,3.427216487458411009e-01,1.666810225302402193e+00
-4.712237687640433159e-01,1.456034240591014495e+00,1.263970737932617883e-01
-9.693844658591159735e-01,3.019072021884133816e-01,1.701850510442386444e+00
-7.871525919220438983e-01,6.493127660801857326e-01,1.245135859693421665e+00
-9.429375972084301782e-01,3.573720392722496975e-01,1.654263906398194539e+00
-9.783465500862508213e-01,2.699432009462635618e-01,1.728508076180521602e+00
-5.767238230020085288e-01,1.216003492395232088e+00,4.045264195105642280e-01
-9.423296329330368426e-01,3.514103523326969625e-01,1.659610646769250852e+00
-9.386767290756103943e-01,3.648325965898714385e-01,1.648086860394611275e+00
-7.447805051750325811e-01,7.848612164962760485e-01,1.028039478374769278e+00
-8.751870758367470415e-01,5.097857490137652769e-01,1.475940263174008615e+00
-9.117494899715338219e-01,4.373594977130988437e-01,1.570372664429201537e+00
-7.320308032326640069e-01,8.096640060907103198e-01,9.897276293518082468e-01
-9.759181159323403465e-01,2.906476783147410314e-01,1.711954438602537820e+00
-9.424831035594557482e-01,3.463353855297178208e-01,1.663779896545351189e+00
-7.575273454375994753e-01,7.339840855831478716e-01,1.107995505340792386e+00
-9.167151447717911683e-01,4.268514055888042447e-01,1.583144494906906230e+00
-8.807708621427657869e-01,4.993321886686623579e-01,1.490452055036946888e+00
-8.448808777199282583e-01,5.488025773200035928e-01,1.416630419906194538e+00
-5.431787833553364253e-01,1.310334805964382676e+00,2.774815927768965462e-01
-7.854632156317123970e-01,6.566985532908422574e-01,1.232998382411000460e+00
-7.973407625917248165e-01,6.654398258973264202e-01,1.218530975884197787e+00
-9.287893190258783571e-01,3.959201996314146155e-01,1.618109501745210510e+00
-7.366263765564816657e-01,8.811704459330491623e-01,8.800556453465242512e-01
-9.678528551051098772e-01,3.059053975874158060e-01,1.699020782680220165e+00
-2.989448513517399264e-01,1.728401380524572151e+00,1.013063432836724931e-17
-5.181457511718317033e-01,1.400929063766648941e+00,1.760012141118547369e-01
