white,black
6.000000000000000000e+00,3.000000000000000000e+01
2.970000000000000000e+02,2.790000000000000000e+02
2.618900000000000000e+04,1.542700000000000000e+04
2.681700000000000000e+04,1.561900000000000000e+04
2.731800000000000000e+04,1.594600000000000000e+04
2.780600000000000000e+04,1.629400000000000000e+04
2.846400000000000000e+04,1.648000000000000000e+04
2.905500000000000000e+04,1.674100000000000000e+04
2.942300000000000000e+04,1.723300000000000000e+04
3.013100000000000000e+04,1.739300000000000000e+04
3.076200000000000000e+04,1.763800000000000000e+04
3.126100000000000000e+04,1.802300000000000000e+04
3.280000000000000000e+02,3.480000000000000000e+02
3.162700000000000000e+04,1.765700000000000000e+04
3.231600000000000000e+04,1.786000000000000000e+04
3.284100000000000000e+04,1.823500000000000000e+04
3.349000000000000000e+04,1.849400000000000000e+04
3.407400000000000000e+04,1.882600000000000000e+04
3.460900000000000000e+04,1.921500000000000000e+04
3.512400000000000000e+04,1.963200000000000000e+04
3.583000000000000000e+04,1.986600000000000000e+04
3.625100000000000000e+04,2.039300000000000000e+04
3.694900000000000000e+04,2.065100000000000000e+04
4.110000000000000000e+02,3.730000000000000000e+02
3.769600000000000000e+04,2.184000000000000000e+04
3.828700000000000000e+04,2.222900000000000000e+04
3.885400000000000000e+04,2.265000000000000000e+04
3.957400000000000000e+04,2.193000000000000000e+04
4.018700000000000000e+04,2.331700000000000000e+04
4.096600000000000000e+04,2.355000000000000000e+04
4.810000000000000000e+02,4.190000000000000000e+02
5.290000000000000000e+02,4.950000000000000000e+02
6.210000000000000000e+02,5.350000000000000000e+02
7.190000000000000000e+02,5.770000000000000000e+02
8.020000000000000000e+02,6.420000000000000000e+02
8.840000000000000000e+02,7.160000000000000000e+02
1.004000000000000000e+03,7.600000000000000000e+02
1.600000000000000000e+01,4.800000000000000000e+01
1.098000000000000000e+03,8.380000000000000000e+02
1.218000000000000000e+03,8.980000000000000000e+02
1.306000000000000000e+03,8.100000000000000000e+02
1.407000000000000000e+03,8.970000000000000000e+02
1.544000000000000000e+03,9.560000000000000000e+02
1.703000000000000000e+03,1.213000000000000000e+03
