white,black
9.000000000000000000e+00,7.000000000000000000e+00
3.250000000000000000e+02,1.590000000000000000e+02
2.852100000000000000e+04,1.228300000000000000e+04
2.904100000000000000e+04,1.257500000000000000e+04
2.971700000000000000e+04,1.271900000000000000e+04
3.031300000000000000e+04,1.295100000000000000e+04
3.075300000000000000e+04,1.251100000000000000e+04
3.129700000000000000e+04,1.280300000000000000e+04
3.200100000000000000e+04,1.294300000000000000e+04
3.262100000000000000e+04,1.317500000000000000e+04
3.334100000000000000e+04,1.418300000000000000e+04
3.390100000000000000e+04,1.449900000000000000e+04
3.770000000000000000e+02,1.990000000000000000e+02
3.463300000000000000e+04,1.465100000000000000e+04
3.503300000000000000e+04,1.514300000000000000e+04
3.575300000000000000e+04,1.532300000000000000e+04
3.633300000000000000e+04,1.565100000000000000e+04
3.709300000000000000e+04,1.580700000000000000e+04
3.767700000000000000e+04,1.522300000000000000e+04
3.852900000000000000e+04,1.622700000000000000e+04
3.914100000000000000e+04,1.655500000000000000e+04
3.963700000000000000e+04,1.700700000000000000e+04
4.045700000000000000e+04,1.714300000000000000e+04
4.410000000000000000e+02,2.350000000000000000e+02
4.112500000000000000e+04,1.743900000000000000e+04
4.193300000000000000e+04,1.760300000000000000e+04
4.256100000000000000e+04,1.795500000000000000e+04
4.338100000000000000e+04,1.812300000000000000e+04
4.410500000000000000e+04,1.839500000000000000e+04
4.463300000000000000e+04,1.887100000000000000e+04
5.250000000000000000e+02,2.590000000000000000e+02
6.010000000000000000e+02,2.990000000000000000e+02
7.010000000000000000e+02,3.230000000000000000e+02
8.010000000000000000e+02,3.550000000000000000e+02
8.690000000000000000e+02,4.270000000000000000e+02
9.610000000000000000e+02,4.830000000000000000e+02
1.037000000000000000e+03,4.070000000000000000e+02
1.700000000000000000e+01,1.900000000000000000e+01
1.185000000000000000e+03,5.790000000000000000e+02
1.293000000000000000e+03,6.430000000000000000e+02
1.433000000000000000e+03,6.830000000000000000e+02
1.553000000000000000e+03,7.510000000000000000e+02
1.669000000000000000e+03,6.350000000000000000e+02
1.797000000000000000e+03,7.030000000000000000e+02
1.969000000000000000e+03,9.470000000000000000e+02
2.109000000000000000e+03,8.070000000000000000e+02
2.293000000000000000e+03,1.071000000000000000e+03
2.461000000000000000e+03,1.139000000000000000e+03
4.100000000000000000e+01,2.300000000000000000e+01
2.661000000000000000e+03,1.183000000000000000e+03
2.745000000000000000e+03,1.099000000000000000e+03
2.961000000000000000e+03,1.135000000000000000e+03
3.137000000000000000e+03,1.219000000000000000e+03
3.373000000000000000e+03,1.527000000000000000e+03
3.553000000000000000e+03,1.347000000000000000e+03
3.793000000000000000e+03,1.683000000000000000e+03
3.917000000000000000e+03,1.859000000000000000e+03
4.169000000000000000e+03,1.915000000000000000e+03
4.357000000000000000e+03,2.043000000000000000e+03
5.300000000000000000e+01,4.700000000000000000e+01
4.645000000000000000e+03,2.079000000000000000e+03
4.909000000000000000e+03,2.147000000000000000e+03
5.153000000000000000e+03,2.243000000000000000e+03
5.441000000000000000e+03,2.303000000000000000e+03
5.561000000000000000e+03,2.539000000000000000e+03
5.861000000000000000e+03,2.603000000000000000e+03
6.113000000000000000e+03,2.723000000000000000e+03
6.453000000000000000e+03,2.763000000000000000e+03
6.701000000000000000e+03,2.903000000000000000e+03
7.017000000000000000e+03,2.983000000000000000e+03
8.900000000000000000e+01,5.500000000000000000e+01
7.309000000000000000e+03,3.095000000000000000e+03
7.525000000000000000e+03,3.291000000000000000e+03
7.777000000000000000e+03,3.459000000000000000e+03
8.149000000000000000e+03,3.515000000000000000e+03
8.425000000000000000e+03,3.675000000000000000e+03
8.841000000000000000e+03,3.703000000000000000e+03
8.965000000000000000e+03,4.031000000000000000e+03
9.341000000000000000e+03,4.115000000000000000e+03
9.497000000000000000e+03,3.959000000000000000e+03
9.925000000000000000e+03,3.999000000000000000e+03
1.170000000000000000e+02,7.900000000000000000e+01
1.032900000000000000e+04,4.555000000000000000e+03
1.064100000000000000e+04,4.735000000000000000e+03
1.105300000000000000e+04,4.823000000000000000e+03
1.142100000000000000e+04,4.963000000000000000e+03
1.168900000000000000e+04,4.695000000000000000e+03
1.202100000000000000e+04,4.879000000000000000e+03
1.246100000000000000e+04,5.495000000000000000e+03
1.280500000000000000e+04,5.151000000000000000e+03
1.330100000000000000e+04,5.743000000000000000e+03
1.365700000000000000e+04,5.943000000000000000e+03
1.690000000000000000e+02,8.700000000000000000e+01
1.412100000000000000e+04,6.043000000000000000e+03
1.431700000000000000e+04,5.847000000000000000e+03
1.484100000000000000e+04,6.475000000000000000e+03
1.521700000000000000e+04,6.687000000000000000e+03
1.570900000000000000e+04,6.791000000000000000e+03
1.609700000000000000e+04,6.403000000000000000e+03
