fd_box, fd_min, fd_mass
-7.724591842983429268e-01,7.040423269950756291e-01,1.152161149165651821e+00
-7.328341994525119363e-01,8.828083935622186296e-01,8.759782568752314535e-01
-8.569814540474826048e-01,5.170479364738669315e-01,1.462512729602272410e+00
-9.397453593204558864e-01,3.619007048394627946e-01,1.650648311649208111e+00
-7.320353038067937135e-01,8.022285196624964199e-01,9.987267784568749640e-01
-5.317235829357107590e-01,1.295359417074719133e+00,2.991268761634058859e-01
-9.795225842119731352e-01,2.458495417569054320e-01,1.748108102712275347e+00
-7.972556913833208636e-01,6.264046785066583745e-01,1.279404251942665383e+00
-9.279146509017091038e-01,3.858863939934637499e-01,1.627857456459725682e+00
-9.124121909421061272e-01,4.259371316825440457e-01,1.582490225414443952e+00
-9.669329390946364011e-01,2.773598980757794319e-01,1.721611192994954243e+00
-9.675870680643844368e-01,2.823598486350351600e-01,1.717551215625821026e+00
-7.554334839319655215e-01,8.292330713320864577e-01,9.574597684675076881e-01
-7.758246388592545673e-01,6.895115096319321957e-01,1.175717951590965704e+00
-9.618549087840553291e-01,3.002393194548902411e-01,1.702432599783610057e+00
-8.464381009817677493e-01,5.418061821788935362e-01,1.424648705071742461e+00
-6.779976756876768818e-01,1.001215332578699657e+00,6.977628205889321311e-01
-6.558531113882392072e-01,1.045687347960582159e+00,6.329888085155673805e-01
-7.070916208728276198e-01,9.158098022496827806e-01,8.264849669575407010e-01
-9.100194938418079138e-01,4.312203676898447302e-01,1.575947184322459727e+00
-7.036312146268588474e-01,9.620067090748348759e-01,7.565095814048787837e-01
-7.248543617707585707e-01,8.968316187651392823e-01,8.547434031841634194e-01
-9.429375972084306223e-01,3.271822008115586322e-01,1.680292757372688461e+00
-9.805637483521507658e-01,2.512733314874239232e-01,1.743191806029543267e+00
-8.079037806572112457e-01,6.116317419754492279e-01,1.304146312123323881e+00
-9.302267687907733729e-01,3.945987813730095772e-01,1.618443721110274458e+00
-9.456992481771639980e-01,3.390306617463582639e-01,1.669724831079131278e+00
-9.730630299744105205e-01,2.733998745762266647e-01,1.724855328395749066e+00
-1.240689710118717676e-01,1.792019286823792967e+00,3.301967784493892895e-17
-8.881955209488590075e-01,4.648061000007493448e-01,1.534181273925198985e+00
-7.361167348247652509e-01,7.875240871617911198e-01,1.021151090422775853e+00
-7.867491638241473906e-01,6.793823686946109941e-01,1.191961344489651298e+00
-4.085492151153477525e-01,1.607662088145253021e+00,3.037316327834523261e-16
-9.367778477714001628e-01,3.550286942053583750e-01,1.655764054363818794e+00
-8.585379360661085091e-01,5.195685335600908061e-01,1.458961486477933001e+00
-8.555403125360618866e-01,5.255313749927139622e-01,1.450354048309407284e+00
-8.971978800497698581e-01,4.547291333325719220e-01,1.547146897778266306e+00
-9.297573306409003813e-01,3.803195837825523173e-01,1.633996779243664932e+00
-8.737753485443674473e-01,4.955464515176159490e-01,1.492702482775607020e+00
-7.955778787397398411e-01,6.377190324364383489e-01,1.260217172254810558e+00
-9.135461642219576683e-01,4.208901367572372432e-01,1.588341763691988984e+00
-8.448335676240376069e-01,5.369877524173809480e-01,1.432591147389366437e+00
-9.802972889411467605e-01,2.560857371119520387e-01,1.739362163140809825e+00
-8.212787262732812454e-01,5.628544460721792708e-01,1.388079756472078596e+00
-8.338462083332605079e-01,5.530904053183224311e-01,1.405375509359108710e+00
-8.554139727237560775e-01,5.302554942480220967e-01,1.443340545792133778e+00
-8.709574058083068282e-01,5.059577705213034182e-01,1.478218933563193671e+00
-8.114131765288780107e-01,5.927062887794919410e-01,1.336053523446690816e+00
-4.530175186095097284e-01,1.495150583431599900e+00,9.225252714844955904e-02
-6.958932548533809381e-01,9.833572086649068344e-01,7.247275097368491847e-01
-9.050439538084797952e-01,4.521935592160893913e-01,1.550083991348200074e+00
