white,black
6.000000000000000000e+00,1.000000000000000000e+01
3.240000000000000000e+02,2.520000000000000000e+02
2.852900000000000000e+04,1.308700000000000000e+04
2.904600000000000000e+04,1.339000000000000000e+04
2.971700000000000000e+04,1.354700000000000000e+04
3.031500000000000000e+04,1.378500000000000000e+04
3.075600000000000000e+04,1.334400000000000000e+04
3.130800000000000000e+04,1.448800000000000000e+04
3.200900000000000000e+04,1.464700000000000000e+04
3.262000000000000000e+04,1.490400000000000000e+04
3.334200000000000000e+04,1.505800000000000000e+04
3.390500000000000000e+04,1.537900000000000000e+04
3.780000000000000000e+02,2.980000000000000000e+02
3.464000000000000000e+04,1.553600000000000000e+04
3.503200000000000000e+04,1.604400000000000000e+04
3.575200000000000000e+04,1.623200000000000000e+04
3.633500000000000000e+04,1.564900000000000000e+04
3.709700000000000000e+04,1.672700000000000000e+04
3.768100000000000000e+04,1.707500000000000000e+04
3.853700000000000000e+04,1.715900000000000000e+04
3.914600000000000000e+04,1.749800000000000000e+04
3.963900000000000000e+04,1.796100000000000000e+04
4.045900000000000000e+04,1.810500000000000000e+04
4.430000000000000000e+02,3.410000000000000000e+02
4.113300000000000000e+04,1.840300000000000000e+04
4.193700000000000000e+04,1.857900000000000000e+04
4.256600000000000000e+04,1.893800000000000000e+04
4.338800000000000000e+04,1.911200000000000000e+04
4.410500000000000000e+04,1.939900000000000000e+04
4.462900000000000000e+04,1.988700000000000000e+04
5.280000000000000000e+02,3.720000000000000000e+02
6.020000000000000000e+02,4.220000000000000000e+02
7.010000000000000000e+02,4.550000000000000000e+02
8.040000000000000000e+02,4.920000000000000000e+02
8.730000000000000000e+02,5.710000000000000000e+02
9.610000000000000000e+02,6.390000000000000000e+02
1.036000000000000000e+03,5.640000000000000000e+02
1.600000000000000000e+01,4.800000000000000000e+01
1.187000000000000000e+03,7.490000000000000000e+02
1.295000000000000000e+03,8.210000000000000000e+02
1.433000000000000000e+03,8.710000000000000000e+02
1.551000000000000000e+03,9.490000000000000000e+02
1.668000000000000000e+03,8.320000000000000000e+02
1.794000000000000000e+03,1.122000000000000000e+03
1.969000000000000000e+03,1.167000000000000000e+03
2.110000000000000000e+03,1.026000000000000000e+03
2.296000000000000000e+03,1.304000000000000000e+03
2.462000000000000000e+03,1.382000000000000000e+03
4.100000000000000000e+01,5.900000000000000000e+01
2.664000000000000000e+03,1.432000000000000000e+03
2.746000000000000000e+03,1.350000000000000000e+03
2.963000000000000000e+03,1.661000000000000000e+03
3.135000000000000000e+03,1.765000000000000000e+03
3.373000000000000000e+03,1.811000000000000000e+03
3.555000000000000000e+03,1.921000000000000000e+03
3.797000000000000000e+03,1.979000000000000000e+03
3.924000000000000000e+03,2.160000000000000000e+03
4.171000000000000000e+03,1.913000000000000000e+03
4.355000000000000000e+03,2.369000000000000000e+03
5.200000000000000000e+01,4.800000000000000000e+01
4.644000000000000000e+03,2.412000000000000000e+03
4.913000000000000000e+03,2.483000000000000000e+03
5.157000000000000000e+03,2.587000000000000000e+03
5.448000000000000000e+03,2.652000000000000000e+03
5.564000000000000000e+03,2.900000000000000000e+03
5.862000000000000000e+03,2.974000000000000000e+03
6.114000000000000000e+03,3.102000000000000000e+03
6.451000000000000000e+03,3.153000000000000000e+03
6.698000000000000000e+03,3.302000000000000000e+03
7.017000000000000000e+03,3.387000000000000000e+03
8.900000000000000000e+01,1.070000000000000000e+02
7.309000000000000000e+03,3.507000000000000000e+03
7.527000000000000000e+03,3.709000000000000000e+03
7.777000000000000000e+03,3.887000000000000000e+03
8.155000000000000000e+03,3.945000000000000000e+03
8.426000000000000000e+03,4.118000000000000000e+03
8.843000000000000000e+03,4.153000000000000000e+03
8.967000000000000000e+03,4.489000000000000000e+03
9.344000000000000000e+03,4.580000000000000000e+03
9.502000000000000000e+03,4.422000000000000000e+03
9.924000000000000000e+03,4.960000000000000000e+03
1.190000000000000000e+02,1.370000000000000000e+02
1.032600000000000000e+04,5.050000000000000000e+03
1.063700000000000000e+04,5.239000000000000000e+03
1.105700000000000000e+04,5.327000000000000000e+03
1.142200000000000000e+04,5.478000000000000000e+03
1.168900000000000000e+04,5.735000000000000000e+03
1.202300000000000000e+04,5.401000000000000000e+03
1.246200000000000000e+04,6.034000000000000000e+03
1.280900000000000000e+04,6.235000000000000000e+03
1.330200000000000000e+04,6.298000000000000000e+03
1.365800000000000000e+04,6.506000000000000000e+03
1.700000000000000000e+02,1.540000000000000000e+02
1.411800000000000000e+04,6.618000000000000000e+03
1.432000000000000000e+04,6.996000000000000000e+03
1.484300000000000000e+04,6.473000000000000000e+03
1.522100000000000000e+04,7.279000000000000000e+03
1.571900000000000000e+04,7.385000000000000000e+03
1.610100000000000000e+04,7.615000000000000000e+03
1.659500000000000000e+04,7.741000000000000000e+03
1.704300000000000000e+04,7.921000000000000000e+03
1.737400000000000000e+04,8.226000000000000000e+03
1.793000000000000000e+04,8.314000000000000000e+03
2.120000000000000000e+02,1.880000000000000000e+02
1.833800000000000000e+04,8.558000000000000000e+03
1.891200000000000000e+04,8.644000000000000000e+03
1.934000000000000000e+04,8.884000000000000000e+03
1.989100000000000000e+04,9.009000000000000000e+03
2.012100000000000000e+04,9.463000000000000000e+03
2.074200000000000000e+04,9.534000000000000000e+03
2.118500000000000000e+04,9.791000000000000000e+03
2.178000000000000000e+04,9.904000000000000000e+03
2.224600000000000000e+04,1.015400000000000000e+04
2.281500000000000000e+04,1.030900000000000000e+04
2.720000000000000000e+02,2.120000000000000000e+02
2.333400000000000000e+04,1.052200000000000000e+04
2.371900000000000000e+04,1.087700000000000000e+04
2.419600000000000000e+04,1.114800000000000000e+04
2.482700000000000000e+04,1.127300000000000000e+04
2.510400000000000000e+04,1.099600000000000000e+04
2.573800000000000000e+04,1.189800000000000000e+04
2.623100000000000000e+04,1.218500000000000000e+04
2.686800000000000000e+04,1.233600000000000000e+04
2.720900000000000000e+04,1.279100000000000000e+04
2.786100000000000000e+04,1.213900000000000000e+04
6.000000000000000000e+00,1.000000000000000000e+01
3.270000000000000000e+02,2.490000000000000000e+02
2.852700000000000000e+04,1.308900000000000000e+04
2.904300000000000000e+04,1.257300000000000000e+04
2.972500000000000000e+04,1.353900000000000000e+04
3.031300000000000000e+04,1.378700000000000000e+04
3.075400000000000000e+04,1.334600000000000000e+04
3.131000000000000000e+04,1.363400000000000000e+04
3.200800000000000000e+04,1.378800000000000000e+04
3.262500000000000000e+04,1.403100000000000000e+04
3.334500000000000000e+04,1.505500000000000000e+04
3.390400000000000000e+04,1.538000000000000000e+04
3.760000000000000000e+02,3.000000000000000000e+02
3.463200000000000000e+04,1.554400000000000000e+04
3.503100000000000000e+04,1.514500000000000000e+04
3.576600000000000000e+04,1.621800000000000000e+04
