white,black
2.705120000000000000e+05,1.188640000000000000e+05
2.666920000000000000e+05,1.152320000000000000e+05
2.709600000000000000e+05,1.234240000000000000e+05
2.730070000000000000e+05,1.213770000000000000e+05
2.698670000000000000e+05,1.170170000000000000e+05
2.720390000000000000e+05,1.198370000000000000e+05
2.759110000000000000e+05,1.184730000000000000e+05
2.746740000000000000e+05,1.197100000000000000e+05
4.147400000000000000e+05,2.125240000000000000e+05
4.140420000000000000e+05,2.100580000000000000e+05
