fd_box, fd_min, fd_mass
-8.961245916143293355e-01,4.656277084912301412e-01,1.536392536844269685e+00
-8.644889242167382859e-01,5.352685065377593698e-01,1.440273472185083170e+00
-5.443701220086675230e-01,1.298426024724617989e+00,2.915421584353355411e-01
-9.759458371859048853e-01,2.901213231203823018e-01,1.710432950982389011e+00
-8.409522852074653443e-01,5.757333697122364313e-01,1.373860806076843355e+00
-9.105461346866984274e-01,4.561762077633628731e-01,1.548245785392331264e+00
-8.083441567186381294e-01,6.285695905887550561e-01,1.283039945415398453e+00
-8.008839026598519872e-01,6.363781497713053570e-01,1.269836562951819348e+00
-7.835138861983710346e-01,6.689047447712538341e-01,1.215515339304685360e+00
-9.283644925465454056e-01,4.107174952418337077e-01,1.601891035639572580e+00
-7.449745854601280692e-01,8.741584661285328739e-01,8.909988555154186862e-01
-8.185117875062956072e-01,5.983988711422463247e-01,1.334859768692560733e+00
-7.843620362189630546e-01,6.755494648447571970e-01,1.204469577291351401e+00
-8.471930468182095053e-01,5.555675632189832625e-01,1.407629102387646824e+00
-7.783041991689357841e-01,6.627160966221062877e-01,1.225707457312103399e+00
-7.893915267778190969e-01,6.998311194118225220e-01,1.164798023247161973e+00
-7.540370309750560329e-01,7.700499176251935918e-01,1.052336099379541867e+00
-1.240689710118717676e-01,1.820567529471839086e+00,-3.343629806015300984e-17
-8.447472086033757099e-01,5.606837741799332031e-01,1.399151024089986706e+00
-7.342035161965717593e-01,8.338449827166346529e-01,9.530359877712324401e-01
-7.797746965146595821e-01,6.929660481713757481e-01,1.175940240967670691e+00
-8.709351977460958460e-01,5.168273143990154139e-01,1.468212758490185843e+00
-8.737679281197191505e-01,5.119213084361562416e-01,1.475187625958830351e+00
-5.685042089654200881e-01,1.233023810926553443e+00,3.788414601230694623e-01
-9.142131545490530531e-01,4.420361345796440244e-01,1.565568958742292738e+00
-9.430589354485614528e-01,3.775725465942181835e-01,1.635334274741215621e+00
-7.500487515988467635e-01,8.228290589554472234e-01,9.700392979114345060e-01
-8.000494880135924358e-01,6.488576455167681667e-01,1.248800217025101356e+00
-3.803669573474414145e-01,1.641264595362522893e+00,2.064054405835610145e-02
-9.317532479252477184e-01,4.013073160928586347e-01,1.612118898998816219e+00
-5.767238230020085288e-01,1.200743773905289302e+00,4.215054455554632651e-01
-7.569577653622531210e-01,8.124310703978615544e-01,9.861559729201283542e-01
-9.488807390754488980e-01,3.623628196159847104e-01,1.648463088175347924e+00
-8.806714302717154608e-01,5.071606282560122692e-01,1.481716527641083081e+00
-8.286829955010264204e-01,5.856025293884454808e-01,1.356984432145999619e+00
-7.964689470201324895e-01,6.845060254181675186e-01,1.189791126446144265e+00
-6.872861326012889016e-01,9.819561757753386688e-01,7.268719040272715315e-01
-6.211784746547689418e-01,1.143961800439021514e+00,4.955606841349906588e-01
-9.741892902304759572e-01,2.944214898086424670e-01,1.706833533515000667e+00
-8.779595279293033183e-01,5.030027155172834830e-01,1.487415129561389548e+00
-8.666434063837882285e-01,5.251295823172491550e-01,1.455907873267215935e+00
-7.665695255198775593e-01,7.402869352072189990e-01,1.099434774426206740e+00
-9.712995432493654047e-01,2.991911042125365294e-01,1.702772725737056625e+00
-9.426887718574769037e-01,3.881326047000951962e-01,1.626166055711326885e+00
-7.426169163005813534e-01,8.010327904762042373e-01,1.003906255915850920e+00
-8.889052217518067511e-01,4.888397251931122511e-01,1.506384578550946429e+00
-9.576150275626101882e-01,3.249775500750560209e-01,1.680910172639459077e+00
-5.317235829357107590e-01,1.331415067799607499e+00,2.500569408616100664e-01
-8.868395262988930661e-01,4.986771907469303433e-01,1.493246061225448118e+00
-8.278730325771890275e-01,5.811415331093344738e-01,1.364681913260541224e+00
-5.673528042966150542e-01,1.260487233449379740e+00,3.416554006610357241e-01
-8.246107594595561974e-01,5.918857212704188298e-01,1.346109313076627290e+00
-4.530175186095097284e-01,1.515479592678307785e+00,6.784475027397622593e-02
-5.317235829357107590e-01,1.377837582550244244e+00,1.994035459004992739e-01
-6.402428914595250653e-01,1.076469374543222113e+00,5.854950656412839516e-01
-9.504204469153481050e-01,3.349766228934772938e-01,1.672288196545653971e+00
-9.313102232360028765e-01,4.059778218315434062e-01,1.607065988067197360e+00
-7.346253496872245936e-01,8.888924264299640221e-01,8.685607000549590007e-01
-9.239477786829904948e-01,4.162184201191616584e-01,1.595463357091641443e+00
-7.612696128693368092e-01,7.332429331179358689e-01,1.110820061241280188e+00
-9.521155527479443492e-01,3.459000557059765946e-01,1.662863803359729387e+00
