white,black
6.000000000000000000e+00,1.000000000000000000e+01
2.600000000000000000e+02,3.160000000000000000e+02
2.397700000000000000e+04,1.763900000000000000e+04
2.458800000000000000e+04,1.784800000000000000e+04
2.509500000000000000e+04,1.816900000000000000e+04
2.559200000000000000e+04,1.767200000000000000e+04
2.605800000000000000e+04,1.888600000000000000e+04
2.651700000000000000e+04,1.842700000000000000e+04
2.702500000000000000e+04,1.877100000000000000e+04
2.753700000000000000e+04,1.998700000000000000e+04
2.799000000000000000e+04,2.041000000000000000e+04
2.857300000000000000e+04,2.071100000000000000e+04
3.200000000000000000e+02,3.560000000000000000e+02
2.901900000000000000e+04,2.115700000000000000e+04
2.947000000000000000e+04,2.070600000000000000e+04
3.010600000000000000e+04,2.187800000000000000e+04
3.060500000000000000e+04,2.137900000000000000e+04
3.114700000000000000e+04,2.267700000000000000e+04
3.176400000000000000e+04,2.299200000000000000e+04
3.232200000000000000e+04,2.243400000000000000e+04
3.283100000000000000e+04,2.381300000000000000e+04
3.341800000000000000e+04,2.322600000000000000e+04
3.393200000000000000e+04,2.366800000000000000e+04
3.720000000000000000e+02,3.040000000000000000e+02
3.461400000000000000e+04,2.492200000000000000e+04
3.525100000000000000e+04,2.526500000000000000e+04
3.575900000000000000e+04,2.574500000000000000e+04
3.637900000000000000e+04,2.612100000000000000e+04
3.695700000000000000e+04,2.654700000000000000e+04
3.746900000000000000e+04,2.603500000000000000e+04
4.390000000000000000e+02,3.450000000000000000e+02
5.210000000000000000e+02,3.790000000000000000e+02
5.870000000000000000e+02,4.370000000000000000e+02
6.370000000000000000e+02,5.190000000000000000e+02
7.190000000000000000e+02,5.770000000000000000e+02
8.140000000000000000e+02,6.300000000000000000e+02
9.060000000000000000e+02,6.940000000000000000e+02
1.500000000000000000e+01,4.900000000000000000e+01
1.006000000000000000e+03,7.580000000000000000e+02
1.100000000000000000e+03,1.016000000000000000e+03
1.204000000000000000e+03,9.120000000000000000e+02
1.300000000000000000e+03,1.200000000000000000e+03
1.428000000000000000e+03,1.276000000000000000e+03
1.545000000000000000e+03,1.371000000000000000e+03
1.652000000000000000e+03,1.264000000000000000e+03
1.810000000000000000e+03,1.326000000000000000e+03
1.952000000000000000e+03,1.412000000000000000e+03
2.063000000000000000e+03,1.781000000000000000e+03
3.000000000000000000e+01,7.000000000000000000e+01
2.216000000000000000e+03,1.880000000000000000e+03
2.379000000000000000e+03,1.977000000000000000e+03
2.532000000000000000e+03,1.824000000000000000e+03
2.707000000000000000e+03,2.193000000000000000e+03
2.861000000000000000e+03,2.323000000000000000e+03
3.008000000000000000e+03,2.176000000000000000e+03
3.189000000000000000e+03,2.287000000000000000e+03
3.331000000000000000e+03,2.445000000000000000e+03
3.533000000000000000e+03,2.867000000000000000e+03
3.733000000000000000e+03,2.991000000000000000e+03
4.800000000000000000e+01,9.600000000000000000e+01
3.937000000000000000e+03,2.787000000000000000e+03
4.134000000000000000e+03,2.922000000000000000e+03
4.345000000000000000e+03,3.399000000000000000e+03
4.506000000000000000e+03,3.594000000000000000e+03
4.748000000000000000e+03,3.716000000000000000e+03
4.936000000000000000e+03,3.900000000000000000e+03
5.177000000000000000e+03,4.039000000000000000e+03
5.366000000000000000e+03,4.238000000000000000e+03
5.566000000000000000e+03,4.038000000000000000e+03
5.816000000000000000e+03,4.184000000000000000e+03
7.300000000000000000e+01,7.100000000000000000e+01
6.101000000000000000e+03,4.715000000000000000e+03
6.322000000000000000e+03,4.914000000000000000e+03
6.531000000000000000e+03,5.133000000000000000e+03
6.827000000000000000e+03,5.273000000000000000e+03
7.043000000000000000e+03,5.057000000000000000e+03
7.339000000000000000e+03,5.657000000000000000e+03
7.540000000000000000e+03,5.456000000000000000e+03
7.875000000000000000e+03,6.049000000000000000e+03
8.159000000000000000e+03,6.241000000000000000e+03
8.445000000000000000e+03,5.955000000000000000e+03
1.040000000000000000e+02,1.520000000000000000e+02
8.674000000000000000e+03,6.210000000000000000e+03
9.004000000000000000e+03,6.872000000000000000e+03
9.315000000000000000e+03,6.561000000000000000e+03
9.653000000000000000e+03,7.247000000000000000e+03
9.998000000000000000e+03,7.426000000000000000e+03
1.026300000000000000e+04,7.693000000000000000e+03
1.056800000000000000e+04,7.928000000000000000e+03
1.080500000000000000e+04,7.691000000000000000e+03
1.118800000000000000e+04,8.412000000000000000e+03
1.148900000000000000e+04,8.111000000000000000e+03
1.380000000000000000e+02,1.860000000000000000e+02
1.182000000000000000e+04,8.916000000000000000e+03
1.220000000000000000e+04,9.116000000000000000e+03
1.259100000000000000e+04,8.725000000000000000e+03
1.283600000000000000e+04,9.068000000000000000e+03
1.323700000000000000e+04,9.867000000000000000e+03
1.359400000000000000e+04,1.012200000000000000e+04
1.399700000000000000e+04,1.033900000000000000e+04
1.436000000000000000e+04,1.060400000000000000e+04
1.464300000000000000e+04,1.095700000000000000e+04
1.505200000000000000e+04,1.054800000000000000e+04
1.730000000000000000e+02,2.270000000000000000e+02
1.542800000000000000e+04,1.081600000000000000e+04
1.576300000000000000e+04,1.179300000000000000e+04
1.612700000000000000e+04,1.209700000000000000e+04
1.658800000000000000e+04,1.231200000000000000e+04
1.697800000000000000e+04,1.260600000000000000e+04
1.744800000000000000e+04,1.282800000000000000e+04
1.774800000000000000e+04,1.322800000000000000e+04
1.819500000000000000e+04,1.278100000000000000e+04
1.867400000000000000e+04,1.372600000000000000e+04
1.905900000000000000e+04,1.406500000000000000e+04
2.220000000000000000e+02,1.780000000000000000e+02
1.959000000000000000e+04,1.426600000000000000e+04
1.997600000000000000e+04,1.462000000000000000e+04
2.032700000000000000e+04,1.426900000000000000e+04
2.085200000000000000e+04,1.524800000000000000e+04
2.134600000000000000e+04,1.551800000000000000e+04
2.180500000000000000e+04,1.583100000000000000e+04
2.217500000000000000e+04,1.624100000000000000e+04
2.260900000000000000e+04,1.659500000000000000e+04
2.310500000000000000e+04,1.609900000000000000e+04
2.359700000000000000e+04,1.720700000000000000e+04
7.000000000000000000e+00,9.000000000000000000e+00
2.600000000000000000e+02,3.160000000000000000e+02
2.396300000000000000e+04,1.765300000000000000e+04
2.460100000000000000e+04,1.783500000000000000e+04
2.508100000000000000e+04,1.818300000000000000e+04
2.559800000000000000e+04,1.766600000000000000e+04
2.605800000000000000e+04,1.888600000000000000e+04
2.650100000000000000e+04,1.929500000000000000e+04
2.703800000000000000e+04,1.961800000000000000e+04
2.753400000000000000e+04,1.912200000000000000e+04
2.800100000000000000e+04,1.952300000000000000e+04
2.854900000000000000e+04,2.073500000000000000e+04
3.160000000000000000e+02,3.600000000000000000e+02
2.900600000000000000e+04,2.117000000000000000e+04
2.948400000000000000e+04,2.069200000000000000e+04
3.010200000000000000e+04,2.097400000000000000e+04
3.061400000000000000e+04,2.137000000000000000e+04
3.113600000000000000e+04,2.176400000000000000e+04
3.176400000000000000e+04,2.206000000000000000e+04
3.234500000000000000e+04,2.241100000000000000e+04
3.283200000000000000e+04,2.381200000000000000e+04
3.343000000000000000e+04,2.321400000000000000e+04
3.391100000000000000e+04,2.465300000000000000e+04
3.750000000000000000e+02,4.090000000000000000e+02
3.462500000000000000e+04,2.393900000000000000e+04
