white,black
5.210000000000000000e+03,6.454000000000000000e+03
4.057000000000000000e+03,4.407000000000000000e+03
2.860000000000000000e+03,1.013600000000000000e+04
4.208000000000000000e+03,9.248000000000000000e+03
4.317000000000000000e+03,3.427000000000000000e+03
3.703000000000000000e+03,3.021000000000000000e+03
1.341000000000000000e+03,2.755000000000000000e+03
3.614000000000000000e+03,9.842000000000000000e+03
2.410000000000000000e+03,3.066000000000000000e+03
5.099000000000000000e+03,3.365000000000000000e+03
3.865000000000000000e+03,4.235000000000000000e+03
4.275000000000000000e+03,4.941000000000000000e+03
5.278000000000000000e+03,3.558000000000000000e+03
1.930000000000000000e+03,3.546000000000000000e+03
3.819000000000000000e+03,5.017000000000000000e+03
3.616000000000000000e+03,4.484000000000000000e+03
2.138000000000000000e+03,5.258000000000000000e+03
8.140000000000000000e+02,1.122000000000000000e+03
4.231000000000000000e+03,5.373000000000000000e+03
2.938000000000000000e+03,2.838000000000000000e+03
3.523000000000000000e+03,4.577000000000000000e+03
3.206000000000000000e+03,3.850000000000000000e+03
2.954000000000000000e+03,5.146000000000000000e+03
3.489000000000000000e+03,4.975000000000000000e+03
2.414000000000000000e+03,3.062000000000000000e+03
2.617000000000000000e+03,5.127000000000000000e+03
4.476000000000000000e+03,3.988000000000000000e+03
4.210000000000000000e+03,9.246000000000000000e+03
4.523000000000000000e+03,4.693000000000000000e+03
4.191000000000000000e+03,4.645000000000000000e+03
3.831000000000000000e+03,9.165000000000000000e+03
3.831000000000000000e+03,9.165000000000000000e+03
5.806000000000000000e+03,7.190000000000000000e+03
9.615000000000000000e+03,2.066100000000000000e+04
3.168000000000000000e+03,6.436000000000000000e+03
5.143000000000000000e+03,3.321000000000000000e+03
4.441000000000000000e+03,5.163000000000000000e+03
3.056000000000000000e+03,5.044000000000000000e+03
2.624000000000000000e+03,7.376000000000000000e+03
3.634000000000000000e+03,5.970000000000000000e+03
3.592000000000000000e+03,4.872000000000000000e+03
4.516000000000000000e+03,3.584000000000000000e+03
2.968000000000000000e+03,2.808000000000000000e+03
2.231000000000000000e+03,4.169000000000000000e+03
4.097000000000000000e+03,1.078700000000000000e+04
2.738000000000000000e+03,6.098000000000000000e+03
3.322000000000000000e+03,2.762000000000000000e+03
3.364000000000000000e+03,3.360000000000000000e+03
2.810000000000000000e+03,4.586000000000000000e+03
3.089000000000000000e+03,6.515000000000000000e+03
3.973000000000000000e+03,3.771000000000000000e+03
2.956000000000000000e+03,5.508000000000000000e+03
3.072000000000000000e+03,6.928000000000000000e+03
3.137000000000000000e+03,2.639000000000000000e+03
3.535000000000000000e+03,9.009000000000000000e+03
5.846000000000000000e+03,5.390000000000000000e+03
4.155000000000000000e+03,3.945000000000000000e+03
3.988000000000000000e+03,5.228000000000000000e+03
3.693000000000000000e+03,1.070700000000000000e+04
2.741000000000000000e+03,6.475000000000000000e+03
3.679000000000000000e+03,3.045000000000000000e+03
3.213000000000000000e+03,1.971000000000000000e+03
3.761000000000000000e+03,1.016300000000000000e+04
3.503000000000000000e+03,1.554100000000000000e+04
2.510000000000000000e+03,4.546000000000000000e+03
2.686000000000000000e+03,5.414000000000000000e+03
2.312000000000000000e+03,5.432000000000000000e+03
2.336000000000000000e+03,6.128000000000000000e+03
3.808000000000000000e+03,1.579200000000000000e+04
4.336000000000000000e+03,3.764000000000000000e+03
3.790000000000000000e+03,4.310000000000000000e+03
3.967000000000000000e+03,5.249000000000000000e+03
4.907000000000000000e+03,1.147700000000000000e+04
4.322000000000000000e+03,4.514000000000000000e+03
3.404000000000000000e+03,1.005200000000000000e+04
3.848000000000000000e+03,4.252000000000000000e+03
4.377000000000000000e+03,6.859000000000000000e+03
3.111000000000000000e+03,6.105000000000000000e+03
4.648000000000000000e+03,7.452000000000000000e+03
3.073000000000000000e+03,4.323000000000000000e+03
3.206000000000000000e+03,2.878000000000000000e+03
4.035000000000000000e+03,3.709000000000000000e+03
3.891000000000000000e+03,8.653000000000000000e+03
4.125000000000000000e+03,5.479000000000000000e+03
3.882000000000000000e+03,4.218000000000000000e+03
2.753000000000000000e+03,3.647000000000000000e+03
3.206000000000000000e+03,7.198000000000000000e+03
2.965000000000000000e+03,1.719900000000000000e+04
3.202000000000000000e+03,3.198000000000000000e+03
5.564000000000000000e+03,1.293200000000000000e+04
3.479000000000000000e+03,4.985000000000000000e+03
2.326000000000000000e+03,3.150000000000000000e+03
3.444000000000000000e+03,4.656000000000000000e+03
3.643000000000000000e+03,9.353000000000000000e+03
4.137000000000000000e+03,5.079000000000000000e+03
5.204000000000000000e+03,1.439600000000000000e+04
2.925000000000000000e+03,3.475000000000000000e+03
4.480000000000000000e+03,6.336000000000000000e+03
3.506000000000000000e+03,3.890000000000000000e+03
4.361000000000000000e+03,5.243000000000000000e+03
5.575000000000000000e+03,4.425000000000000000e+03
3.671000000000000000e+03,6.329000000000000000e+03
4.172000000000000000e+03,3.572000000000000000e+03
1.320000000000000000e+03,2.044000000000000000e+03
3.364000000000000000e+03,7.040000000000000000e+03
3.880000000000000000e+03,5.724000000000000000e+03
2.456000000000000000e+03,5.288000000000000000e+03
4.704000000000000000e+03,5.296000000000000000e+03
4.067000000000000000e+03,9.389000000000000000e+03
3.475000000000000000e+03,6.929000000000000000e+03
3.733000000000000000e+03,3.323000000000000000e+03
4.098000000000000000e+03,4.002000000000000000e+03
4.451000000000000000e+03,5.153000000000000000e+03
3.837000000000000000e+03,3.219000000000000000e+03
3.631000000000000000e+03,3.093000000000000000e+03
4.201000000000000000e+03,4.263000000000000000e+03
4.172000000000000000e+03,2.884000000000000000e+03
4.455000000000000000e+03,1.296900000000000000e+04
4.573000000000000000e+03,7.971000000000000000e+03
5.298000000000000000e+03,7.246000000000000000e+03
4.846000000000000000e+03,4.758000000000000000e+03
4.160000000000000000e+03,1.274000000000000000e+04
3.282000000000000000e+03,3.118000000000000000e+03
3.567000000000000000e+03,4.177000000000000000e+03
3.538000000000000000e+03,3.186000000000000000e+03
2.871000000000000000e+03,3.853000000000000000e+03
2.687000000000000000e+03,6.917000000000000000e+03
2.785000000000000000e+03,2.991000000000000000e+03
3.752000000000000000e+03,5.464000000000000000e+03
3.183000000000000000e+03,6.817000000000000000e+03
4.982000000000000000e+03,4.622000000000000000e+03
3.790000000000000000e+03,3.606000000000000000e+03
4.066000000000000000e+03,7.598000000000000000e+03
3.824000000000000000e+03,6.580000000000000000e+03
2.864000000000000000e+03,5.600000000000000000e+03
2.027000000000000000e+03,3.749000000000000000e+03
3.112000000000000000e+03,4.988000000000000000e+03
3.341000000000000000e+03,5.123000000000000000e+03
2.385000000000000000e+03,7.219000000000000000e+03
4.753000000000000000e+03,8.243000000000000000e+03
4.243000000000000000e+03,4.593000000000000000e+03
5.319000000000000000e+03,3.145000000000000000e+03
3.520000000000000000e+03,3.204000000000000000e+03
5.352000000000000000e+03,5.884000000000000000e+03
3.968000000000000000e+03,2.756000000000000000e+03
3.743000000000000000e+03,3.653000000000000000e+03
1.903000000000000000e+03,2.997000000000000000e+03
3.161000000000000000e+03,7.243000000000000000e+03
4.411000000000000000e+03,3.333000000000000000e+03
1.674000000000000000e+03,3.226000000000000000e+03
3.298000000000000000e+03,8.366000000000000000e+03
5.603000000000000000e+03,4.001000000000000000e+03
3.806000000000000000e+03,3.250000000000000000e+03
3.386000000000000000e+03,1.053800000000000000e+04
4.692000000000000000e+03,6.972000000000000000e+03
3.972000000000000000e+03,3.424000000000000000e+03
3.589000000000000000e+03,4.875000000000000000e+03
3.704000000000000000e+03,8.396000000000000000e+03
3.612000000000000000e+03,6.388000000000000000e+03
3.138000000000000000e+03,1.223800000000000000e+04
4.096000000000000000e+03,6.308000000000000000e+03
2.178000000000000000e+03,3.906000000000000000e+03
3.689000000000000000e+03,5.147000000000000000e+03
3.510000000000000000e+03,9.034000000000000000e+03
2.938000000000000000e+03,4.118000000000000000e+03
3.641000000000000000e+03,6.359000000000000000e+03
3.077000000000000000e+03,5.759000000000000000e+03
4.005000000000000000e+03,1.187100000000000000e+04
2.613000000000000000e+03,2.863000000000000000e+03
2.993000000000000000e+03,1.093100000000000000e+04
3.930000000000000000e+03,7.734000000000000000e+03
4.254000000000000000e+03,6.150000000000000000e+03
3.134000000000000000e+03,1.079000000000000000e+04
2.484000000000000000e+03,7.516000000000000000e+03
4.995000000000000000e+03,9.889000000000000000e+03
4.411000000000000000e+03,8.133000000000000000e+03
4.694000000000000000e+03,3.406000000000000000e+03
4.411000000000000000e+03,4.805000000000000000e+03
2.627000000000000000e+03,4.097000000000000000e+03
4.594000000000000000e+03,4.242000000000000000e+03
3.470000000000000000e+03,4.274000000000000000e+03
6.890000000000000000e+02,1.247000000000000000e+03
3.293000000000000000e+03,4.807000000000000000e+03
3.211000000000000000e+03,3.189000000000000000e+03
3.501000000000000000e+03,2.275000000000000000e+03
4.296000000000000000e+03,4.168000000000000000e+03
3.700000000000000000e+03,8.844000000000000000e+03
4.047000000000000000e+03,2.677000000000000000e+03
3.855000000000000000e+03,6.549000000000000000e+03
3.031000000000000000e+03,4.713000000000000000e+03
3.852000000000000000e+03,3.544000000000000000e+03
2.749000000000000000e+03,5.715000000000000000e+03
3.247000000000000000e+03,6.753000000000000000e+03
4.349000000000000000e+03,2.707000000000000000e+03
4.543000000000000000e+03,4.673000000000000000e+03
3.383000000000000000e+03,4.361000000000000000e+03
3.423000000000000000e+03,3.973000000000000000e+03
4.296000000000000000e+03,3.448000000000000000e+03
4.844000000000000000e+03,8.152000000000000000e+03
2.946000000000000000e+03,3.454000000000000000e+03
3.662000000000000000e+03,4.082000000000000000e+03
4.383000000000000000e+03,1.635300000000000000e+04
3.532000000000000000e+03,2.868000000000000000e+03
