white,black
3.000000000000000000e+00,1.000000000000000000e+00
2.210000000000000000e+02,1.790000000000000000e+02
2.016100000000000000e+04,1.983900000000000000e+04
2.052100000000000000e+04,2.028300000000000000e+04
2.106900000000000000e+04,2.054700000000000000e+04
2.143700000000000000e+04,2.099900000000000000e+04
2.200100000000000000e+04,2.209900000000000000e+04
2.237300000000000000e+04,2.257100000000000000e+04
2.275300000000000000e+04,2.219100000000000000e+04
2.332900000000000000e+04,2.332700000000000000e+04
2.371700000000000000e+04,2.380700000000000000e+04
2.391300000000000000e+04,2.361100000000000000e+04
2.810000000000000000e+02,2.950000000000000000e+02
2.430500000000000000e+04,2.409500000000000000e+04
2.490100000000000000e+04,2.438300000000000000e+04
2.530100000000000000e+04,2.487500000000000000e+04
2.591300000000000000e+04,2.607100000000000000e+04
2.631700000000000000e+04,2.658300000000000000e+04
2.693700000000000000e+04,2.688700000000000000e+04
2.735300000000000000e+04,2.740300000000000000e+04
2.777300000000000000e+04,2.792300000000000000e+04
2.798500000000000000e+04,2.771100000000000000e+04
2.840900000000000000e+04,2.823500000000000000e+04
3.290000000000000000e+02,3.470000000000000000e+02
2.905300000000000000e+04,2.854700000000000000e+04
2.948500000000000000e+04,2.907900000000000000e+04
3.014500000000000000e+04,3.037100000000000000e+04
3.058100000000000000e+04,2.993500000000000000e+04
3.124900000000000000e+04,3.125100000000000000e+04
3.169700000000000000e+04,3.180700000000000000e+04
3.970000000000000000e+02,3.870000000000000000e+02
4.490000000000000000e+02,4.510000000000000000e+02
4.810000000000000000e+02,4.190000000000000000e+02
5.330000000000000000e+02,4.910000000000000000e+02
6.250000000000000000e+02,5.310000000000000000e+02
6.890000000000000000e+02,6.070000000000000000e+02
7.930000000000000000e+02,8.070000000000000000e+02
1.700000000000000000e+01,1.900000000000000000e+01
8.650000000000000000e+02,8.990000000000000000e+02
9.450000000000000000e+02,9.910000000000000000e+02
1.061000000000000000e+03,1.055000000000000000e+03
1.145000000000000000e+03,1.159000000000000000e+03
1.193000000000000000e+03,1.111000000000000000e+03
1.277000000000000000e+03,1.223000000000000000e+03
1.417000000000000000e+03,1.287000000000000000e+03
1.513000000000000000e+03,1.403000000000000000e+03
1.665000000000000000e+03,1.699000000000000000e+03
1.769000000000000000e+03,1.831000000000000000e+03
3.300000000000000000e+01,3.100000000000000000e+01
1.881000000000000000e+03,1.719000000000000000e+03
2.045000000000000000e+03,2.051000000000000000e+03
2.161000000000000000e+03,2.195000000000000000e+03
2.341000000000000000e+03,2.283000000000000000e+03
2.341000000000000000e+03,2.283000000000000000e+03
2.529000000000000000e+03,2.371000000000000000e+03
2.657000000000000000e+03,2.527000000000000000e+03
2.857000000000000000e+03,2.919000000000000000e+03
2.993000000000000000e+03,3.091000000000000000e+03
3.137000000000000000e+03,2.947000000000000000e+03
5.300000000000000000e+01,4.700000000000000000e+01
3.349000000000000000e+03,3.375000000000000000e+03
3.497000000000000000e+03,3.559000000000000000e+03
3.725000000000000000e+03,3.671000000000000000e+03
3.725000000000000000e+03,3.671000000000000000e+03
3.961000000000000000e+03,3.783000000000000000e+03
4.121000000000000000e+03,3.979000000000000000e+03
4.369000000000000000e+03,4.467000000000000000e+03
4.537000000000000000e+03,4.299000000000000000e+03
4.797000000000000000e+03,4.807000000000000000e+03
4.973000000000000000e+03,5.027000000000000000e+03
5.300000000000000000e+01,4.700000000000000000e+01
5.153000000000000000e+03,5.251000000000000000e+03
5.429000000000000000e+03,5.387000000000000000e+03
5.429000000000000000e+03,5.387000000000000000e+03
5.713000000000000000e+03,5.523000000000000000e+03
5.905000000000000000e+03,5.759000000000000000e+03
6.201000000000000000e+03,6.343000000000000000e+03
6.401000000000000000e+03,6.143000000000000000e+03
6.709000000000000000e+03,6.747000000000000000e+03
6.917000000000000000e+03,7.007000000000000000e+03
7.129000000000000000e+03,7.271000000000000000e+03
8.900000000000000000e+01,5.500000000000000000e+01
7.453000000000000000e+03,7.431000000000000000e+03
7.673000000000000000e+03,7.703000000000000000e+03
7.785000000000000000e+03,7.591000000000000000e+03
8.009000000000000000e+03,7.867000000000000000e+03
8.353000000000000000e+03,8.031000000000000000e+03
8.585000000000000000e+03,8.315000000000000000e+03
8.941000000000000000e+03,9.015000000000000000e+03
9.181000000000000000e+03,9.315000000000000000e+03
9.425000000000000000e+03,9.071000000000000000e+03
9.797000000000000000e+03,9.803000000000000000e+03
1.090000000000000000e+02,8.700000000000000000e+01
1.004900000000000000e+04,1.011500000000000000e+04
1.017700000000000000e+04,9.987000000000000000e+03
1.043300000000000000e+04,1.030300000000000000e+04
1.082500000000000000e+04,1.049100000000000000e+04
1.108900000000000000e+04,1.081500000000000000e+04
1.149300000000000000e+04,1.161100000000000000e+04
1.176500000000000000e+04,1.195100000000000000e+04
1.218500000000000000e+04,1.215100000000000000e+04
1.246100000000000000e+04,1.250300000000000000e+04
1.274500000000000000e+04,1.285500000000000000e+04
1.530000000000000000e+02,1.710000000000000000e+02
1.317700000000000000e+04,1.306700000000000000e+04
1.317700000000000000e+04,1.306700000000000000e+04
1.361700000000000000e+04,1.327900000000000000e+04
1.391300000000000000e+04,1.364300000000000000e+04
1.436500000000000000e+04,1.453500000000000000e+04
1.466900000000000000e+04,1.423100000000000000e+04
1.513700000000000000e+04,1.513900000000000000e+04
1.544500000000000000e+04,1.553100000000000000e+04
1.576100000000000000e+04,1.592300000000000000e+04
1.624100000000000000e+04,1.615900000000000000e+04
1.850000000000000000e+02,1.390000000000000000e+02
1.624100000000000000e+04,1.615900000000000000e+04
1.672900000000000000e+04,1.639500000000000000e+04
1.705700000000000000e+04,1.679900000000000000e+04
1.755700000000000000e+04,1.778700000000000000e+04
1.789300000000000000e+04,1.745100000000000000e+04
1.840900000000000000e+04,1.845500000000000000e+04
1.874900000000000000e+04,1.888700000000000000e+04
1.909700000000000000e+04,1.931900000000000000e+04
1.962500000000000000e+04,1.957900000000000000e+04
1.998100000000000000e+04,2.001900000000000000e+04
