fd_box, fd_min, fd_mass
-9.573399239245673487e-01,3.642304280019816876e-01,1.648629153495493327e+00
-7.521972347122493074e-01,7.857172293482044267e-01,1.032312264211227015e+00
-9.211172418628527092e-01,4.487449427061253604e-01,1.562047126146429044e+00
-4.323769745442531121e-01,1.566050574479123991e+00,2.529293123412142130e-02
-9.038354942649358126e-01,4.867931241389811259e-01,1.515069359845740093e+00
-9.131885780782845741e-01,4.732174646968623777e-01,1.531992092006484674e+00
-8.993388542011483411e-01,4.923611249498912046e-01,1.507626069986451212e+00
-7.576214568268886396e-01,7.615381051719029015e-01,1.070829458184030969e+00
-8.401745483401278358e-01,5.769619115066034754e-01,1.379755264305701612e+00
-7.603424656256189129e-01,7.734395568192049542e-01,1.051838541969566609e+00
-8.320832862284608389e-01,6.014671348654889727e-01,1.338337814167088968e+00
-7.894415801725283011e-01,7.016837237702641117e-01,1.168291268746247669e+00
-9.478938807560665092e-01,3.794004245456198965e-01,1.635177823776522432e+00
-8.548416803936083053e-01,5.620454131740162396e-01,1.404218401605622057e+00
-9.610889400805306959e-01,3.462903474943818671e-01,1.663598587180293187e+00
-7.359118051811053274e-01,8.160659738603702751e-01,9.841996533828866189e-01
-7.288435878690158187e-01,8.491652096347799272e-01,9.321228158470336034e-01
-9.259340042911876623e-01,4.392203418463536124e-01,1.573198422271785635e+00
-9.444729747104805284e-01,3.971131908068961103e-01,1.619345911462800824e+00
-9.524705950750572692e-01,3.571446544612162932e-01,1.654332284784035156e+00
-4.899634934039254208e-01,1.392132793114608802e+00,1.787311656995661524e-01
-7.885052007363606563e-01,6.769291591166899380e-01,1.209394355664174636e+00
-7.894415801725283011e-01,7.016837237702641117e-01,1.168291268746247669e+00
-8.092154301776813830e-01,6.354470715847453377e-01,1.279722102054028365e+00
-6.029965048462092581e-01,1.193491789104227818e+00,4.273080357706530163e-01
-8.203078958034490942e-01,6.179637266104903714e-01,1.309914300482612148e+00
-8.005381952214253305e-01,6.624485013097602959e-01,1.233736538708169350e+00
-6.515073470537817713e-01,1.081012261337637614e+00,5.784639991829534367e-01
-6.862292038921403714e-01,9.993174392774404335e-01,6.998428885695443524e-01
-9.122579765538314511e-01,4.691970198674388914e-01,1.536730015100557400e+00
-6.303215532281105649e-01,1.128221202940349777e+00,5.135106371940268977e-01
-9.366514179109359794e-01,3.907353564526050982e-01,1.625344866215347128e+00
-8.016798983009655322e-01,6.860086799628485332e-01,1.194273534979467311e+00
-9.414105980746259039e-01,4.011973733894557137e-01,1.615360377553838100e+00
