white,black
6.000000000000000000e+00,3.000000000000000000e+01
2.210000000000000000e+02,2.630000000000000000e+02
2.014200000000000000e+04,2.066200000000000000e+04
2.049900000000000000e+04,2.111700000000000000e+04
2.104500000000000000e+04,2.221900000000000000e+04
2.140500000000000000e+04,2.185900000000000000e+04
2.198100000000000000e+04,2.296300000000000000e+04
2.235200000000000000e+04,2.259200000000000000e+04
2.272800000000000000e+04,2.392800000000000000e+04
2.332400000000000000e+04,2.420000000000000000e+04
2.370300000000000000e+04,2.469700000000000000e+04
2.390100000000000000e+04,2.449900000000000000e+04
2.770000000000000000e+02,3.990000000000000000e+02
2.428200000000000000e+04,2.500200000000000000e+04
2.487600000000000000e+04,2.530000000000000000e+04
2.527900000000000000e+04,2.670500000000000000e+04
2.589700000000000000e+04,2.608700000000000000e+04
2.628100000000000000e+04,2.754300000000000000e+04
2.691500000000000000e+04,2.784100000000000000e+04
2.732700000000000000e+04,2.836900000000000000e+04
2.776600000000000000e+04,2.887800000000000000e+04
2.795400000000000000e+04,2.869000000000000000e+04
2.838500000000000000e+04,2.921500000000000000e+04
3.260000000000000000e+02,3.500000000000000000e+02
2.902900000000000000e+04,3.050700000000000000e+04
2.946900000000000000e+04,3.006700000000000000e+04
3.011900000000000000e+04,3.138500000000000000e+04
3.055700000000000000e+04,3.094700000000000000e+04
3.122000000000000000e+04,3.228400000000000000e+04
3.168500000000000000e+04,3.283100000000000000e+04
3.950000000000000000e+02,5.050000000000000000e+02
4.460000000000000000e+02,4.540000000000000000e+02
4.770000000000000000e+02,5.470000000000000000e+02
5.320000000000000000e+02,6.240000000000000000e+02
6.240000000000000000e+02,8.200000000000000000e+02
6.860000000000000000e+02,7.580000000000000000e+02
7.860000000000000000e+02,9.780000000000000000e+02
1.600000000000000000e+01,2.000000000000000000e+01
8.580000000000000000e+02,9.060000000000000000e+02
9.390000000000000000e+02,1.177000000000000000e+03
1.056000000000000000e+03,1.248000000000000000e+03
1.144000000000000000e+03,1.356000000000000000e+03
1.188000000000000000e+03,1.312000000000000000e+03
1.271000000000000000e+03,1.433000000000000000e+03
