white,black
5.000000000000000000e+00,1.100000000000000000e+01
1.540000000000000000e+02,3.300000000000000000e+02
1.322100000000000000e+04,2.758300000000000000e+04
1.355100000000000000e+04,2.806500000000000000e+04
1.378800000000000000e+04,2.864800000000000000e+04
1.412200000000000000e+04,2.914200000000000000e+04
1.436900000000000000e+04,2.973100000000000000e+04
1.463500000000000000e+04,3.030900000000000000e+04
1.485700000000000000e+04,3.093900000000000000e+04
1.510700000000000000e+04,3.154900000000000000e+04
1.545700000000000000e+04,3.206700000000000000e+04
1.561900000000000000e+04,3.278100000000000000e+04
1.840000000000000000e+02,3.920000000000000000e+02
1.598400000000000000e+04,3.330000000000000000e+04
1.616800000000000000e+04,3.311600000000000000e+04
1.648800000000000000e+04,3.368800000000000000e+04
1.685300000000000000e+04,3.513100000000000000e+04
1.711900000000000000e+04,3.578100000000000000e+04
1.749300000000000000e+04,3.633100000000000000e+04
1.768500000000000000e+04,3.707100000000000000e+04
1.797200000000000000e+04,3.678400000000000000e+04
1.830800000000000000e+04,3.833600000000000000e+04
1.858800000000000000e+04,3.901200000000000000e+04
2.200000000000000000e+02,4.560000000000000000e+02
1.897500000000000000e+04,3.958900000000000000e+04
1.927100000000000000e+04,4.026500000000000000e+04
1.957900000000000000e+04,4.093700000000000000e+04
1.986800000000000000e+04,4.163600000000000000e+04
2.022200000000000000e+04,4.227800000000000000e+04
2.062400000000000000e+04,4.288000000000000000e+04
2.580000000000000000e+02,5.260000000000000000e+02
2.860000000000000000e+02,6.140000000000000000e+02
3.320000000000000000e+02,6.920000000000000000e+02
3.770000000000000000e+02,7.790000000000000000e+02
4.140000000000000000e+02,8.820000000000000000e+02
4.580000000000000000e+02,9.860000000000000000e+02
5.060000000000000000e+02,1.094000000000000000e+03
1.200000000000000000e+01,2.400000000000000000e+01
5.650000000000000000e+02,1.199000000000000000e+03
6.190000000000000000e+02,1.317000000000000000e+03
6.860000000000000000e+02,1.430000000000000000e+03
7.500000000000000000e+02,1.554000000000000000e+03
8.200000000000000000e+02,1.680000000000000000e+03
8.760000000000000000e+02,1.828000000000000000e+03
9.470000000000000000e+02,1.969000000000000000e+03
1.028000000000000000e+03,2.108000000000000000e+03
1.079000000000000000e+03,2.285000000000000000e+03
1.165000000000000000e+03,2.435000000000000000e+03
1.900000000000000000e+01,4.500000000000000000e+01
1.217000000000000000e+03,2.383000000000000000e+03
1.317000000000000000e+03,2.779000000000000000e+03
1.410000000000000000e+03,2.946000000000000000e+03
1.501000000000000000e+03,3.123000000000000000e+03
1.599000000000000000e+03,3.301000000000000000e+03
1.666000000000000000e+03,3.518000000000000000e+03
1.775000000000000000e+03,3.701000000000000000e+03
1.864000000000000000e+03,3.912000000000000000e+03
1.990000000000000000e+03,4.094000000000000000e+03
2.072000000000000000e+03,4.328000000000000000e+03
3.300000000000000000e+01,6.700000000000000000e+01
2.182000000000000000e+03,4.542000000000000000e+03
2.267000000000000000e+03,4.789000000000000000e+03
2.370000000000000000e+03,5.026000000000000000e+03
2.510000000000000000e+03,5.234000000000000000e+03
2.637000000000000000e+03,5.463000000000000000e+03
2.760000000000000000e+03,5.704000000000000000e+03
