fd_box, fd_min, fd_mass
-5.661883891302506022e-01,1.316340349224618178e+00,2.581058573136340573e-01
-7.140343562976018132e-01,9.654683671050333649e-01,7.515074141957729381e-01
-7.390005055047776938e-01,8.659340845769467609e-01,9.120485348733408104e-01
-7.391777154172759490e-01,8.743979449246536140e-01,8.983122488637929060e-01
-8.744860470242851180e-01,5.982356464437060817e-01,1.353827542474292711e+00
-9.054989156929518224e-01,5.258475627237022554e-01,1.456183153472853542e+00
-5.205423625797619414e-01,1.379539204108603645e+00,1.883126520338782306e-01
-8.227236808070675922e-01,7.045707236412644958e-01,1.181273263963067865e+00
-9.334915295801364810e-01,4.596171112715620732e-01,1.538087323444970789e+00
-6.862289848468329234e-01,1.069924669565007536e+00,5.934985720721820401e-01
-8.655143496692901950e-01,6.344379909286703700e-01,1.297431575709860008e+00
-8.249047852703534911e-01,6.895030575444601739e-01,1.206739695440761428e+00
-8.903467575527869160e-01,5.560293268856310034e-01,1.415072867616133045e+00
-5.927520512849200340e-01,1.287626079709353721e+00,2.921645381229007188e-01
-8.482289866734559203e-01,6.484778868507888872e-01,1.274763804048307581e+00
-8.281260325410180201e-01,6.929867477961130229e-01,1.200885531458676381e+00
-9.252717729930034496e-01,4.797485456051857056e-01,1.514485956085862561e+00
-9.378144272730205566e-01,4.634868251001922901e-01,1.533866133330082704e+00
-8.155353073304245637e-01,7.227596520182267836e-01,1.150174981537299246e+00
-7.949455331369401634e-01,7.640656303636215174e-01,1.080207643824121044e+00
-8.105275762479527968e-01,7.319776443926745424e-01,1.134508331049716823e+00
-7.532625810471738070e-01,8.370579488917254674e-01,9.591445079902806148e-01
-8.888375195947153529e-01,5.712839425723148512e-01,1.393548339900106736e+00
-8.531364352212247315e-01,6.536308563238958369e-01,1.266478522373805315e+00
-9.137778785747648902e-01,5.078711296107899509e-01,1.479788956226877783e+00
-8.845113401402566744e-01,5.650946881444219860e-01,1.402277758134671037e+00
-6.223426070013078348e-01,1.181114555366157504e+00,4.343698111032966991e-01
-7.494978723822982580e-01,8.303287718988439092e-01,9.702554859883090188e-01
-8.820640778294250861e-01,5.764371044929555987e-01,1.385897789697043914e+00
-8.457682387387758238e-01,6.433919759484579837e-01,1.283125551097963113e+00
-6.841258578545128533e-01,1.086974154398372416e+00,5.685475476151614638e-01
-5.059012865603039755e-01,1.416153436977801272e+00,1.486273542971068284e-01
-6.223426070013078348e-01,1.217314685307819389e+00,3.825551543618483930e-01
-6.584491416140585418e-01,1.104207340740627430e+00,5.438360559519778148e-01
-8.730871735072729400e-01,5.934792324492983440e-01,1.360878895095148478e+00
-9.192572874428250884e-01,4.958207761925897961e-01,1.494985259630525309e+00
-4.085492151153477525e-01,1.567683567225909513e+00,3.528295984044302336e-02
-7.049882748351999906e-01,1.026406783110064946e+00,6.575780139512162892e-01
-9.418610999439319675e-01,4.433518639315617293e-01,1.556374875383756740e+00
-8.963070166844441244e-01,5.470576934295482419e-01,1.427511722225774715e+00
-8.871092915238293353e-01,5.599943940451743707e-01,1.409730658540138792e+00
-8.457800685684421227e-01,6.588938173637225448e-01,1.257771272256814177e+00
-9.375964857493614968e-01,4.560324336342267415e-01,1.542392416892035323e+00
-8.431972683355004605e-01,6.666816242145102711e-01,1.244999241086908182e+00
-7.120381863659822619e-01,9.533016877562908720e-01,7.708421601244680454e-01
-2.337642469306302484e-01,1.752838599355820204e+00,2.538854227766315848e-16
-4.724579110091743916e-01,1.487926865905574214e+00,8.221491890176177431e-02
-5.329149215890413016e-01,1.347762411711147301e+00,2.221939798826272072e-01
-7.183758306534017146e-01,9.211272184293676224e-01,8.226768131938750894e-01
-9.410333430396262688e-01,4.479808412848381716e-01,1.551118362667351258e+00
-9.013514743596338086e-01,5.346780306685363637e-01,1.444434729618268021e+00
-7.735888618920524484e-01,7.994946356419051492e-01,1.021059422835052688e+00
-8.227079053243515627e-01,7.163879178028197403e-01,1.161090045514112434e+00
-8.794027632252233717e-01,6.083596979524957815e-01,1.338169536902243273e+00
-7.159415616683399985e-01,9.332242040133253980e-01,8.030845366410200858e-01
-7.978004485243158639e-01,7.451659770984251363e-01,1.112188584668347247e+00
-8.142405911589837286e-01,7.265150646174062254e-01,1.143769100954207918e+00
-8.807428812255072570e-01,5.856814611568914586e-01,1.372350177383520053e+00
-8.686086089457344395e-01,6.245294084689988479e-01,1.313134954078217564e+00
-4.323769745442531121e-01,1.542932219112314041e+00,5.201001718577112631e-02
-8.854374686739698852e-01,5.666457894530866346e-01,1.400286382541399810e+00
-4.085492151153477525e-01,1.694705412549583290e+00,2.583253047960514576e-16
-7.676202506811266035e-01,8.231828100012238414e-01,9.820229041772854384e-01
-7.900243013962813254e-01,7.860093530997089850e-01,1.043425806873754746e+00
-7.542033787739846895e-01,8.457486542951757613e-01,9.450507874615531323e-01
-8.330657161018000245e-01,6.830134542369719064e-01,1.217656178653251375e+00
-1.240689710118717676e-01,1.841444732758199310e+00,-2.420578883768099905e-16
-8.731330627374445097e-01,6.124841648675783956e-01,1.331949122953515863e+00
-7.179044714127760241e-01,8.992042798373616197e-01,8.580231145118880631e-01
-6.948468375249018392e-01,1.016872571641567635e+00,6.716507504083006896e-01
-9.083670159557890589e-01,5.189100388886593862e-01,1.465661427965722297e+00
-6.223426070013078348e-01,1.199987667400032265e+00,4.072786995934007948e-01
-7.135779550513406955e-01,9.937784030049466866e-01,7.071113296534741188e-01
-6.921722065693189929e-01,1.042125413083511809e+00,6.343351703919245521e-01
-6.551248313689912450e-01,1.123600430620795843e+00,5.154645323489771558e-01
-9.039000105687541309e-01,5.385283750445429840e-01,1.439494126195709267e+00
-7.976906600278330650e-01,7.519463543902158431e-01,1.100571091579027883e+00
-7.923143354097709201e-01,7.784018220822749301e-01,1.056206172573444846e+00
-8.723890187413491093e-01,6.154321558746814746e-01,1.327315634235484154e+00
-9.166887659017086687e-01,5.029754704747523286e-01,1.486282122702139663e+00
-6.948468375249018392e-01,1.057325795543113678e+00,6.122370239468123421e-01
-8.654063423373565822e-01,6.029001555434294612e-01,1.346649562963466495e+00
-9.016522811437950313e-01,5.220597195457248318e-01,1.461395657770988565e+00
-6.380326422895307159e-01,1.141382672311239910e+00,4.905893991101021312e-01
-5.951009973061133218e-01,1.241329045013061627e+00,3.511157835428576623e-01
