white,black
5.000000000000000000e+00,3.100000000000000000e+01
1.550000000000000000e+02,4.210000000000000000e+02
1.322300000000000000e+04,2.758100000000000000e+04
1.355900000000000000e+04,2.887700000000000000e+04
1.378100000000000000e+04,2.865500000000000000e+04
1.412500000000000000e+04,2.997500000000000000e+04
1.436000000000000000e+04,2.974000000000000000e+04
1.462700000000000000e+04,3.116900000000000000e+04
1.485800000000000000e+04,3.093800000000000000e+04
1.509500000000000000e+04,3.156100000000000000e+04
1.545800000000000000e+04,3.294200000000000000e+04
1.561900000000000000e+04,3.278100000000000000e+04
1.870000000000000000e+02,4.890000000000000000e+02
1.599000000000000000e+04,3.418600000000000000e+04
1.617300000000000000e+04,3.400300000000000000e+04
1.649300000000000000e+04,3.458300000000000000e+04
1.685800000000000000e+04,3.512600000000000000e+04
1.711600000000000000e+04,3.578400000000000000e+04
1.749900000000000000e+04,3.632500000000000000e+04
1.769100000000000000e+04,3.706500000000000000e+04
1.794700000000000000e+04,3.774900000000000000e+04
1.831400000000000000e+04,3.928600000000000000e+04
1.857100000000000000e+04,3.902900000000000000e+04
2.190000000000000000e+02,4.570000000000000000e+02
1.897600000000000000e+04,3.958800000000000000e+04
1.927100000000000000e+04,4.026500000000000000e+04
1.958400000000000000e+04,3.995200000000000000e+04
1.985500000000000000e+04,4.164900000000000000e+04
2.022400000000000000e+04,4.227600000000000000e+04
2.062300000000000000e+04,4.288100000000000000e+04
2.580000000000000000e+02,6.420000000000000000e+02
2.840000000000000000e+02,6.160000000000000000e+02
3.300000000000000000e+02,6.940000000000000000e+02
3.790000000000000000e+02,9.170000000000000000e+02
4.120000000000000000e+02,1.032000000000000000e+03
4.590000000000000000e+02,9.850000000000000000e+02
5.050000000000000000e+02,1.095000000000000000e+03
1.400000000000000000e+01,2.200000000000000000e+01
5.710000000000000000e+02,1.193000000000000000e+03
6.180000000000000000e+02,1.498000000000000000e+03
6.830000000000000000e+02,1.621000000000000000e+03
7.510000000000000000e+02,1.749000000000000000e+03
8.170000000000000000e+02,1.683000000000000000e+03
8.750000000000000000e+02,1.829000000000000000e+03
9.500000000000000000e+02,1.966000000000000000e+03
1.024000000000000000e+03,2.340000000000000000e+03
1.077000000000000000e+03,2.287000000000000000e+03
1.167000000000000000e+03,2.433000000000000000e+03
1.800000000000000000e+01,4.600000000000000000e+01
1.221000000000000000e+03,2.379000000000000000e+03
1.322000000000000000e+03,3.034000000000000000e+03
1.410000000000000000e+03,3.214000000000000000e+03
1.506000000000000000e+03,3.394000000000000000e+03
1.591000000000000000e+03,3.593000000000000000e+03
1.661000000000000000e+03,3.815000000000000000e+03
1.772000000000000000e+03,3.704000000000000000e+03
1.860000000000000000e+03,3.916000000000000000e+03
1.988000000000000000e+03,4.412000000000000000e+03
2.077000000000000000e+03,4.323000000000000000e+03
3.400000000000000000e+01,6.600000000000000000e+01
2.176000000000000000e+03,4.548000000000000000e+03
2.266000000000000000e+03,5.130000000000000000e+03
2.373000000000000000e+03,5.023000000000000000e+03
2.514000000000000000e+03,5.586000000000000000e+03
2.629000000000000000e+03,5.835000000000000000e+03
2.767000000000000000e+03,6.069000000000000000e+03
2.856000000000000000e+03,6.360000000000000000e+03
2.960000000000000000e+03,5.876000000000000000e+03
3.131000000000000000e+03,6.869000000000000000e+03
3.246000000000000000e+03,6.754000000000000000e+03
4.900000000000000000e+01,9.500000000000000000e+01
3.376000000000000000e+03,7.440000000000000000e+03
3.521000000000000000e+03,7.295000000000000000e+03
3.619000000000000000e+03,8.045000000000000000e+03
3.779000000000000000e+03,8.321000000000000000e+03
3.903000000000000000e+03,8.197000000000000000e+03
4.085000000000000000e+03,8.911000000000000000e+03
4.236000000000000000e+03,9.220000000000000000e+03
4.356000000000000000e+03,9.100000000000000000e+03
4.527000000000000000e+03,9.873000000000000000e+03
4.665000000000000000e+03,9.735000000000000000e+03
5.500000000000000000e+01,8.900000000000000000e+01
4.874000000000000000e+03,1.050200000000000000e+04
5.017000000000000000e+03,1.035900000000000000e+04
5.114000000000000000e+03,1.127000000000000000e+04
5.304000000000000000e+03,1.108000000000000000e+04
5.481000000000000000e+03,1.194300000000000000e+04
5.666000000000000000e+03,1.229000000000000000e+04
5.821000000000000000e+03,1.213500000000000000e+04
6.028000000000000000e+03,1.301600000000000000e+04
6.150000000000000000e+03,1.289400000000000000e+04
6.378000000000000000e+03,1.378600000000000000e+04
7.600000000000000000e+01,1.800000000000000000e+02
6.581000000000000000e+03,1.415500000000000000e+04
6.746000000000000000e+03,1.399000000000000000e+04
6.987000000000000000e+03,1.491700000000000000e+04
7.048000000000000000e+03,1.485600000000000000e+04
7.280000000000000000e+03,1.582400000000000000e+04
7.502000000000000000e+03,1.621400000000000000e+04
7.721000000000000000e+03,1.661500000000000000e+04
7.934000000000000000e+03,1.703000000000000000e+04
8.121000000000000000e+03,1.684300000000000000e+04
8.318000000000000000e+03,1.792600000000000000e+04
1.050000000000000000e+02,2.190000000000000000e+02
8.500000000000000000e+03,1.774400000000000000e+04
8.773000000000000000e+03,1.878300000000000000e+04
9.016000000000000000e+03,1.920800000000000000e+04
9.208000000000000000e+03,1.969200000000000000e+04
9.346000000000000000e+03,1.955400000000000000e+04
9.557000000000000000e+03,2.071900000000000000e+04
9.825000000000000000e+03,2.115100000000000000e+04
1.008100000000000000e+04,2.160300000000000000e+04
1.032300000000000000e+04,2.207700000000000000e+04
1.052900000000000000e+04,2.259500000000000000e+04
1.250000000000000000e+02,2.750000000000000000e+02
1.072900000000000000e+04,2.239500000000000000e+04
1.102800000000000000e+04,2.356800000000000000e+04
1.123100000000000000e+04,2.336500000000000000e+04
1.155100000000000000e+04,2.454900000000000000e+04
1.182400000000000000e+04,2.504000000000000000e+04
1.191200000000000000e+04,2.572400000000000000e+04
1.221200000000000000e+04,2.542400000000000000e+04
1.244500000000000000e+04,2.597100000000000000e+04
1.277100000000000000e+04,2.722900000000000000e+04
1.299800000000000000e+04,2.700200000000000000e+04
6.000000000000000000e+00,3.000000000000000000e+01
1.540000000000000000e+02,2.460000000000000000e+02
1.321500000000000000e+04,2.840100000000000000e+04
1.355600000000000000e+04,2.806000000000000000e+04
1.376400000000000000e+04,2.867200000000000000e+04
1.412100000000000000e+04,2.997900000000000000e+04
1.436000000000000000e+04,2.974000000000000000e+04
1.463500000000000000e+04,3.116100000000000000e+04
1.485200000000000000e+04,3.094400000000000000e+04
1.510800000000000000e+04,3.154800000000000000e+04
1.546500000000000000e+04,3.293500000000000000e+04
1.563000000000000000e+04,3.277000000000000000e+04
1.860000000000000000e+02,4.900000000000000000e+02
1.598400000000000000e+04,3.330000000000000000e+04
1.617600000000000000e+04,3.400000000000000000e+04
1.647800000000000000e+04,3.550600000000000000e+04
1.684900000000000000e+04,3.513500000000000000e+04
1.710700000000000000e+04,3.579300000000000000e+04
1.749700000000000000e+04,3.725900000000000000e+04
1.769100000000000000e+04,3.706500000000000000e+04
1.796200000000000000e+04,3.679400000000000000e+04
1.831200000000000000e+04,3.928800000000000000e+04
1.857900000000000000e+04,3.902100000000000000e+04
2.210000000000000000e+02,5.630000000000000000e+02
1.897800000000000000e+04,4.055800000000000000e+04
1.928100000000000000e+04,4.025500000000000000e+04
1.958200000000000000e+04,4.093400000000000000e+04
1.985600000000000000e+04,4.264400000000000000e+04
2.021800000000000000e+04,4.228200000000000000e+04
2.062400000000000000e+04,4.389200000000000000e+04
2.570000000000000000e+02,6.430000000000000000e+02
2.830000000000000000e+02,6.170000000000000000e+02
3.350000000000000000e+02,6.890000000000000000e+02
3.800000000000000000e+02,9.160000000000000000e+02
4.080000000000000000e+02,8.880000000000000000e+02
4.570000000000000000e+02,9.870000000000000000e+02
5.080000000000000000e+02,1.092000000000000000e+03
1.200000000000000000e+01,5.200000000000000000e+01
5.660000000000000000e+02,1.198000000000000000e+03
6.250000000000000000e+02,1.491000000000000000e+03
6.830000000000000000e+02,1.433000000000000000e+03
7.540000000000000000e+02,1.746000000000000000e+03
8.210000000000000000e+02,1.679000000000000000e+03
8.770000000000000000e+02,1.827000000000000000e+03
9.510000000000000000e+02,1.965000000000000000e+03
1.023000000000000000e+03,2.341000000000000000e+03
1.077000000000000000e+03,2.287000000000000000e+03
1.159000000000000000e+03,2.441000000000000000e+03
1.700000000000000000e+01,8.300000000000000000e+01
1.213000000000000000e+03,2.631000000000000000e+03
1.322000000000000000e+03,3.034000000000000000e+03
1.412000000000000000e+03,2.944000000000000000e+03
1.503000000000000000e+03,3.397000000000000000e+03
1.591000000000000000e+03,3.309000000000000000e+03
1.669000000000000000e+03,3.807000000000000000e+03
1.771000000000000000e+03,3.705000000000000000e+03
1.864000000000000000e+03,4.220000000000000000e+03
1.991000000000000000e+03,4.409000000000000000e+03
2.070000000000000000e+03,4.330000000000000000e+03
3.300000000000000000e+01,6.700000000000000000e+01
2.176000000000000000e+03,4.548000000000000000e+03
2.271000000000000000e+03,4.785000000000000000e+03
2.366000000000000000e+03,5.030000000000000000e+03
2.512000000000000000e+03,5.588000000000000000e+03
2.630000000000000000e+03,5.470000000000000000e+03
2.760000000000000000e+03,6.076000000000000000e+03
2.865000000000000000e+03,5.971000000000000000e+03
2.967000000000000000e+03,6.249000000000000000e+03
3.136000000000000000e+03,6.864000000000000000e+03
3.249000000000000000e+03,6.751000000000000000e+03
4.900000000000000000e+01,1.470000000000000000e+02
3.363000000000000000e+03,7.041000000000000000e+03
3.521000000000000000e+03,7.295000000000000000e+03
3.633000000000000000e+03,7.603000000000000000e+03
3.777000000000000000e+03,7.887000000000000000e+03
3.904000000000000000e+03,8.196000000000000000e+03
4.085000000000000000e+03,8.459000000000000000e+03
4.233000000000000000e+03,8.763000000000000000e+03
4.362000000000000000e+03,9.094000000000000000e+03
4.526000000000000000e+03,9.874000000000000000e+03
4.667000000000000000e+03,9.733000000000000000e+03
5.600000000000000000e+01,1.400000000000000000e+02
4.869000000000000000e+03,1.050700000000000000e+04
5.018000000000000000e+03,1.085800000000000000e+04
