white,black
8.250000000000000000e+02,2.091000000000000000e+03
8.250000000000000000e+02,2.091000000000000000e+03
8.250000000000000000e+02,2.091000000000000000e+03
8.250000000000000000e+02,2.091000000000000000e+03
1.267000000000000000e+03,6.129000000000000000e+03
1.267000000000000000e+03,6.477000000000000000e+03
1.267000000000000000e+03,6.477000000000000000e+03
1.267000000000000000e+03,6.477000000000000000e+03
9.850000000000000000e+02,4.199000000000000000e+03
9.850000000000000000e+02,4.199000000000000000e+03
9.850000000000000000e+02,3.915000000000000000e+03
9.850000000000000000e+02,3.915000000000000000e+03
1.050000000000000000e+03,3.574000000000000000e+03
1.050000000000000000e+03,3.574000000000000000e+03
1.050000000000000000e+03,3.850000000000000000e+03
1.050000000000000000e+03,3.850000000000000000e+03
1.453000000000000000e+03,8.151000000000000000e+03
1.453000000000000000e+03,7.763000000000000000e+03
1.453000000000000000e+03,8.151000000000000000e+03
1.453000000000000000e+03,8.547000000000000000e+03
7.070000000000000000e+02,2.209000000000000000e+03
7.070000000000000000e+02,2.429000000000000000e+03
7.070000000000000000e+02,2.209000000000000000e+03
7.070000000000000000e+02,2.209000000000000000e+03
1.107000000000000000e+03,3.793000000000000000e+03
1.107000000000000000e+03,3.793000000000000000e+03
1.107000000000000000e+03,4.077000000000000000e+03
1.107000000000000000e+03,3.793000000000000000e+03
1.233000000000000000e+03,5.823000000000000000e+03
1.233000000000000000e+03,5.823000000000000000e+03
1.233000000000000000e+03,6.163000000000000000e+03
1.233000000000000000e+03,5.823000000000000000e+03
7.340000000000000000e+02,2.182000000000000000e+03
7.340000000000000000e+02,2.182000000000000000e+03
7.340000000000000000e+02,2.182000000000000000e+03
7.340000000000000000e+02,2.402000000000000000e+03
6.190000000000000000e+02,1.881000000000000000e+03
6.190000000000000000e+02,2.085000000000000000e+03
6.190000000000000000e+02,2.085000000000000000e+03
6.190000000000000000e+02,1.881000000000000000e+03
7.470000000000000000e+02,3.097000000000000000e+03
7.470000000000000000e+02,3.349000000000000000e+03
7.470000000000000000e+02,3.349000000000000000e+03
7.470000000000000000e+02,3.349000000000000000e+03
8.820000000000000000e+02,2.718000000000000000e+03
8.820000000000000000e+02,2.718000000000000000e+03
8.820000000000000000e+02,2.962000000000000000e+03
8.820000000000000000e+02,2.718000000000000000e+03
9.140000000000000000e+02,3.986000000000000000e+03
9.140000000000000000e+02,4.270000000000000000e+03
9.140000000000000000e+02,4.562000000000000000e+03
9.140000000000000000e+02,4.270000000000000000e+03
7.720000000000000000e+02,2.828000000000000000e+03
7.720000000000000000e+02,2.828000000000000000e+03
7.720000000000000000e+02,3.072000000000000000e+03
7.720000000000000000e+02,3.072000000000000000e+03
1.061000000000000000e+03,3.839000000000000000e+03
1.061000000000000000e+03,4.123000000000000000e+03
1.061000000000000000e+03,4.415000000000000000e+03
1.061000000000000000e+03,4.123000000000000000e+03
9.440000000000000000e+02,3.152000000000000000e+03
9.440000000000000000e+02,3.152000000000000000e+03
9.440000000000000000e+02,3.412000000000000000e+03
9.440000000000000000e+02,3.412000000000000000e+03
8.010000000000000000e+02,2.563000000000000000e+03
8.010000000000000000e+02,2.563000000000000000e+03
8.010000000000000000e+02,2.799000000000000000e+03
8.010000000000000000e+02,2.563000000000000000e+03
8.670000000000000000e+02,2.977000000000000000e+03
8.670000000000000000e+02,2.977000000000000000e+03
8.670000000000000000e+02,2.977000000000000000e+03
8.670000000000000000e+02,3.229000000000000000e+03
1.039000000000000000e+03,5.685000000000000000e+03
1.039000000000000000e+03,5.361000000000000000e+03
1.039000000000000000e+03,5.685000000000000000e+03
1.039000000000000000e+03,6.017000000000000000e+03
9.500000000000000000e+02,4.526000000000000000e+03
9.500000000000000000e+02,4.526000000000000000e+03
9.500000000000000000e+02,4.526000000000000000e+03
9.500000000000000000e+02,4.234000000000000000e+03
9.620000000000000000e+02,3.662000000000000000e+03
