Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.565815494747074155e+00,1.217724975594358883e+00,1.516317058004826208e+02,1.245204860206408739e+02,3.100000000000000000e+01
8.565815494747074155e+00,1.217724975594360215e+00,1.245204860206409450e+02,1.516317058004828482e+02,3.100000000000000000e+01
8.565815494747074155e+00,1.217724975594360881e+00,1.516317058004828766e+02,1.245204860206408739e+02,3.100000000000000000e+01
8.565815494747074155e+00,1.217724975594360215e+00,1.245204860206409450e+02,1.516317058004828482e+02,3.100000000000000000e+01
1.243751286731356664e+01,1.231024242537813507e+00,2.717933821313660019e+02,3.345842423650553314e+02,6.200000000000000000e+01
1.243751286731356664e+01,1.231024242537811952e+00,3.345842423650557294e+02,2.717933821313666840e+02,6.200000000000000000e+01
1.243751286731356664e+01,1.231024242537812396e+00,2.717933821313663429e+02,3.345842423650554451e+02,6.200000000000000000e+01
1.243751286731356664e+01,1.231024242537812396e+00,3.345842423650557294e+02,2.717933821313665703e+02,6.200000000000000000e+01
1.012419332411368345e+01,1.286868674266123058e+00,2.103706150168304987e+02,1.634748123283060579e+02,4.200000000000000000e+01
1.012419332411368345e+01,1.286868674266123502e+00,1.634748123283058021e+02,2.103706150168302429e+02,4.200000000000000000e+01
1.012419332411368345e+01,1.286868674266123058e+00,2.103706150168303566e+02,1.634748123283059442e+02,4.200000000000000000e+01
1.012419332411368345e+01,1.286868674266124168e+00,1.634748123283056884e+02,2.103706150168301861e+02,4.200000000000000000e+01
1.100147175912505659e+01,1.339186071472750372e+00,2.012438042579248076e+02,2.695028996324014656e+02,3.200000000000000000e+01
1.100147175912505659e+01,1.339186071472750816e+00,2.695028996324017498e+02,2.012438042579249498e+02,3.200000000000000000e+01
1.100147175912505659e+01,1.339186071472750372e+00,2.012438042579248645e+02,2.695028996324015225e+02,3.200000000000000000e+01
1.100147175912505659e+01,1.339186071472749928e+00,2.695028996324014656e+02,2.012438042579248645e+02,3.200000000000000000e+01
1.515290882136725337e+01,1.251487102472676360e+00,4.756879998309660209e+02,3.800982038816909494e+02,3.800000000000000000e+01
1.515290882136725337e+01,1.251487102472676582e+00,3.800982038816908357e+02,4.756879998309659072e+02,3.800000000000000000e+01
1.515290882136725337e+01,1.251487102472676360e+00,4.756879998309657935e+02,3.800982038816907789e+02,3.800000000000000000e+01
1.515290882136725337e+01,1.251487102472676360e+00,3.800982038816910062e+02,4.756879998309660778e+02,3.800000000000000000e+01
7.091174377462870382e+00,1.345991538728968484e+00,1.060359268145753049e+02,1.427234602937025159e+02,2.600000000000000000e+01
7.091174377462870382e+00,1.345991538728972703e+00,1.427234602937029990e+02,1.060359268145753475e+02,2.600000000000000000e+01
7.091174377462870382e+00,1.345991538728970038e+00,1.060359268145752196e+02,1.427234602937025443e+02,2.600000000000000000e+01
7.091174377462870382e+00,1.345991538728968706e+00,1.427234602937025727e+02,1.060359268145753333e+02,2.600000000000000000e+01
1.098995792901176571e+01,1.266879526575196646e+00,2.634565536079344383e+02,2.079570693830268908e+02,4.600000000000000000e+01
1.098995792901176571e+01,1.266879526575197090e+00,2.079570693830269761e+02,2.634565536079346089e+02,4.600000000000000000e+01
1.098995792901176571e+01,1.266879526575196868e+00,2.634565536079345520e+02,2.079570693830269477e+02,4.600000000000000000e+01
1.098995792901176571e+01,1.266879526575195758e+00,2.079570693830272603e+02,2.634565536079347225e+02,4.600000000000000000e+01
1.210048707435375803e+01,1.104217861569175563e+00,2.637286534816668677e+02,2.912138897820443049e+02,6.200000000000000000e+01
1.210048707435375803e+01,1.104217861569175341e+00,2.912138897820440775e+02,2.637286534816666972e+02,6.200000000000000000e+01
1.210048707435375803e+01,1.104217861569177339e+00,2.637286534816664698e+02,2.912138897820443049e+02,6.200000000000000000e+01
1.210048707435375803e+01,1.104217861569176895e+00,2.912138897820445322e+02,2.637286534816667540e+02,6.200000000000000000e+01
7.105162364080690018e+00,1.581756618411376270e+00,1.018854543851769989e+02,1.611579917936041113e+02,2.600000000000000000e+01
7.105162364080690018e+00,1.581756618411375159e+00,1.611579917936040829e+02,1.018854543851770558e+02,2.600000000000000000e+01
7.105162364080690018e+00,1.581756618411373383e+00,1.018854543851771979e+02,1.611579917936041113e+02,2.600000000000000000e+01
7.105162364080690018e+00,1.581756618411374715e+00,1.611579917936039692e+02,1.018854543851770131e+02,2.600000000000000000e+01
6.393066369157401674e+00,2.667449722586855199e+00,5.989032059794551799e+01,1.597544190646275979e+02,2.800000000000000000e+01
6.393066369157401674e+00,2.667449722586855643e+00,1.597544190646274274e+02,5.989032059794544693e+01,2.800000000000000000e+01
6.393066369157401674e+00,2.667449722586860084e+00,5.989032059794541851e+01,1.597544190646276263e+02,2.800000000000000000e+01
6.393066369157401674e+00,2.667449722586860972e+00,1.597544190646276547e+02,5.989032059794541141e+01,2.800000000000000000e+01
8.713679869574747272e+00,3.484987920173528764e+00,8.567581771859883588e+01,2.985791898003060965e+02,3.600000000000000000e+01
8.713679869574747272e+00,3.484987920173535425e+00,2.985791898003066080e+02,8.567581771859880746e+01,3.600000000000000000e+01
