white,black
7.960000000000000000e+02,4.104000000000000000e+03
7.960000000000000000e+02,4.104000000000000000e+03
7.960000000000000000e+02,4.388000000000000000e+03
7.960000000000000000e+02,4.104000000000000000e+03
1.074000000000000000e+03,6.670000000000000000e+03
1.074000000000000000e+03,6.322000000000000000e+03
1.074000000000000000e+03,6.670000000000000000e+03
1.074000000000000000e+03,7.026000000000000000e+03
1.060000000000000000e+03,5.340000000000000000e+03
1.060000000000000000e+03,5.024000000000000000e+03
1.060000000000000000e+03,5.340000000000000000e+03
1.060000000000000000e+03,5.340000000000000000e+03
9.140000000000000000e+02,6.142000000000000000e+03
9.140000000000000000e+02,6.142000000000000000e+03
9.140000000000000000e+02,6.142000000000000000e+03
9.140000000000000000e+02,6.482000000000000000e+03
1.029000000000000000e+03,4.747000000000000000e+03
1.029000000000000000e+03,4.747000000000000000e+03
1.029000000000000000e+03,4.447000000000000000e+03
1.029000000000000000e+03,4.747000000000000000e+03
1.203000000000000000e+03,7.633000000000000000e+03
1.203000000000000000e+03,7.261000000000000000e+03
1.203000000000000000e+03,7.261000000000000000e+03
1.203000000000000000e+03,7.633000000000000000e+03
1.008000000000000000e+03,6.736000000000000000e+03
1.008000000000000000e+03,6.388000000000000000e+03
1.008000000000000000e+03,6.736000000000000000e+03
1.008000000000000000e+03,6.736000000000000000e+03
6.540000000000000000e+02,3.970000000000000000e+03
6.540000000000000000e+02,3.970000000000000000e+03
6.540000000000000000e+02,4.246000000000000000e+03
6.540000000000000000e+02,4.246000000000000000e+03
9.060000000000000000e+02,4.278000000000000000e+03
9.060000000000000000e+02,4.570000000000000000e+03
9.060000000000000000e+02,4.570000000000000000e+03
9.060000000000000000e+02,4.278000000000000000e+03
9.370000000000000000e+02,3.963000000000000000e+03
9.370000000000000000e+02,4.247000000000000000e+03
9.370000000000000000e+02,4.539000000000000000e+03
9.370000000000000000e+02,4.247000000000000000e+03
1.027000000000000000e+03,6.029000000000000000e+03
1.027000000000000000e+03,6.029000000000000000e+03
1.027000000000000000e+03,6.369000000000000000e+03
1.027000000000000000e+03,6.029000000000000000e+03
9.910000000000000000e+02,4.485000000000000000e+03
9.910000000000000000e+02,4.485000000000000000e+03
9.910000000000000000e+02,4.193000000000000000e+03
9.910000000000000000e+02,4.485000000000000000e+03
1.006000000000000000e+03,6.050000000000000000e+03
1.006000000000000000e+03,6.050000000000000000e+03
1.006000000000000000e+03,6.390000000000000000e+03
1.006000000000000000e+03,6.390000000000000000e+03
1.001000000000000000e+03,4.475000000000000000e+03
1.001000000000000000e+03,4.183000000000000000e+03
1.001000000000000000e+03,4.475000000000000000e+03
1.001000000000000000e+03,4.775000000000000000e+03
9.320000000000000000e+02,4.544000000000000000e+03
9.320000000000000000e+02,4.544000000000000000e+03
9.320000000000000000e+02,4.544000000000000000e+03
9.320000000000000000e+02,4.844000000000000000e+03
1.013000000000000000e+03,6.043000000000000000e+03
1.013000000000000000e+03,5.711000000000000000e+03
1.013000000000000000e+03,5.711000000000000000e+03
1.013000000000000000e+03,5.711000000000000000e+03
9.590000000000000000e+02,5.441000000000000000e+03
9.590000000000000000e+02,5.441000000000000000e+03
9.590000000000000000e+02,5.125000000000000000e+03
9.590000000000000000e+02,5.125000000000000000e+03
1.025000000000000000e+03,4.451000000000000000e+03
1.025000000000000000e+03,4.451000000000000000e+03
1.025000000000000000e+03,4.451000000000000000e+03
1.025000000000000000e+03,4.159000000000000000e+03
9.250000000000000000e+02,4.851000000000000000e+03
9.250000000000000000e+02,4.551000000000000000e+03
9.250000000000000000e+02,4.851000000000000000e+03
9.250000000000000000e+02,5.159000000000000000e+03
9.760000000000000000e+02,6.080000000000000000e+03
9.760000000000000000e+02,5.748000000000000000e+03
9.760000000000000000e+02,6.080000000000000000e+03
9.760000000000000000e+02,6.080000000000000000e+03
7.780000000000000000e+02,3.318000000000000000e+03
7.780000000000000000e+02,3.578000000000000000e+03
7.780000000000000000e+02,3.846000000000000000e+03
7.780000000000000000e+02,3.578000000000000000e+03
8.550000000000000000e+02,5.229000000000000000e+03
8.550000000000000000e+02,5.545000000000000000e+03
8.550000000000000000e+02,5.869000000000000000e+03
8.550000000000000000e+02,5.545000000000000000e+03
8.950000000000000000e+02,4.581000000000000000e+03
8.950000000000000000e+02,4.581000000000000000e+03
8.950000000000000000e+02,4.581000000000000000e+03
8.950000000000000000e+02,4.581000000000000000e+03
8.420000000000000000e+02,3.514000000000000000e+03
8.420000000000000000e+02,3.514000000000000000e+03
8.420000000000000000e+02,3.782000000000000000e+03
8.420000000000000000e+02,3.782000000000000000e+03
7.250000000000000000e+02,5.051000000000000000e+03
7.250000000000000000e+02,4.751000000000000000e+03
7.250000000000000000e+02,4.751000000000000000e+03
7.250000000000000000e+02,5.051000000000000000e+03
8.220000000000000000e+02,5.262000000000000000e+03
8.220000000000000000e+02,5.262000000000000000e+03
8.220000000000000000e+02,5.578000000000000000e+03
8.220000000000000000e+02,5.262000000000000000e+03
7.770000000000000000e+02,4.123000000000000000e+03
7.770000000000000000e+02,3.847000000000000000e+03
7.770000000000000000e+02,4.123000000000000000e+03
7.770000000000000000e+02,3.847000000000000000e+03
9.560000000000000000e+02,6.788000000000000000e+03
9.560000000000000000e+02,7.144000000000000000e+03
9.560000000000000000e+02,7.144000000000000000e+03
9.560000000000000000e+02,7.144000000000000000e+03
1.012000000000000000e+03,6.044000000000000000e+03
1.012000000000000000e+03,6.044000000000000000e+03
1.012000000000000000e+03,6.044000000000000000e+03
1.012000000000000000e+03,6.044000000000000000e+03
1.055000000000000000e+03,6.001000000000000000e+03
1.055000000000000000e+03,6.001000000000000000e+03
1.055000000000000000e+03,5.669000000000000000e+03
1.055000000000000000e+03,6.001000000000000000e+03
5.180000000000000000e+02,2.398000000000000000e+03
5.180000000000000000e+02,2.618000000000000000e+03
5.180000000000000000e+02,2.618000000000000000e+03
5.180000000000000000e+02,2.618000000000000000e+03
8.460000000000000000e+02,4.054000000000000000e+03
8.460000000000000000e+02,4.054000000000000000e+03
8.460000000000000000e+02,3.778000000000000000e+03
8.460000000000000000e+02,3.778000000000000000e+03
9.980000000000000000e+02,7.838000000000000000e+03
9.980000000000000000e+02,8.218000000000000000e+03
9.980000000000000000e+02,8.606000000000000000e+03
9.980000000000000000e+02,8.218000000000000000e+03
9.790000000000000000e+02,5.105000000000000000e+03
9.790000000000000000e+02,5.105000000000000000e+03
9.790000000000000000e+02,4.797000000000000000e+03
9.790000000000000000e+02,5.105000000000000000e+03
9.260000000000000000e+02,6.130000000000000000e+03
9.260000000000000000e+02,6.130000000000000000e+03
9.260000000000000000e+02,5.798000000000000000e+03
9.260000000000000000e+02,6.130000000000000000e+03
7.110000000000000000e+02,3.385000000000000000e+03
7.110000000000000000e+02,3.385000000000000000e+03
