Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.877886662269267148e+00,2.791644737198509585e+00,3.323853342790366696e+02,1.190643386137285802e+02,4.300000000000000000e+01
8.877886662269267148e+00,2.791644737198512249e+00,1.190643386137284665e+02,3.323853342790366696e+02,4.300000000000000000e+01
8.877886662269267148e+00,2.791644737198511361e+00,3.323853342790370675e+02,1.190643386137286370e+02,4.300000000000000000e+01
8.877886662269267148e+00,2.791644737198514470e+00,1.190643386137284381e+02,3.323853342790368970e+02,4.300000000000000000e+01
1.025349052366333602e+01,1.221290149312383555e+00,3.153329971793870072e+02,2.581966270316085570e+02,4.800000000000000000e+01
1.025349052366333602e+01,1.221290149312383999e+00,2.581966270316085570e+02,3.153329971793871209e+02,4.800000000000000000e+01
1.025349052366333602e+01,1.221290149312383555e+00,3.153329971793872346e+02,2.581966270316087275e+02,4.800000000000000000e+01
1.025349052366333602e+01,1.221290149312383555e+00,2.581966270316086707e+02,3.153329971793871778e+02,4.800000000000000000e+01
1.112770822631895662e+01,1.749913775065122135e+00,3.733772727495156118e+02,2.133689545564155310e+02,4.500000000000000000e+01
1.112770822631895662e+01,1.749913775065122135e+00,2.133689545564155310e+02,3.733772727495156118e+02,4.500000000000000000e+01
1.112770822631895662e+01,1.749913775065120580e+00,3.733772727495153845e+02,2.133689545564155878e+02,4.500000000000000000e+01
1.112770822631895662e+01,1.749913775065122801e+00,2.133689545564154741e+02,3.733772727495156118e+02,4.500000000000000000e+01
1.000560460342653357e+01,1.513415957001756906e+00,2.708089727980519115e+02,4.098466207318264765e+02,4.600000000000000000e+01
1.000560460342653357e+01,1.513415957001757128e+00,4.098466207318263059e+02,2.708089727980517409e+02,4.600000000000000000e+01
1.000560460342653357e+01,1.513415957001758017e+00,2.708089727980515136e+02,4.098466207318261922e+02,4.600000000000000000e+01
1.000560460342653357e+01,1.513415957001758239e+00,4.098466207318266470e+02,2.708089727980517978e+02,4.600000000000000000e+01
