white,black
4.310000000000000000e+02,2.485000000000000000e+03
4.310000000000000000e+02,2.485000000000000000e+03
4.310000000000000000e+02,2.485000000000000000e+03
4.310000000000000000e+02,2.705000000000000000e+03
5.450000000000000000e+02,3.811000000000000000e+03
5.450000000000000000e+02,3.811000000000000000e+03
5.450000000000000000e+02,3.811000000000000000e+03
5.450000000000000000e+02,4.079000000000000000e+03
6.870000000000000000e+02,5.397000000000000000e+03
6.870000000000000000e+02,5.397000000000000000e+03
6.870000000000000000e+02,5.397000000000000000e+03
6.870000000000000000e+02,5.713000000000000000e+03
6.220000000000000000e+02,5.462000000000000000e+03
6.220000000000000000e+02,5.462000000000000000e+03
6.220000000000000000e+02,5.462000000000000000e+03
6.220000000000000000e+02,5.778000000000000000e+03
5.960000000000000000e+02,5.804000000000000000e+03
5.960000000000000000e+02,5.488000000000000000e+03
5.960000000000000000e+02,5.804000000000000000e+03
5.960000000000000000e+02,6.128000000000000000e+03
6.380000000000000000e+02,5.138000000000000000e+03
6.380000000000000000e+02,5.138000000000000000e+03
6.380000000000000000e+02,5.138000000000000000e+03
6.380000000000000000e+02,5.446000000000000000e+03
5.860000000000000000e+02,4.314000000000000000e+03
5.860000000000000000e+02,4.038000000000000000e+03
5.860000000000000000e+02,4.038000000000000000e+03
5.860000000000000000e+02,4.314000000000000000e+03
6.070000000000000000e+02,4.293000000000000000e+03
6.070000000000000000e+02,4.017000000000000000e+03
6.070000000000000000e+02,4.293000000000000000e+03
6.070000000000000000e+02,4.577000000000000000e+03
4.730000000000000000e+02,3.623000000000000000e+03
4.730000000000000000e+02,3.623000000000000000e+03
4.730000000000000000e+02,3.623000000000000000e+03
4.730000000000000000e+02,3.371000000000000000e+03
5.480000000000000000e+02,4.636000000000000000e+03
5.480000000000000000e+02,4.352000000000000000e+03
5.480000000000000000e+02,4.352000000000000000e+03
5.480000000000000000e+02,4.636000000000000000e+03
6.820000000000000000e+02,5.718000000000000000e+03
6.820000000000000000e+02,5.718000000000000000e+03
6.820000000000000000e+02,5.718000000000000000e+03
6.820000000000000000e+02,6.042000000000000000e+03
6.090000000000000000e+02,6.115000000000000000e+03
6.090000000000000000e+02,5.791000000000000000e+03
6.090000000000000000e+02,6.115000000000000000e+03
6.090000000000000000e+02,6.447000000000000000e+03
6.890000000000000000e+02,6.707000000000000000e+03
6.890000000000000000e+02,6.367000000000000000e+03
6.890000000000000000e+02,6.707000000000000000e+03
