Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
5.211124261978716810e+00,2.078437832305695565e+00,1.696074718299428241e+02,8.160334131417842229e+01,1.200000000000000000e+01
5.211124261978716810e+00,2.078437832305703115e+00,8.160334131417809544e+01,1.696074718299427389e+02,1.200000000000000000e+01
5.211124261978716810e+00,2.078437832305697341e+00,1.696074718299428241e+02,8.160334131417835124e+01,1.200000000000000000e+01
5.211124261978716810e+00,2.078437832305700450e+00,8.160334131417822334e+01,1.696074718299427957e+02,1.200000000000000000e+01
5.782288900350594396e+00,2.358530900059702784e+00,2.475815207478675006e+02,1.049727695921220914e+02,1.500000000000000000e+01
5.782288900350594396e+00,2.358530900059699231e+00,1.049727695921221482e+02,2.475815207478672448e+02,1.500000000000000000e+01
5.782288900350594396e+00,2.358530900059701008e+00,2.475815207478671311e+02,1.049727695921220061e+02,1.500000000000000000e+01
5.782288900350594396e+00,2.358530900059703228e+00,1.049727695921218924e+02,2.475815207478671027e+02,1.500000000000000000e+01
7.181779932052840820e+00,1.588789165411098825e+00,3.390630477660872657e+02,2.134097180089686674e+02,2.500000000000000000e+01
7.181779932052840820e+00,1.588789165411099047e+00,2.134097180089686105e+02,3.390630477660872657e+02,2.500000000000000000e+01
7.181779932052840820e+00,1.588789165411099491e+00,3.390630477660872657e+02,2.134097180089685821e+02,2.500000000000000000e+01
7.181779932052840820e+00,1.588789165411098825e+00,2.134097180089686674e+02,3.390630477660872657e+02,2.500000000000000000e+01
7.065379205988682187e+00,2.749723956281750592e+00,3.800486493420613670e+02,1.382133826465887125e+02,1.800000000000000000e+01
7.065379205988682187e+00,2.749723956281751036e+00,1.382133826465887125e+02,3.800486493420614238e+02,1.800000000000000000e+01
7.065379205988682187e+00,2.749723956281752812e+00,3.800486493420619354e+02,1.382133826465887978e+02,1.800000000000000000e+01
7.065379205988682187e+00,2.749723956281751924e+00,1.382133826465886841e+02,3.800486493420614806e+02,1.800000000000000000e+01
6.819629088390643190e+00,2.788142224405499636e+00,3.716692676010042078e+02,1.333035540108622854e+02,1.600000000000000000e+01
6.819629088390643190e+00,2.788142224405497416e+00,1.333035540108623138e+02,3.716692676010040373e+02,1.600000000000000000e+01
6.819629088390643190e+00,2.788142224405500080e+00,3.716692676010045489e+02,1.333035540108623707e+02,1.600000000000000000e+01
6.819629088390643190e+00,2.788142224405498304e+00,1.333035540108623422e+02,3.716692676010042078e+02,1.600000000000000000e+01
7.365156923693830571e+00,1.742000555807059925e+00,3.405943225520612714e+02,1.955190665219194841e+02,2.400000000000000000e+01
7.365156923693830571e+00,1.742000555807056594e+00,1.955190665219198820e+02,3.405943225520613282e+02,2.400000000000000000e+01
7.365156923693830571e+00,1.742000555807056150e+00,3.405943225520611577e+02,1.955190665219198536e+02,2.400000000000000000e+01
7.365156923693830571e+00,1.742000555807054596e+00,1.955190665219201378e+02,3.405943225520613851e+02,2.400000000000000000e+01
7.499429805673993421e+00,2.026226274235856994e+00,1.214108766208125871e+02,2.460059081870983846e+02,1.300000000000000000e+01
7.499429805673993421e+00,2.026226274235857883e+00,2.460059081870985835e+02,1.214108766208126156e+02,1.300000000000000000e+01
7.499429805673993421e+00,2.026226274235855218e+00,1.214108766208127008e+02,2.460059081870984414e+02,1.300000000000000000e+01
7.499429805673993421e+00,2.026226274235856994e+00,2.460059081870984983e+02,1.214108766208126440e+02,1.300000000000000000e+01
7.056306142486140409e+00,1.953138801337876540e+00,3.231479662848793168e+02,1.654505896168397499e+02,2.200000000000000000e+01
7.056306142486140409e+00,1.953138801337874098e+00,1.654505896168398351e+02,3.231479662848790895e+02,2.200000000000000000e+01
7.056306142486140409e+00,1.953138801337872543e+00,3.231479662848785779e+02,1.654505896168397214e+02,2.200000000000000000e+01
7.056306142486140409e+00,1.953138801337874986e+00,1.654505896168398067e+02,3.231479662848791463e+02,2.200000000000000000e+01
6.073460301921164373e+00,2.181183041090430930e+00,2.114964546124660956e+02,9.696410187873708253e+01,2.000000000000000000e+01
6.073460301921164373e+00,2.181183041090431374e+00,9.696410187873698305e+01,2.114964546124659250e+02,2.000000000000000000e+01
6.073460301921164373e+00,2.181183041090430930e+00,2.114964546124659819e+02,9.696410187873702569e+01,2.000000000000000000e+01
6.073460301921164373e+00,2.181183041090428709e+00,9.696410187873713937e+01,2.114964546124660103e+02,2.000000000000000000e+01
6.282554249934087842e+00,1.237586181060611690e+00,2.163253711694832191e+02,1.747962077146759441e+02,2.300000000000000000e+01
6.282554249934087842e+00,1.237586181060611246e+00,1.747962077146759157e+02,2.163253711694831338e+02,2.300000000000000000e+01
6.282554249934087842e+00,1.237586181060610135e+00,2.163253711694829917e+02,1.747962077146759725e+02,2.300000000000000000e+01
6.282554249934087842e+00,1.237586181060611468e+00,1.747962077146758588e+02,2.163253711694831054e+02,2.300000000000000000e+01
8.194029236531049420e+00,2.034034044574219990e+00,4.305109955526443173e+02,2.116537806734509388e+02,2.700000000000000000e+01
8.194029236531049420e+00,2.034034044574217326e+00,2.116537806734511378e+02,4.305109955526440899e+02,2.700000000000000000e+01
8.194029236531049420e+00,2.034034044574217770e+00,4.305109955526436920e+02,2.116537806734508820e+02,2.700000000000000000e+01
8.194029236531049420e+00,2.034034044574221323e+00,2.116537806734507399e+02,4.305109955526441468e+02,2.700000000000000000e+01
6.972632937870794301e+00,3.186356264357544266e+00,4.011102167485820473e+02,1.258836688274268454e+02,2.100000000000000000e+01
6.972632937870794301e+00,3.186356264357544266e+00,1.258836688274269306e+02,4.011102167485822747e+02,2.100000000000000000e+01
6.972632937870794301e+00,3.186356264357542045e+00,4.011102167485815926e+02,1.258836688274267885e+02,2.100000000000000000e+01
6.972632937870794301e+00,3.186356264357543822e+00,1.258836688274269022e+02,4.011102167485821610e+02,2.100000000000000000e+01
8.110780753721590131e+00,2.376272429763733651e+00,4.190017382946369935e+02,1.763273154401312581e+02,1.700000000000000000e+01
8.110780753721590131e+00,2.376272429763733207e+00,1.763273154401313718e+02,4.190017382946372209e+02,1.700000000000000000e+01
8.110780753721590131e+00,2.376272429763732763e+00,4.190017382946371072e+02,1.763273154401313718e+02,1.700000000000000000e+01
8.110780753721590131e+00,2.376272429763721661e+00,1.763273154401323666e+02,4.190017382946375051e+02,1.700000000000000000e+01
5.670050272397884505e+00,3.226835532737736933e+00,2.642661992217085185e+02,8.189639556791966868e+01,1.200000000000000000e+01
5.670050272397884505e+00,3.226835532737736933e+00,8.189639556791966868e+01,2.642661992217085185e+02,1.200000000000000000e+01
5.670050272397884505e+00,3.226835532737736933e+00,2.642661992217085185e+02,8.189639556791966868e+01,1.200000000000000000e+01
5.670050272397884505e+00,3.226835532737736933e+00,8.189639556791966868e+01,2.642661992217085185e+02,1.200000000000000000e+01
5.082885081276606876e+00,3.727054949854366139e+00,2.296345502390697106e+02,6.161286949848771144e+01,1.800000000000000000e+01
5.082885081276606876e+00,3.727054949854358146e+00,6.161286949848788197e+01,2.296345502390698528e+02,1.800000000000000000e+01
5.082885081276606876e+00,3.727054949854356369e+00,2.296345502390699096e+02,6.161286949848792460e+01,1.800000000000000000e+01
5.082885081276606876e+00,3.727054949854363919e+00,6.161286949848775407e+01,2.296345502390697106e+02,1.800000000000000000e+01
6.095368076090998954e+00,2.221631905312560384e+00,2.566185545455010697e+02,1.155090336665819279e+02,2.100000000000000000e+01
6.095368076090998954e+00,2.221631905312560384e+00,1.155090336665818569e+02,2.566185545455009560e+02,2.100000000000000000e+01
6.095368076090998954e+00,2.221631905312561273e+00,2.566185545455011834e+02,1.155090336665819279e+02,2.100000000000000000e+01
6.095368076090998954e+00,2.221631905312562605e+00,1.155090336665817574e+02,2.566185545455009560e+02,2.100000000000000000e+01
7.072447783646098607e+00,1.284090395201108237e+00,2.080061839397311303e+02,2.670987429394437527e+02,1.400000000000000000e+01
7.072447783646098607e+00,1.284090395201106016e+00,2.670987429394436390e+02,2.080061839397313861e+02,1.400000000000000000e+01
7.072447783646098607e+00,1.284090395201107571e+00,2.080061839397312156e+02,2.670987429394437527e+02,1.400000000000000000e+01
7.072447783646098607e+00,1.284090395201107571e+00,2.670987429394438664e+02,2.080061839397313292e+02,1.400000000000000000e+01
5.080621933351650910e+00,1.606430070129687415e+00,1.495325699149179286e+02,9.308377170930704381e+01,1.300000000000000000e+01
5.080621933351650910e+00,1.606430070129686971e+00,9.308377170930704381e+01,1.495325699149179002e+02,1.300000000000000000e+01
5.080621933351650910e+00,1.606430070129687859e+00,1.495325699149178149e+02,9.308377170930694433e+01,1.300000000000000000e+01
5.080621933351650910e+00,1.606430070129687637e+00,9.308377170930697275e+01,1.495325699149178433e+02,1.300000000000000000e+01
