white,black
7.910000000000000000e+02,4.393000000000000000e+03
7.910000000000000000e+02,4.109000000000000000e+03
7.910000000000000000e+02,4.393000000000000000e+03
7.910000000000000000e+02,4.685000000000000000e+03
9.500000000000000000e+02,3.950000000000000000e+03
9.500000000000000000e+02,3.950000000000000000e+03
9.500000000000000000e+02,4.234000000000000000e+03
9.500000000000000000e+02,4.234000000000000000e+03
7.670000000000000000e+02,3.077000000000000000e+03
7.670000000000000000e+02,2.833000000000000000e+03
7.670000000000000000e+02,3.077000000000000000e+03
7.670000000000000000e+02,3.329000000000000000e+03
7.470000000000000000e+02,5.029000000000000000e+03
7.470000000000000000e+02,5.029000000000000000e+03
7.470000000000000000e+02,5.029000000000000000e+03
7.470000000000000000e+02,5.337000000000000000e+03
7.440000000000000000e+02,3.612000000000000000e+03
7.440000000000000000e+02,3.880000000000000000e+03
7.440000000000000000e+02,4.156000000000000000e+03
7.440000000000000000e+02,3.880000000000000000e+03
7.060000000000000000e+02,4.194000000000000000e+03
7.060000000000000000e+02,3.918000000000000000e+03
7.060000000000000000e+02,4.194000000000000000e+03
7.060000000000000000e+02,4.194000000000000000e+03
8.000000000000000000e+02,4.976000000000000000e+03
8.000000000000000000e+02,4.676000000000000000e+03
8.000000000000000000e+02,4.976000000000000000e+03
8.000000000000000000e+02,5.284000000000000000e+03
7.160000000000000000e+02,3.640000000000000000e+03
7.160000000000000000e+02,3.380000000000000000e+03
7.160000000000000000e+02,3.640000000000000000e+03
7.160000000000000000e+02,3.908000000000000000e+03
7.090000000000000000e+02,2.891000000000000000e+03
7.090000000000000000e+02,2.891000000000000000e+03
7.090000000000000000e+02,2.891000000000000000e+03
7.090000000000000000e+02,3.135000000000000000e+03
8.530000000000000000e+02,5.231000000000000000e+03
8.530000000000000000e+02,5.231000000000000000e+03
8.530000000000000000e+02,5.231000000000000000e+03
8.530000000000000000e+02,5.547000000000000000e+03
7.710000000000000000e+02,2.593000000000000000e+03
7.710000000000000000e+02,2.593000000000000000e+03
7.710000000000000000e+02,2.593000000000000000e+03
7.710000000000000000e+02,2.829000000000000000e+03
7.780000000000000000e+02,2.358000000000000000e+03
7.780000000000000000e+02,2.138000000000000000e+03
7.780000000000000000e+02,2.358000000000000000e+03
7.780000000000000000e+02,2.586000000000000000e+03
6.410000000000000000e+02,2.275000000000000000e+03
6.410000000000000000e+02,2.063000000000000000e+03
6.410000000000000000e+02,2.275000000000000000e+03
6.410000000000000000e+02,2.495000000000000000e+03
6.620000000000000000e+02,2.938000000000000000e+03
6.620000000000000000e+02,2.702000000000000000e+03
6.620000000000000000e+02,2.938000000000000000e+03
6.620000000000000000e+02,2.938000000000000000e+03
6.950000000000000000e+02,2.441000000000000000e+03
6.950000000000000000e+02,2.441000000000000000e+03
6.950000000000000000e+02,2.669000000000000000e+03
6.950000000000000000e+02,2.669000000000000000e+03
6.250000000000000000e+02,1.875000000000000000e+03
6.250000000000000000e+02,1.875000000000000000e+03
6.250000000000000000e+02,2.079000000000000000e+03
6.250000000000000000e+02,2.079000000000000000e+03
7.220000000000000000e+02,4.178000000000000000e+03
7.220000000000000000e+02,3.902000000000000000e+03
7.220000000000000000e+02,4.178000000000000000e+03
7.220000000000000000e+02,4.178000000000000000e+03
1.025000000000000000e+03,4.451000000000000000e+03
1.025000000000000000e+03,4.451000000000000000e+03
1.025000000000000000e+03,4.751000000000000000e+03
1.025000000000000000e+03,4.751000000000000000e+03
4.690000000000000000e+02,1.295000000000000000e+03
4.690000000000000000e+02,1.131000000000000000e+03
4.690000000000000000e+02,1.131000000000000000e+03
4.690000000000000000e+02,1.131000000000000000e+03
6.200000000000000000e+02,1.684000000000000000e+03
6.200000000000000000e+02,1.684000000000000000e+03
6.200000000000000000e+02,1.880000000000000000e+03
