Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.402515804031725821e+00,3.933892198452968447e+00,3.718353069767655370e+02,9.452097012800514619e+01,3.600000000000000000e+01
8.402515804031725821e+00,3.933892198452967115e+00,9.452097012800510356e+01,3.718353069767652528e+02,3.600000000000000000e+01
8.402515804031725821e+00,3.933892198452963118e+00,3.718353069767650823e+02,9.452097012800516040e+01,3.600000000000000000e+01
8.402515804031725821e+00,3.933892198452967115e+00,9.452097012800510356e+01,3.718353069767652528e+02,3.600000000000000000e+01
9.011855472420245761e+00,2.503793677884351698e+00,4.091613208024983805e+02,1.634165484227239915e+02,5.000000000000000000e+01
9.011855472420245761e+00,2.503793677884356583e+00,1.634165484227239631e+02,4.091613208024990627e+02,5.000000000000000000e+01
9.011855472420245761e+00,2.503793677884355695e+00,4.091613208024990627e+02,1.634165484227240199e+02,5.000000000000000000e+01
9.011855472420245761e+00,2.503793677884355695e+00,1.634165484227240199e+02,4.091613208024991195e+02,5.000000000000000000e+01
8.018338084689725420e+00,1.846319631430999975e+00,2.579510331167377899e+02,1.397109301799555965e+02,3.300000000000000000e+01
8.018338084689725420e+00,1.846319631430999086e+00,1.397109301799555965e+02,2.579510331167376762e+02,3.300000000000000000e+01
8.018338084689725420e+00,1.846319631430999753e+00,2.579510331167379036e+02,1.397109301799556818e+02,3.300000000000000000e+01
8.018338084689725420e+00,1.846319631430999753e+00,1.397109301799555965e+02,2.579510331167377899e+02,3.300000000000000000e+01
7.368532971033005197e+00,2.381560650974225091e+00,2.871113158134968444e+02,1.205559538011548142e+02,3.900000000000000000e+01
7.368532971033005197e+00,2.381560650974230420e+00,1.205559538011545726e+02,2.871113158134969581e+02,3.900000000000000000e+01
7.368532971033005197e+00,2.381560650974226867e+00,2.871113158134971854e+02,1.205559538011548568e+02,3.900000000000000000e+01
7.368532971033005197e+00,2.381560650974226867e+00,1.205559538011547716e+02,2.871113158134970149e+02,3.900000000000000000e+01
7.511193466820128783e+00,3.249604824340130982e+00,3.640791503155682562e+02,1.120379769221627271e+02,4.500000000000000000e+01
7.511193466820128783e+00,3.249604824340127873e+00,1.120379769221629260e+02,3.640791503155685405e+02,4.500000000000000000e+01
7.511193466820128783e+00,3.249604824340134979e+00,3.640791503155688815e+02,1.120379769221627839e+02,4.500000000000000000e+01
7.511193466820128783e+00,3.249604824340137199e+00,1.120379769221626134e+02,3.640791503155685405e+02,4.500000000000000000e+01
6.277828406831588381e+00,2.123140420211560908e+00,2.088885959440790998e+02,9.838661350682792772e+01,3.400000000000000000e+01
6.277828406831588381e+00,2.123140420211560464e+00,9.838661350682795614e+01,2.088885959440790998e+02,3.400000000000000000e+01
6.277828406831588381e+00,2.123140420211560464e+00,2.088885959440788440e+02,9.838661350682782825e+01,3.400000000000000000e+01
6.277828406831588381e+00,2.123140420211557355e+00,9.838661350682812667e+01,2.088885959440791567e+02,3.400000000000000000e+01
8.952465548919112948e+00,1.786058505029091803e+00,3.160461734331575485e+02,1.769517474053906767e+02,3.400000000000000000e+01
8.952465548919112948e+00,1.786058505029088694e+00,1.769517474053908188e+02,3.160461734331572643e+02,3.400000000000000000e+01
8.952465548919112948e+00,1.786058505029091137e+00,3.160461734331575485e+02,1.769517474053907335e+02,3.400000000000000000e+01
8.952465548919112948e+00,1.786058505029090471e+00,1.769517474053906767e+02,3.160461734331573211e+02,3.400000000000000000e+01
7.170419209858044596e+00,2.023939672439563964e+00,2.623602837606141520e+02,1.296285098480119871e+02,3.300000000000000000e+01
7.170419209858044596e+00,2.023939672439562187e+00,1.296285098480119586e+02,2.623602837606139246e+02,3.300000000000000000e+01
7.170419209858044596e+00,2.023939672439563964e+00,2.623602837606141520e+02,1.296285098480119871e+02,3.300000000000000000e+01
7.170419209858044596e+00,2.023939672439559523e+00,1.296285098480121860e+02,2.623602837606139815e+02,3.300000000000000000e+01
7.184308005902065197e+00,1.778735223076405747e+00,2.270596868108708009e+02,1.276523250144900459e+02,3.700000000000000000e+01
7.184308005902065197e+00,1.778735223076403749e+00,1.276523250144900743e+02,2.270596868108706019e+02,3.700000000000000000e+01
