white,black
4.320000000000000000e+02,1.168000000000000000e+03
4.320000000000000000e+02,1.332000000000000000e+03
4.320000000000000000e+02,1.168000000000000000e+03
4.320000000000000000e+02,1.012000000000000000e+03
6.270000000000000000e+02,3.217000000000000000e+03
6.270000000000000000e+02,2.973000000000000000e+03
6.270000000000000000e+02,2.973000000000000000e+03
6.270000000000000000e+02,2.973000000000000000e+03
9.300000000000000000e+02,6.466000000000000000e+03
9.300000000000000000e+02,6.466000000000000000e+03
9.300000000000000000e+02,6.814000000000000000e+03
9.300000000000000000e+02,6.466000000000000000e+03
8.290000000000000000e+02,5.571000000000000000e+03
8.290000000000000000e+02,5.255000000000000000e+03
8.290000000000000000e+02,5.255000000000000000e+03
8.290000000000000000e+02,5.255000000000000000e+03
8.620000000000000000e+02,7.602000000000000000e+03
8.620000000000000000e+02,7.238000000000000000e+03
8.620000000000000000e+02,7.602000000000000000e+03
8.620000000000000000e+02,7.974000000000000000e+03
7.180000000000000000e+02,5.366000000000000000e+03
7.180000000000000000e+02,5.058000000000000000e+03
7.180000000000000000e+02,4.758000000000000000e+03
7.180000000000000000e+02,5.058000000000000000e+03
8.740000000000000000e+02,9.126000000000000000e+03
8.740000000000000000e+02,8.730000000000000000e+03
8.740000000000000000e+02,8.730000000000000000e+03
8.790000000000000000e+02,8.725000000000000000e+03
6.830000000000000000e+02,3.941000000000000000e+03
6.830000000000000000e+02,3.941000000000000000e+03
6.830000000000000000e+02,3.673000000000000000e+03
6.830000000000000000e+02,3.673000000000000000e+03
7.060000000000000000e+02,5.070000000000000000e+03
7.060000000000000000e+02,5.070000000000000000e+03
7.060000000000000000e+02,4.770000000000000000e+03
7.060000000000000000e+02,4.770000000000000000e+03
5.820000000000000000e+02,3.514000000000000000e+03
5.820000000000000000e+02,3.262000000000000000e+03
5.820000000000000000e+02,3.018000000000000000e+03
5.820000000000000000e+02,3.262000000000000000e+03
6.370000000000000000e+02,2.963000000000000000e+03
6.370000000000000000e+02,2.727000000000000000e+03
6.370000000000000000e+02,2.499000000000000000e+03
6.370000000000000000e+02,2.727000000000000000e+03
7.070000000000000000e+02,3.389000000000000000e+03
7.070000000000000000e+02,3.389000000000000000e+03
7.070000000000000000e+02,3.137000000000000000e+03
7.070000000000000000e+02,3.137000000000000000e+03
6.220000000000000000e+02,4.278000000000000000e+03
6.220000000000000000e+02,4.002000000000000000e+03
6.220000000000000000e+02,4.278000000000000000e+03
6.220000000000000000e+02,4.278000000000000000e+03
5.620000000000000000e+02,3.038000000000000000e+03
5.620000000000000000e+02,3.038000000000000000e+03
