Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
4.894198707185841712e+00,1.393229399106055366e+00,5.054972731951315268e+01,7.042736621834026778e+01,1.900000000000000000e+01
4.894198707185841712e+00,1.393229399106058475e+00,7.042736621834032462e+01,5.054972731951308873e+01,1.900000000000000000e+01
4.894198707185841712e+00,1.393229399106056920e+00,5.054972731951313136e+01,7.042736621834031041e+01,1.900000000000000000e+01
4.894198707185841712e+00,1.393229399106056920e+00,7.042736621834022515e+01,5.054972731951307452e+01,1.900000000000000000e+01
6.368228408755135739e+00,1.269930086546959602e+00,1.484483953763850650e+02,1.168949353582353581e+02,1.900000000000000000e+01
6.368228408755135739e+00,1.269930086546960268e+00,1.168949353582353581e+02,1.484483953763851503e+02,1.900000000000000000e+01
6.368228408755135739e+00,1.269930086546960490e+00,1.484483953763852924e+02,1.168949353582354433e+02,1.900000000000000000e+01
6.368228408755135739e+00,1.269930086546958270e+00,1.168949353582353581e+02,1.484483953763849229e+02,1.900000000000000000e+01
8.816927145769886565e+00,2.523338682703655689e+00,3.878618444267396512e+02,1.537097842177734606e+02,4.600000000000000000e+01
8.816927145769886565e+00,2.523338682703658353e+00,1.537097842177732900e+02,3.878618444267396512e+02,4.600000000000000000e+01
8.816927145769886565e+00,2.523338682703657465e+00,3.878618444267400491e+02,1.537097842177735174e+02,4.600000000000000000e+01
8.816927145769886565e+00,2.523338682703655245e+00,1.537097842177734606e+02,3.878618444267395944e+02,4.600000000000000000e+01
8.639291241417719647e+00,2.034552013792103597e+00,2.996943049432055659e+02,1.473023559543310910e+02,3.400000000000000000e+01
8.639291241417719647e+00,2.034552013792100933e+00,1.473023559543312615e+02,2.996943049432055659e+02,3.400000000000000000e+01
8.639291241417719647e+00,2.034552013792101821e+00,2.996943049432055659e+02,1.473023559543312047e+02,3.400000000000000000e+01
8.639291241417719647e+00,2.034552013792108038e+00,1.473023559543308352e+02,2.996943049432057364e+02,3.400000000000000000e+01
8.757583829158676281e+00,1.975405706968518027e+00,3.715046787561966539e+02,1.880650022654396025e+02,4.200000000000000000e+01
8.757583829158676281e+00,1.975405706968518249e+00,1.880650022654395741e+02,3.715046787561966539e+02,4.200000000000000000e+01
8.757583829158676281e+00,1.975405706968516695e+00,3.715046787561964265e+02,1.880650022654396025e+02,4.200000000000000000e+01
8.757583829158676281e+00,1.975405706968516029e+00,1.880650022654397162e+02,3.715046787561964834e+02,4.200000000000000000e+01
6.490773041249136455e+00,1.675679959233796756e+00,1.285383086790356231e+02,2.153890678472675688e+02,3.100000000000000000e+01
6.490773041249136455e+00,1.675679959233797423e+00,2.153890678472675404e+02,1.285383086790355378e+02,3.100000000000000000e+01
6.490773041249136455e+00,1.675679959233799199e+00,1.285383086790354810e+02,2.153890678472676825e+02,3.100000000000000000e+01
6.490773041249136455e+00,1.675679959233798311e+00,2.153890678472672846e+02,1.285383086790353104e+02,3.100000000000000000e+01
8.983020038847165267e+00,2.501440943210220702e+00,4.374567918601096608e+02,1.748819187786620830e+02,2.500000000000000000e+01
8.983020038847165267e+00,2.501440943210218926e+00,1.748819187786622820e+02,4.374567918601098881e+02,2.500000000000000000e+01
9.207313767291090301e+00,2.524326250891563372e+00,4.346465233927717122e+02,1.721831808544000637e+02,2.500000000000000000e+01
8.983020038847165267e+00,2.501440943210221590e+00,1.748819187786620830e+02,4.374567918601098881e+02,2.500000000000000000e+01
7.398957178702577409e+00,3.594680802406680975e+00,2.634244504499180835e+02,7.328173624583087076e+01,3.800000000000000000e+01
7.398957178702577409e+00,3.594680802406678755e+00,7.328173624583089918e+01,2.634244504499180266e+02,3.800000000000000000e+01
7.398957178702577409e+00,3.594680802406676090e+00,2.634244504499180266e+02,7.328173624583095602e+01,3.800000000000000000e+01
7.398957178702577409e+00,3.594680802406678310e+00,7.328173624583089918e+01,2.634244504499179698e+02,3.800000000000000000e+01
6.492439604881849569e+00,3.453296589797880678e+00,2.629121998542883034e+02,7.613368646962246089e+01,2.900000000000000000e+01
6.492439604881849569e+00,3.453296589797882010e+00,7.613368646962240405e+01,2.629121998542881897e+02,2.900000000000000000e+01
6.492439604881849569e+00,3.453296589797875793e+00,2.629121998542881329e+02,7.613368646962251773e+01,2.900000000000000000e+01
6.492439604881849569e+00,3.453296589797886007e+00,7.613368646962231878e+01,2.629121998542881897e+02,2.900000000000000000e+01
5.972549028519829051e+00,1.285147460534471042e+00,1.567685399821149872e+02,1.219848653919586923e+02,2.000000000000000000e+01
5.972549028519829051e+00,1.285147460534468156e+00,1.219848653919588344e+02,1.567685399821148451e+02,2.000000000000000000e+01
5.972549028519829051e+00,1.285147460534468156e+00,1.567685399821147598e+02,1.219848653919587775e+02,2.000000000000000000e+01
5.972549028519829051e+00,1.285147460534470598e+00,1.219848653919585928e+02,1.567685399821148167e+02,2.000000000000000000e+01
6.156822774992912528e+00,2.372547029006782715e+00,1.739907498679309299e+02,7.333500568828281985e+01,1.700000000000000000e+01
6.156822774992912528e+00,2.372547029006786712e+00,7.333500568828270616e+01,1.739907498679309299e+02,1.700000000000000000e+01
6.156822774992912528e+00,2.372547029006783603e+00,1.739907498679309583e+02,7.333500568828280564e+01,1.700000000000000000e+01
6.156822774992912528e+00,2.372547029006787600e+00,7.333500568828266353e+01,1.739907498679309015e+02,1.700000000000000000e+01
6.537396216209599764e+00,2.229115939234067589e+00,2.034370438134381232e+02,9.126355441311851280e+01,2.700000000000000000e+01
6.537396216209599764e+00,2.229115939234066701e+00,9.126355441311858385e+01,2.034370438134382084e+02,2.700000000000000000e+01
6.537396216209599764e+00,2.229115939234071142e+00,2.034370438134385495e+02,9.126355441311856964e+01,2.700000000000000000e+01
