white,black
8.720000000000000000e+02,7.964000000000000000e+03
8.720000000000000000e+02,7.964000000000000000e+03
8.720000000000000000e+02,8.344000000000000000e+03
8.720000000000000000e+02,8.344000000000000000e+03
8.690000000000000000e+02,4.031000000000000000e+03
8.690000000000000000e+02,4.031000000000000000e+03
8.690000000000000000e+02,4.315000000000000000e+03
8.690000000000000000e+02,4.031000000000000000e+03
8.090000000000000000e+02,5.591000000000000000e+03
8.090000000000000000e+02,5.591000000000000000e+03
8.090000000000000000e+02,5.591000000000000000e+03
8.090000000000000000e+02,5.591000000000000000e+03
6.540000000000000000e+02,5.122000000000000000e+03
6.540000000000000000e+02,5.122000000000000000e+03
6.540000000000000000e+02,4.822000000000000000e+03
6.540000000000000000e+02,4.822000000000000000e+03
6.880000000000000000e+02,5.712000000000000000e+03
6.880000000000000000e+02,5.712000000000000000e+03
6.880000000000000000e+02,6.036000000000000000e+03
6.880000000000000000e+02,5.712000000000000000e+03
7.620000000000000000e+02,6.294000000000000000e+03
7.620000000000000000e+02,6.294000000000000000e+03
7.620000000000000000e+02,5.962000000000000000e+03
7.620000000000000000e+02,6.294000000000000000e+03
7.670000000000000000e+02,5.317000000000000000e+03
7.670000000000000000e+02,5.317000000000000000e+03
7.670000000000000000e+02,5.633000000000000000e+03
7.670000000000000000e+02,5.633000000000000000e+03
8.140000000000000000e+02,7.650000000000000000e+03
8.140000000000000000e+02,7.286000000000000000e+03
8.140000000000000000e+02,6.930000000000000000e+03
8.140000000000000000e+02,7.286000000000000000e+03
7.740000000000000000e+02,7.690000000000000000e+03
7.740000000000000000e+02,7.690000000000000000e+03
7.740000000000000000e+02,8.062000000000000000e+03
7.740000000000000000e+02,8.062000000000000000e+03
8.450000000000000000e+02,5.239000000000000000e+03
8.450000000000000000e+02,5.555000000000000000e+03
8.450000000000000000e+02,5.879000000000000000e+03
8.450000000000000000e+02,5.555000000000000000e+03
8.100000000000000000e+02,8.026000000000000000e+03
8.100000000000000000e+02,7.654000000000000000e+03
8.100000000000000000e+02,7.290000000000000000e+03
8.100000000000000000e+02,7.654000000000000000e+03
7.810000000000000000e+02,5.303000000000000000e+03
7.810000000000000000e+02,4.995000000000000000e+03
7.810000000000000000e+02,4.995000000000000000e+03
7.810000000000000000e+02,4.995000000000000000e+03
8.070000000000000000e+02,7.293000000000000000e+03
