Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
8.826619983251841717e+00,4.840351106898428846e+00,4.692093550014794801e+02,9.693704953195774010e+01,4.200000000000000000e+01
8.826619983251841717e+00,4.840351106898430622e+00,9.693704953195771168e+01,4.692093550014795369e+02,4.200000000000000000e+01
8.826619983251841717e+00,4.840351106898435063e+00,4.692093550014799348e+02,9.693704953195771168e+01,4.200000000000000000e+01
8.826619983251841717e+00,4.840351106898434175e+00,9.693704953195765484e+01,4.692093550014795369e+02,4.200000000000000000e+01
9.553783692654976178e+00,1.702012632547898141e+00,3.080313530269278317e+02,1.809806502821354286e+02,4.100000000000000000e+01
9.553783692654976178e+00,1.702012632547899695e+00,1.809806502821352865e+02,3.080313530269278885e+02,4.100000000000000000e+01
9.553783692654976178e+00,1.702012632547899695e+00,3.080313530269280591e+02,1.809806502821354002e+02,4.100000000000000000e+01
9.553783692654976178e+00,1.702012632547898807e+00,1.809806502821353718e+02,3.080313530269278317e+02,4.100000000000000000e+01
9.030813455082707719e+00,1.397605535653206443e+00,2.088654484518931724e+02,2.919115069630553307e+02,2.700000000000000000e+01
9.030813455082707719e+00,1.397605535653207109e+00,2.919115069630552171e+02,2.088654484518930019e+02,2.700000000000000000e+01
9.030813455082707719e+00,1.397605535653206221e+00,2.088654484518932009e+02,2.919115069630553307e+02,2.700000000000000000e+01
9.030813455082707719e+00,1.397605535653206887e+00,2.919115069630553307e+02,2.088654484518930872e+02,2.700000000000000000e+01
6.269950353656173370e+00,1.970854097244057579e+00,2.649467064757803882e+02,1.344324305113546529e+02,3.200000000000000000e+01
6.269950353656173370e+00,1.970854097244057579e+00,1.344324305113547666e+02,2.649467064757806156e+02,3.200000000000000000e+01
6.269950353656173370e+00,1.970854097244062686e+00,2.649467064757805588e+02,1.344324305113543971e+02,3.200000000000000000e+01
6.269950353656173370e+00,1.970854097244054248e+00,1.344324305113549940e+02,2.649467064757806156e+02,3.200000000000000000e+01
7.171341298430671252e+00,2.645018399733614967e+00,3.121420054270581090e+02,1.180112794143490902e+02,3.200000000000000000e+01
