white,black
7.460000000000000000e+02,3.878000000000000000e+03
7.460000000000000000e+02,4.154000000000000000e+03
7.460000000000000000e+02,3.878000000000000000e+03
7.460000000000000000e+02,3.878000000000000000e+03
7.230000000000000000e+02,5.677000000000000000e+03
7.230000000000000000e+02,5.677000000000000000e+03
7.230000000000000000e+02,5.677000000000000000e+03
7.230000000000000000e+02,5.361000000000000000e+03
8.340000000000000000e+02,4.066000000000000000e+03
8.340000000000000000e+02,4.350000000000000000e+03
8.340000000000000000e+02,4.066000000000000000e+03
8.340000000000000000e+02,4.066000000000000000e+03
6.650000000000000000e+02,3.691000000000000000e+03
6.650000000000000000e+02,3.959000000000000000e+03
6.650000000000000000e+02,3.691000000000000000e+03
6.650000000000000000e+02,3.691000000000000000e+03
8.440000000000000000e+02,3.252000000000000000e+03
8.440000000000000000e+02,3.252000000000000000e+03
8.440000000000000000e+02,3.512000000000000000e+03
8.440000000000000000e+02,3.512000000000000000e+03
7.840000000000000000e+02,6.612000000000000000e+03
7.840000000000000000e+02,6.612000000000000000e+03
7.840000000000000000e+02,6.612000000000000000e+03
7.840000000000000000e+02,6.272000000000000000e+03
7.010000000000000000e+02,3.923000000000000000e+03
7.010000000000000000e+02,3.923000000000000000e+03
7.010000000000000000e+02,3.923000000000000000e+03
7.010000000000000000e+02,3.655000000000000000e+03
8.140000000000000000e+02,4.662000000000000000e+03
8.140000000000000000e+02,4.962000000000000000e+03
8.140000000000000000e+02,4.662000000000000000e+03
8.140000000000000000e+02,4.370000000000000000e+03
8.260000000000000000e+02,5.898000000000000000e+03
8.260000000000000000e+02,6.230000000000000000e+03
8.260000000000000000e+02,5.898000000000000000e+03
8.260000000000000000e+02,5.574000000000000000e+03
7.730000000000000000e+02,3.583000000000000000e+03
7.730000000000000000e+02,3.583000000000000000e+03
7.730000000000000000e+02,3.583000000000000000e+03
7.730000000000000000e+02,3.851000000000000000e+03
8.780000000000000000e+02,6.178000000000000000e+03
8.780000000000000000e+02,6.518000000000000000e+03
8.780000000000000000e+02,6.178000000000000000e+03
8.780000000000000000e+02,6.178000000000000000e+03
9.560000000000000000e+02,9.044000000000000000e+03
9.560000000000000000e+02,9.448000000000000000e+03
9.560000000000000000e+02,9.448000000000000000e+03
9.560000000000000000e+02,9.044000000000000000e+03
9.750000000000000000e+02,5.109000000000000000e+03
9.750000000000000000e+02,5.425000000000000000e+03
9.750000000000000000e+02,5.425000000000000000e+03
9.750000000000000000e+02,5.109000000000000000e+03
9.140000000000000000e+02,5.170000000000000000e+03
9.140000000000000000e+02,5.486000000000000000e+03
9.140000000000000000e+02,5.170000000000000000e+03
9.140000000000000000e+02,5.170000000000000000e+03
7.380000000000000000e+02,3.106000000000000000e+03
7.380000000000000000e+02,3.358000000000000000e+03
7.380000000000000000e+02,3.358000000000000000e+03
7.380000000000000000e+02,3.106000000000000000e+03
1.049000000000000000e+03,7.415000000000000000e+03
1.049000000000000000e+03,7.787000000000000000e+03
1.049000000000000000e+03,7.415000000000000000e+03
1.049000000000000000e+03,7.051000000000000000e+03
7.570000000000000000e+02,5.967000000000000000e+03
7.570000000000000000e+02,6.299000000000000000e+03
7.570000000000000000e+02,5.967000000000000000e+03
7.570000000000000000e+02,5.643000000000000000e+03
9.590000000000000000e+02,5.441000000000000000e+03
9.590000000000000000e+02,5.441000000000000000e+03
9.590000000000000000e+02,5.441000000000000000e+03
9.590000000000000000e+02,5.125000000000000000e+03
8.810000000000000000e+02,6.863000000000000000e+03
8.810000000000000000e+02,6.863000000000000000e+03
8.810000000000000000e+02,6.863000000000000000e+03
8.810000000000000000e+02,6.515000000000000000e+03
1.084000000000000000e+03,5.972000000000000000e+03
1.084000000000000000e+03,5.972000000000000000e+03
1.084000000000000000e+03,5.972000000000000000e+03
1.084000000000000000e+03,5.640000000000000000e+03
4.000000000000000000e+02,1.904000000000000000e+03
4.000000000000000000e+02,1.904000000000000000e+03
4.000000000000000000e+02,1.904000000000000000e+03
4.000000000000000000e+02,1.904000000000000000e+03
4.560000000000000000e+02,2.680000000000000000e+03
4.560000000000000000e+02,2.680000000000000000e+03
4.560000000000000000e+02,2.908000000000000000e+03
4.560000000000000000e+02,2.908000000000000000e+03
5.470000000000000000e+02,4.077000000000000000e+03
5.470000000000000000e+02,4.077000000000000000e+03
5.470000000000000000e+02,4.353000000000000000e+03
5.470000000000000000e+02,4.353000000000000000e+03
4.330000000000000000e+02,2.067000000000000000e+03
4.330000000000000000e+02,2.067000000000000000e+03
4.330000000000000000e+02,2.271000000000000000e+03
4.330000000000000000e+02,2.067000000000000000e+03
3.870000000000000000e+02,2.977000000000000000e+03
3.870000000000000000e+02,2.977000000000000000e+03
3.870000000000000000e+02,2.749000000000000000e+03
3.870000000000000000e+02,2.749000000000000000e+03
4.360000000000000000e+02,3.408000000000000000e+03
4.360000000000000000e+02,3.408000000000000000e+03
4.360000000000000000e+02,3.164000000000000000e+03
4.360000000000000000e+02,3.164000000000000000e+03
4.320000000000000000e+02,2.272000000000000000e+03
4.320000000000000000e+02,2.484000000000000000e+03
4.320000000000000000e+02,2.272000000000000000e+03
4.320000000000000000e+02,2.272000000000000000e+03
4.200000000000000000e+02,2.944000000000000000e+03
4.200000000000000000e+02,2.944000000000000000e+03
4.200000000000000000e+02,3.180000000000000000e+03
4.200000000000000000e+02,3.180000000000000000e+03
4.830000000000000000e+02,2.653000000000000000e+03
4.830000000000000000e+02,2.881000000000000000e+03
4.830000000000000000e+02,2.653000000000000000e+03
4.830000000000000000e+02,2.653000000000000000e+03
4.220000000000000000e+02,2.494000000000000000e+03
4.220000000000000000e+02,2.714000000000000000e+03
4.220000000000000000e+02,2.942000000000000000e+03
4.220000000000000000e+02,2.714000000000000000e+03
5.000000000000000000e+02,2.864000000000000000e+03
5.000000000000000000e+02,2.864000000000000000e+03
5.000000000000000000e+02,3.100000000000000000e+03
5.000000000000000000e+02,3.100000000000000000e+03
4.150000000000000000e+02,2.501000000000000000e+03
4.150000000000000000e+02,2.501000000000000000e+03
4.150000000000000000e+02,2.721000000000000000e+03
4.150000000000000000e+02,2.721000000000000000e+03
4.740000000000000000e+02,4.150000000000000000e+03
4.740000000000000000e+02,4.150000000000000000e+03
4.740000000000000000e+02,4.426000000000000000e+03
4.740000000000000000e+02,4.426000000000000000e+03
3.560000000000000000e+02,1.580000000000000000e+03
3.560000000000000000e+02,1.760000000000000000e+03
3.560000000000000000e+02,1.948000000000000000e+03
3.560000000000000000e+02,1.760000000000000000e+03
4.530000000000000000e+02,2.047000000000000000e+03
4.530000000000000000e+02,2.251000000000000000e+03
4.530000000000000000e+02,2.251000000000000000e+03
4.530000000000000000e+02,2.251000000000000000e+03
3.630000000000000000e+02,1.753000000000000000e+03
3.630000000000000000e+02,1.941000000000000000e+03
3.630000000000000000e+02,1.941000000000000000e+03
3.630000000000000000e+02,1.941000000000000000e+03
4.290000000000000000e+02,2.275000000000000000e+03
4.290000000000000000e+02,2.275000000000000000e+03
4.290000000000000000e+02,2.487000000000000000e+03
4.290000000000000000e+02,2.487000000000000000e+03
4.640000000000000000e+02,3.136000000000000000e+03
4.640000000000000000e+02,3.136000000000000000e+03
4.640000000000000000e+02,3.380000000000000000e+03
4.640000000000000000e+02,3.136000000000000000e+03
3.870000000000000000e+02,2.317000000000000000e+03
3.870000000000000000e+02,2.317000000000000000e+03
3.870000000000000000e+02,2.317000000000000000e+03
3.870000000000000000e+02,2.113000000000000000e+03
3.970000000000000000e+02,2.103000000000000000e+03
3.970000000000000000e+02,2.103000000000000000e+03
3.970000000000000000e+02,2.307000000000000000e+03
3.970000000000000000e+02,2.307000000000000000e+03
8.630000000000000000e+02,4.321000000000000000e+03
8.630000000000000000e+02,4.037000000000000000e+03
8.630000000000000000e+02,4.321000000000000000e+03
8.630000000000000000e+02,4.613000000000000000e+03
6.780000000000000000e+02,2.238000000000000000e+03
6.780000000000000000e+02,2.458000000000000000e+03
6.780000000000000000e+02,2.458000000000000000e+03
6.780000000000000000e+02,2.238000000000000000e+03
8.190000000000000000e+02,3.805000000000000000e+03
8.190000000000000000e+02,3.537000000000000000e+03
8.190000000000000000e+02,3.805000000000000000e+03
8.190000000000000000e+02,3.805000000000000000e+03
9.490000000000000000e+02,3.675000000000000000e+03
9.490000000000000000e+02,3.407000000000000000e+03
9.490000000000000000e+02,3.407000000000000000e+03
9.490000000000000000e+02,3.675000000000000000e+03
1.038000000000000000e+03,5.046000000000000000e+03
1.038000000000000000e+03,4.738000000000000000e+03
1.038000000000000000e+03,4.738000000000000000e+03
1.038000000000000000e+03,4.738000000000000000e+03
8.160000000000000000e+02,2.548000000000000000e+03
8.160000000000000000e+02,2.320000000000000000e+03
8.160000000000000000e+02,2.320000000000000000e+03
8.160000000000000000e+02,2.320000000000000000e+03
7.490000000000000000e+02,2.851000000000000000e+03
7.490000000000000000e+02,3.095000000000000000e+03
7.490000000000000000e+02,3.347000000000000000e+03
7.490000000000000000e+02,3.095000000000000000e+03
6.390000000000000000e+02,2.065000000000000000e+03
6.390000000000000000e+02,2.277000000000000000e+03
6.390000000000000000e+02,2.277000000000000000e+03
6.390000000000000000e+02,2.277000000000000000e+03
1.015000000000000000e+03,5.069000000000000000e+03
1.015000000000000000e+03,4.761000000000000000e+03
1.015000000000000000e+03,4.761000000000000000e+03
1.015000000000000000e+03,5.069000000000000000e+03
9.390000000000000000e+02,3.961000000000000000e+03
9.390000000000000000e+02,3.961000000000000000e+03
9.390000000000000000e+02,3.961000000000000000e+03
9.390000000000000000e+02,3.961000000000000000e+03
