Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
6.774112269509196871e+00,2.998565380820093829e+00,2.793299031975718663e+02,9.315451481707442838e+01,3.800000000000000000e+01
6.774112269509196871e+00,2.998565380820096049e+00,9.315451481707441417e+01,2.793299031975720368e+02,3.800000000000000000e+01
6.774112269509196871e+00,2.998565380820092496e+00,2.793299031975720936e+02,9.315451481707454207e+01,3.800000000000000000e+01
6.774112269509196871e+00,2.998565380820100490e+00,9.315451481707424364e+01,2.793299031975719231e+02,3.800000000000000000e+01
6.606691188859624475e+00,4.968939723992255253e+00,6.123746882642512901e+01,3.042852914483611926e+02,3.800000000000000000e+01
6.606691188859624475e+00,4.968939723992257917e+00,3.042852914483612494e+02,6.123746882642510059e+01,3.800000000000000000e+01
6.606691188859624475e+00,4.968939723992270352e+00,6.123746882642490164e+01,3.042852914483610220e+02,3.800000000000000000e+01
6.606691188859624475e+00,4.968939723992262358e+00,3.042852914483611357e+02,6.123746882642502953e+01,3.800000000000000000e+01
7.321222798859734482e+00,3.307636397803695338e+00,2.803875609862096780e+02,8.476976525363849646e+01,4.400000000000000000e+01
7.321222798859734482e+00,3.307636397803698003e+00,8.476976525363843962e+01,2.803875609862097349e+02,4.400000000000000000e+01
7.321222798859734482e+00,3.307636397803695338e+00,2.803875609862096780e+02,8.476976525363849646e+01,4.400000000000000000e+01
7.321222798859734482e+00,3.307636397803690453e+00,8.476976525363866699e+01,2.803875609862098486e+02,4.400000000000000000e+01
5.739270846338640375e+00,2.426489045607230999e+00,2.022408985503809049e+02,8.334713025657609364e+01,3.700000000000000000e+01
5.739270846338640375e+00,2.426489045607230999e+00,8.334713025657609364e+01,2.022408985503809049e+02,3.700000000000000000e+01
5.739270846338640375e+00,2.426489045607229222e+00,2.022408985503810186e+02,8.334713025657620733e+01,3.700000000000000000e+01
5.739270846338640375e+00,2.426489045607231443e+00,8.334713025657610785e+01,2.022408985503809618e+02,3.700000000000000000e+01
6.924465743845903631e+00,3.191456441514472164e+00,2.838433496738666122e+02,8.893850029774235111e+01,4.200000000000000000e+01
6.924465743845903631e+00,3.191456441514477049e+00,8.893850029774222321e+01,2.838433496738666690e+02,4.200000000000000000e+01
6.924465743845903631e+00,3.191456441514473497e+00,2.838433496738667827e+02,8.893850029774236532e+01,4.200000000000000000e+01
6.924465743845903631e+00,3.191456441514469056e+00,8.893850029774245058e+01,2.838433496738666690e+02,4.200000000000000000e+01
7.181866807021777710e+00,3.120140862346986843e+00,1.122360882032946847e+02,3.501924050330803198e+02,3.900000000000000000e+01
7.181866807021777710e+00,3.120140862346986399e+00,3.501924050330803766e+02,1.122360882032947131e+02,3.900000000000000000e+01
7.181866807021777710e+00,3.120140862346984623e+00,1.122360882032948552e+02,3.501924050330806040e+02,3.900000000000000000e+01
7.181866807021777710e+00,3.120140862346988175e+00,3.501924050330806608e+02,1.122360882032947274e+02,3.900000000000000000e+01
6.925737462976777614e+00,3.013628555900033312e+00,2.598377608765221112e+02,8.622089818196603517e+01,4.000000000000000000e+01
6.925737462976777614e+00,3.013628555900028871e+00,8.622089818196616307e+01,2.598377608765221112e+02,4.000000000000000000e+01
6.925737462976777614e+00,3.013628555900035533e+00,2.598377608765219406e+02,8.622089818196592148e+01,4.000000000000000000e+01
