white,black
9.780000000000000000e+02,5.746000000000000000e+03
9.780000000000000000e+02,5.422000000000000000e+03
9.780000000000000000e+02,5.746000000000000000e+03
9.780000000000000000e+02,6.078000000000000000e+03
9.040000000000000000e+02,5.180000000000000000e+03
9.040000000000000000e+02,5.180000000000000000e+03
9.040000000000000000e+02,4.872000000000000000e+03
9.040000000000000000e+02,5.180000000000000000e+03
1.097000000000000000e+03,6.299000000000000000e+03
1.097000000000000000e+03,6.647000000000000000e+03
1.097000000000000000e+03,6.647000000000000000e+03
1.097000000000000000e+03,6.299000000000000000e+03
7.950000000000000000e+02,6.261000000000000000e+03
7.950000000000000000e+02,6.261000000000000000e+03
7.950000000000000000e+02,5.929000000000000000e+03
7.950000000000000000e+02,5.929000000000000000e+03
1.061000000000000000e+03,7.775000000000000000e+03
1.061000000000000000e+03,8.155000000000000000e+03
1.061000000000000000e+03,7.775000000000000000e+03
1.061000000000000000e+03,7.403000000000000000e+03
1.281000000000000000e+03,1.126300000000000000e+04
1.281000000000000000e+03,1.126300000000000000e+04
1.281000000000000000e+03,1.081900000000000000e+04
1.281000000000000000e+03,1.081900000000000000e+04
7.330000000000000000e+02,3.891000000000000000e+03
7.330000000000000000e+02,3.623000000000000000e+03
7.330000000000000000e+02,3.623000000000000000e+03
7.330000000000000000e+02,3.891000000000000000e+03
1.098000000000000000e+03,6.646000000000000000e+03
1.098000000000000000e+03,7.002000000000000000e+03
1.098000000000000000e+03,6.646000000000000000e+03
1.098000000000000000e+03,6.298000000000000000e+03
7.940000000000000000e+02,4.390000000000000000e+03
7.940000000000000000e+02,4.682000000000000000e+03
7.940000000000000000e+02,4.390000000000000000e+03
7.940000000000000000e+02,4.390000000000000000e+03
1.172000000000000000e+03,8.828000000000000000e+03
1.172000000000000000e+03,8.432000000000000000e+03
1.172000000000000000e+03,8.044000000000000000e+03
1.172000000000000000e+03,8.432000000000000000e+03
7.830000000000000000e+02,5.617000000000000000e+03
7.830000000000000000e+02,5.301000000000000000e+03
7.830000000000000000e+02,4.993000000000000000e+03
7.830000000000000000e+02,5.301000000000000000e+03
1.105000000000000000e+03,9.711000000000000000e+03
1.105000000000000000e+03,9.299000000000000000e+03
1.105000000000000000e+03,9.299000000000000000e+03
1.105000000000000000e+03,9.299000000000000000e+03
8.640000000000000000e+02,4.612000000000000000e+03
8.640000000000000000e+02,4.912000000000000000e+03
8.640000000000000000e+02,4.612000000000000000e+03
8.640000000000000000e+02,4.612000000000000000e+03
1.070000000000000000e+03,6.674000000000000000e+03
1.070000000000000000e+03,7.030000000000000000e+03
1.070000000000000000e+03,6.674000000000000000e+03
1.070000000000000000e+03,6.674000000000000000e+03
1.037000000000000000e+03,6.359000000000000000e+03
1.037000000000000000e+03,6.019000000000000000e+03
1.037000000000000000e+03,5.687000000000000000e+03
1.037000000000000000e+03,6.019000000000000000e+03
1.192000000000000000e+03,8.808000000000000000e+03
1.192000000000000000e+03,8.808000000000000000e+03
1.192000000000000000e+03,8.808000000000000000e+03
1.192000000000000000e+03,8.808000000000000000e+03
9.860000000000000000e+02,6.070000000000000000e+03
9.860000000000000000e+02,6.410000000000000000e+03
9.860000000000000000e+02,6.758000000000000000e+03
9.860000000000000000e+02,6.410000000000000000e+03
4.570000000000000000e+02,4.727000000000000000e+03
4.570000000000000000e+02,4.727000000000000000e+03
4.570000000000000000e+02,4.443000000000000000e+03
4.570000000000000000e+02,4.443000000000000000e+03
1.027000000000000000e+03,6.717000000000000000e+03
1.027000000000000000e+03,6.717000000000000000e+03
1.027000000000000000e+03,6.717000000000000000e+03
1.027000000000000000e+03,6.717000000000000000e+03
1.123000000000000000e+03,7.713000000000000000e+03
1.123000000000000000e+03,7.713000000000000000e+03
1.123000000000000000e+03,7.341000000000000000e+03
1.123000000000000000e+03,7.341000000000000000e+03
9.770000000000000000e+02,5.747000000000000000e+03
9.770000000000000000e+02,5.747000000000000000e+03
9.770000000000000000e+02,5.423000000000000000e+03
9.770000000000000000e+02,5.423000000000000000e+03
1.099000000000000000e+03,7.365000000000000000e+03
