Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
1.072172172611245244e+01,1.452539806645446907e+00,3.171917465820481539e+02,2.183704330379649718e+02,4.500000000000000000e+01
1.072172172611245244e+01,1.452539806645446907e+00,2.183704330379648582e+02,3.171917465820479833e+02,4.500000000000000000e+01
1.072172172611245244e+01,1.452539806645446463e+00,3.171917465820480402e+02,2.183704330379649718e+02,4.500000000000000000e+01
1.072172172611245244e+01,1.452539806645446463e+00,2.183704330379649434e+02,3.171917465820479833e+02,4.500000000000000000e+01
9.938029012888614844e+00,1.463840258739861122e+00,3.310571495812570220e+02,2.261566093736524010e+02,3.900000000000000000e+01
9.938029012888614844e+00,1.463840258739862676e+00,2.261566093736520884e+02,3.310571495812569083e+02,3.900000000000000000e+01
9.938029012888614844e+00,1.463840258739860678e+00,3.310571495812569083e+02,2.261566093736523726e+02,3.900000000000000000e+01
9.938029012888614844e+00,1.463840258739860678e+00,2.261566093736524863e+02,3.310571495812570788e+02,3.900000000000000000e+01
1.149078377644876525e+01,1.861758535447890939e+00,4.157195527640216710e+02,2.232940227471605397e+02,3.300000000000000000e+01
1.149078377644876525e+01,1.861758535447888718e+00,2.232940227471605112e+02,4.157195527640211026e+02,3.300000000000000000e+01
1.149078377644876525e+01,1.861758535447888496e+00,4.157195527640211026e+02,2.232940227471605397e+02,3.300000000000000000e+01
1.149078377644876525e+01,1.861758535447889162e+00,2.232940227471604544e+02,4.157195527640211026e+02,3.300000000000000000e+01
8.889053815303569195e+00,2.485917664166006347e+00,3.437237709771030723e+02,1.382683650113641249e+02,2.300000000000000000e+01
8.889053815303569195e+00,2.485917664166001906e+00,1.382683650113643239e+02,3.437237709771029586e+02,2.300000000000000000e+01
8.889053815303569195e+00,2.485917664166006791e+00,3.437237709771030723e+02,1.382683650113640965e+02,2.300000000000000000e+01
8.889053815303569195e+00,2.485917664166004126e+00,1.382683650113642670e+02,3.437237709771031291e+02,2.300000000000000000e+01
1.140785430927298805e+01,1.822180774104434020e+00,2.391897756595469673e+02,4.358470105691792469e+02,3.900000000000000000e+01
1.140785430927298805e+01,1.822180774104433132e+00,4.358470105691798153e+02,2.391897756595474220e+02,3.900000000000000000e+01
1.140785430927298805e+01,1.822180774104432244e+00,2.391897756595474789e+02,4.358470105691797585e+02,3.900000000000000000e+01
1.140785430927298805e+01,1.822180774104432910e+00,4.358470105691797585e+02,2.391897756595474220e+02,3.900000000000000000e+01
