white,black
1.033000000000000000e+03,4.151000000000000000e+03
1.033000000000000000e+03,3.867000000000000000e+03
1.033000000000000000e+03,3.867000000000000000e+03
1.033000000000000000e+03,4.151000000000000000e+03
9.450000000000000000e+02,3.151000000000000000e+03
9.450000000000000000e+02,2.899000000000000000e+03
9.450000000000000000e+02,2.899000000000000000e+03
9.450000000000000000e+02,3.151000000000000000e+03
1.162000000000000000e+03,6.582000000000000000e+03
1.162000000000000000e+03,6.582000000000000000e+03
1.162000000000000000e+03,6.234000000000000000e+03
1.162000000000000000e+03,6.234000000000000000e+03
7.780000000000000000e+02,2.822000000000000000e+03
7.780000000000000000e+02,2.822000000000000000e+03
7.780000000000000000e+02,2.822000000000000000e+03
7.780000000000000000e+02,2.822000000000000000e+03
7.390000000000000000e+02,2.625000000000000000e+03
7.390000000000000000e+02,2.397000000000000000e+03
7.390000000000000000e+02,2.625000000000000000e+03
7.390000000000000000e+02,2.861000000000000000e+03
8.100000000000000000e+02,2.554000000000000000e+03
8.100000000000000000e+02,2.326000000000000000e+03
8.100000000000000000e+02,2.554000000000000000e+03
8.100000000000000000e+02,2.554000000000000000e+03
1.025000000000000000e+03,3.599000000000000000e+03
1.025000000000000000e+03,3.331000000000000000e+03
1.025000000000000000e+03,3.599000000000000000e+03
1.025000000000000000e+03,3.599000000000000000e+03
8.770000000000000000e+02,3.219000000000000000e+03
8.770000000000000000e+02,2.967000000000000000e+03
8.770000000000000000e+02,2.967000000000000000e+03
8.770000000000000000e+02,3.219000000000000000e+03
1.005000000000000000e+03,3.091000000000000000e+03
1.005000000000000000e+03,3.091000000000000000e+03
1.005000000000000000e+03,3.351000000000000000e+03
1.005000000000000000e+03,3.351000000000000000e+03
1.088000000000000000e+03,3.812000000000000000e+03
1.088000000000000000e+03,3.812000000000000000e+03
1.088000000000000000e+03,4.096000000000000000e+03
1.088000000000000000e+03,4.096000000000000000e+03
1.006000000000000000e+03,4.470000000000000000e+03
1.006000000000000000e+03,4.178000000000000000e+03
1.006000000000000000e+03,4.178000000000000000e+03
1.006000000000000000e+03,4.470000000000000000e+03
1.034000000000000000e+03,4.150000000000000000e+03
1.034000000000000000e+03,4.150000000000000000e+03
1.034000000000000000e+03,4.442000000000000000e+03
1.034000000000000000e+03,4.442000000000000000e+03
8.040000000000000000e+02,2.560000000000000000e+03
8.040000000000000000e+02,2.560000000000000000e+03
8.040000000000000000e+02,2.796000000000000000e+03
8.040000000000000000e+02,2.796000000000000000e+03
1.226000000000000000e+03,5.174000000000000000e+03
1.226000000000000000e+03,5.174000000000000000e+03
1.226000000000000000e+03,5.174000000000000000e+03
1.226000000000000000e+03,5.174000000000000000e+03
1.078000000000000000e+03,3.018000000000000000e+03
1.078000000000000000e+03,3.278000000000000000e+03
1.078000000000000000e+03,3.018000000000000000e+03
1.078000000000000000e+03,2.766000000000000000e+03
8.690000000000000000e+02,2.731000000000000000e+03
8.690000000000000000e+02,2.731000000000000000e+03
8.690000000000000000e+02,2.731000000000000000e+03
8.690000000000000000e+02,2.975000000000000000e+03
8.630000000000000000e+02,2.501000000000000000e+03
8.630000000000000000e+02,2.501000000000000000e+03
8.630000000000000000e+02,2.501000000000000000e+03
8.630000000000000000e+02,2.273000000000000000e+03
9.380000000000000000e+02,3.158000000000000000e+03
9.380000000000000000e+02,3.158000000000000000e+03
9.380000000000000000e+02,3.158000000000000000e+03
9.380000000000000000e+02,3.158000000000000000e+03
9.700000000000000000e+02,3.386000000000000000e+03
9.700000000000000000e+02,3.126000000000000000e+03
9.700000000000000000e+02,3.386000000000000000e+03
9.700000000000000000e+02,3.654000000000000000e+03
8.050000000000000000e+02,3.291000000000000000e+03
8.050000000000000000e+02,3.291000000000000000e+03
8.050000000000000000e+02,3.551000000000000000e+03
8.050000000000000000e+02,3.551000000000000000e+03
7.470000000000000000e+02,4.437000000000000000e+03
7.470000000000000000e+02,4.729000000000000000e+03
7.470000000000000000e+02,4.437000000000000000e+03
7.470000000000000000e+02,4.153000000000000000e+03
8.430000000000000000e+02,5.881000000000000000e+03
8.430000000000000000e+02,5.881000000000000000e+03
8.430000000000000000e+02,6.213000000000000000e+03
8.430000000000000000e+02,5.881000000000000000e+03
