Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
9.708374493299182006e+00,1.593076155510725789e+00,2.144174578713690380e+02,3.415833394601035593e+02,4.800000000000000000e+01
9.708374493299182006e+00,1.593076155510727121e+00,3.415833394601034456e+02,2.144174578713687538e+02,4.800000000000000000e+01
9.708374493299182006e+00,1.593076155510730230e+00,2.144174578713683843e+02,3.415833394601035025e+02,4.800000000000000000e+01
9.708374493299182006e+00,1.593076155510728231e+00,3.415833394601035025e+02,2.144174578713686401e+02,4.800000000000000000e+01
8.197237449914000607e+00,1.881616837086012239e+00,1.325140824808052287e+02,2.493407287468876632e+02,5.000000000000000000e+01
8.197237449914000607e+00,1.881616837086015126e+00,2.493407287468875779e+02,1.325140824808049729e+02,5.000000000000000000e+01
8.197237449914000607e+00,1.881616837086016458e+00,1.325140824808048592e+02,2.493407287468875495e+02,5.000000000000000000e+01
8.197237449914000607e+00,1.881616837086015126e+00,2.493407287468875779e+02,1.325140824808049729e+02,5.000000000000000000e+01
1.134417261972003921e+01,1.706353504704829493e+00,4.540219735870348927e+02,2.660773235646578883e+02,4.100000000000000000e+01
1.134417261972003921e+01,1.706353504704833490e+00,2.660773235646573198e+02,4.540219735870350064e+02,4.100000000000000000e+01
1.134417261972003921e+01,1.706353504704828827e+00,4.540219735870347222e+02,2.660773235646578883e+02,4.100000000000000000e+01
1.134417261972003921e+01,1.706353504704828605e+00,2.660773235646581156e+02,4.540219735870350064e+02,4.100000000000000000e+01
6.914443543066917996e+00,1.316542590933281520e+00,1.692467799019170798e+02,2.228205941191847614e+02,3.700000000000000000e+01
6.914443543066917996e+00,1.316542590933283519e+00,2.228205941191847614e+02,1.692467799019168240e+02,3.700000000000000000e+01
6.914443543066917996e+00,1.316542590933284629e+00,1.692467799019166819e+02,2.228205941191847614e+02,3.700000000000000000e+01
6.914443543066917996e+00,1.316542590933284185e+00,2.228205941191847614e+02,1.692467799019167387e+02,3.700000000000000000e+01
7.112330741729766537e+00,1.536618544396927799e+00,1.292702462740147951e+02,1.986390576634090053e+02,4.100000000000000000e+01
7.112330741729766537e+00,1.536618544396929797e+00,1.986390576634090905e+02,1.292702462740146814e+02,4.100000000000000000e+01
