white,black
1.017000000000000000e+03,9.387000000000000000e+03
1.017000000000000000e+03,8.983000000000000000e+03
1.017000000000000000e+03,8.983000000000000000e+03
1.017000000000000000e+03,9.387000000000000000e+03
1.039000000000000000e+03,8.565000000000000000e+03
1.039000000000000000e+03,8.177000000000000000e+03
1.039000000000000000e+03,7.797000000000000000e+03
1.039000000000000000e+03,8.177000000000000000e+03
7.940000000000000000e+02,7.306000000000000000e+03
7.940000000000000000e+02,6.950000000000000000e+03
7.940000000000000000e+02,6.950000000000000000e+03
7.940000000000000000e+02,7.306000000000000000e+03
1.193000000000000000e+03,9.623000000000000000e+03
1.193000000000000000e+03,9.211000000000000000e+03
1.193000000000000000e+03,9.211000000000000000e+03
1.193000000000000000e+03,9.623000000000000000e+03
1.058000000000000000e+03,1.104200000000000000e+04
1.058000000000000000e+03,1.060600000000000000e+04
1.058000000000000000e+03,1.060600000000000000e+04
1.058000000000000000e+03,1.104200000000000000e+04
9.180000000000000000e+02,7.546000000000000000e+03
9.180000000000000000e+02,7.182000000000000000e+03
9.180000000000000000e+02,7.182000000000000000e+03
9.180000000000000000e+02,7.546000000000000000e+03
1.055000000000000000e+03,8.945000000000000000e+03
1.055000000000000000e+03,8.945000000000000000e+03
1.055000000000000000e+03,8.549000000000000000e+03
1.055000000000000000e+03,8.945000000000000000e+03
1.005000000000000000e+03,8.599000000000000000e+03
1.005000000000000000e+03,8.211000000000000000e+03
1.005000000000000000e+03,7.831000000000000000e+03
1.005000000000000000e+03,8.211000000000000000e+03
1.064000000000000000e+03,7.036000000000000000e+03
1.064000000000000000e+03,7.036000000000000000e+03
1.064000000000000000e+03,6.680000000000000000e+03
1.064000000000000000e+03,7.036000000000000000e+03
1.093000000000000000e+03,7.743000000000000000e+03
1.093000000000000000e+03,8.123000000000000000e+03
1.093000000000000000e+03,7.743000000000000000e+03
1.093000000000000000e+03,7.371000000000000000e+03
9.960000000000000000e+02,1.024000000000000000e+04
9.960000000000000000e+02,9.820000000000000000e+03
9.960000000000000000e+02,9.820000000000000000e+03
9.960000000000000000e+02,1.024000000000000000e+04
9.380000000000000000e+02,9.062000000000000000e+03
9.380000000000000000e+02,8.666000000000000000e+03
9.380000000000000000e+02,8.666000000000000000e+03
9.380000000000000000e+02,9.062000000000000000e+03
1.015000000000000000e+03,8.201000000000000000e+03
1.015000000000000000e+03,7.821000000000000000e+03
1.015000000000000000e+03,7.821000000000000000e+03
1.015000000000000000e+03,8.201000000000000000e+03
1.082000000000000000e+03,8.918000000000000000e+03
1.082000000000000000e+03,8.918000000000000000e+03
1.082000000000000000e+03,8.522000000000000000e+03
1.082000000000000000e+03,8.918000000000000000e+03
1.097000000000000000e+03,1.056700000000000000e+04
1.097000000000000000e+03,1.013900000000000000e+04
1.097000000000000000e+03,1.013900000000000000e+04
1.097000000000000000e+03,1.056700000000000000e+04
1.115000000000000000e+03,1.142900000000000000e+04
1.115000000000000000e+03,1.098500000000000000e+04
1.115000000000000000e+03,1.054900000000000000e+04
1.115000000000000000e+03,1.098500000000000000e+04
1.057000000000000000e+03,1.060700000000000000e+04
1.057000000000000000e+03,1.017900000000000000e+04
1.057000000000000000e+03,9.759000000000000000e+03
1.057000000000000000e+03,1.017900000000000000e+04
9.440000000000000000e+02,7.892000000000000000e+03
9.440000000000000000e+02,7.520000000000000000e+03
9.440000000000000000e+02,7.520000000000000000e+03
9.440000000000000000e+02,7.892000000000000000e+03
1.036000000000000000e+03,8.964000000000000000e+03
1.036000000000000000e+03,8.568000000000000000e+03
1.036000000000000000e+03,8.180000000000000000e+03
1.036000000000000000e+03,8.568000000000000000e+03
8.780000000000000000e+02,7.222000000000000000e+03
8.780000000000000000e+02,6.866000000000000000e+03
8.780000000000000000e+02,6.866000000000000000e+03
8.780000000000000000e+02,7.222000000000000000e+03
1.020000000000000000e+03,1.064400000000000000e+04
1.020000000000000000e+03,1.021600000000000000e+04
1.020000000000000000e+03,1.021600000000000000e+04
1.020000000000000000e+03,1.064400000000000000e+04
9.660000000000000000e+02,7.870000000000000000e+03
9.660000000000000000e+02,8.250000000000000000e+03
9.660000000000000000e+02,7.870000000000000000e+03
9.660000000000000000e+02,7.498000000000000000e+03
1.076000000000000000e+03,7.760000000000000000e+03
1.076000000000000000e+03,7.388000000000000000e+03
1.076000000000000000e+03,7.024000000000000000e+03
1.076000000000000000e+03,7.388000000000000000e+03
1.045000000000000000e+03,8.171000000000000000e+03
1.045000000000000000e+03,8.171000000000000000e+03
1.045000000000000000e+03,7.791000000000000000e+03
1.045000000000000000e+03,8.171000000000000000e+03
9.240000000000000000e+02,7.176000000000000000e+03
9.240000000000000000e+02,6.820000000000000000e+03
9.240000000000000000e+02,6.820000000000000000e+03
9.240000000000000000e+02,7.176000000000000000e+03
9.750000000000000000e+02,7.861000000000000000e+03
9.750000000000000000e+02,7.489000000000000000e+03
9.750000000000000000e+02,7.125000000000000000e+03
9.750000000000000000e+02,7.489000000000000000e+03
9.430000000000000000e+02,7.521000000000000000e+03
9.430000000000000000e+02,7.157000000000000000e+03
9.430000000000000000e+02,6.801000000000000000e+03
