Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
1.302535321870661988e+01,2.374254743878956742e+00,1.878531539363057163e+02,4.460112418858977890e+02,1.500000000000000000e+01
1.302535321870661988e+01,2.374254743878957630e+00,4.460112418858979595e+02,1.878531539363057163e+02,1.500000000000000000e+01
1.302535321870661988e+01,2.374254743878962071e+00,1.878531539363053184e+02,4.460112418858978458e+02,1.500000000000000000e+01
1.302535321870661988e+01,2.374254743878960294e+00,4.460112418858983574e+02,1.878531539363056879e+02,1.500000000000000000e+01
1.268713049481682908e+01,2.084866610200351023e+00,2.354976225360175022e+02,4.909811300069085860e+02,4.300000000000000000e+01
1.268713049481682908e+01,2.084866610200349690e+00,4.909811300069084155e+02,2.354976225360175874e+02,4.300000000000000000e+01
1.268713049481682908e+01,2.084866610200349690e+00,2.354976225360177295e+02,4.909811300069087565e+02,4.300000000000000000e+01
1.268713049481682908e+01,2.084866610200347470e+00,4.909811300069080744e+02,2.354976225360176443e+02,4.300000000000000000e+01
9.944678355348434806e+00,2.426386882232794306e+00,1.376189550232243164e+02,3.339168272149364043e+02,1.500000000000000000e+01
9.944678355348434806e+00,2.426386882232794306e+00,3.339168272149363474e+02,1.376189550232242880e+02,1.500000000000000000e+01
9.944678355348434806e+00,2.426386882232798303e+00,1.376189550232240890e+02,3.339168272149364043e+02,1.500000000000000000e+01
9.944678355348434806e+00,2.426386882232796971e+00,3.339168272149366885e+02,1.376189550232242880e+02,1.500000000000000000e+01
1.498671248705560721e+01,2.418572594352879968e+00,2.446587397883428139e+02,5.917249230209984034e+02,1.600000000000000000e+01
1.498671248705560721e+01,2.418572594352875083e+00,5.917249230209979487e+02,2.446587397883430981e+02,1.600000000000000000e+01
1.498671248705560721e+01,2.418572594352877747e+00,2.446587397883429844e+02,5.917249230209982898e+02,1.600000000000000000e+01
1.498671248705560721e+01,2.418572594352882632e+00,5.917249230209993129e+02,2.446587397883428991e+02,1.600000000000000000e+01
1.320482087152941375e+01,3.235942304893379529e+00,1.755626644491278512e+02,5.681106530507337311e+02,2.800000000000000000e+01
1.320482087152941375e+01,3.235942304893383969e+00,5.681106530507342995e+02,1.755626644491277659e+02,2.800000000000000000e+01
1.320482087152941375e+01,3.235942304893376420e+00,1.755626644491280217e+02,5.681106530507337311e+02,2.800000000000000000e+01
1.320482087152941375e+01,3.235942304893384858e+00,5.681106530507345269e+02,1.755626644491277943e+02,2.800000000000000000e+01
1.167561009264939642e+01,1.908937790067738671e+00,1.994664077429706595e+02,3.807689635896168738e+02,1.700000000000000000e+01
1.167561009264939642e+01,1.908937790067738227e+00,3.807689635896164191e+02,1.994664077429704605e+02,1.700000000000000000e+01
1.167561009264939642e+01,1.908937790067742002e+00,1.994664077429702616e+02,3.807689635896168170e+02,1.700000000000000000e+01
1.167561009264939642e+01,1.908937790067743334e+00,3.807689635896174423e+02,1.994664077429704605e+02,1.700000000000000000e+01
1.317923615013664573e+01,1.634512645772148831e+00,2.455602795695824057e+02,4.013713822558266315e+02,2.200000000000000000e+01
1.317923615013664573e+01,1.634512645772147499e+00,4.013713822558265747e+02,2.455602795695825478e+02,2.200000000000000000e+01
1.317923615013664573e+01,1.634512645772146389e+00,2.455602795695828604e+02,4.013713822558268021e+02,2.200000000000000000e+01
1.317923615013664573e+01,1.634512645772147943e+00,4.013713822558266884e+02,2.455602795695825478e+02,2.200000000000000000e+01
1.254267642066098887e+01,2.041195550234494505e+00,2.055446629508742262e+02,4.195568513897733851e+02,2.000000000000000000e+01
1.254267642066098887e+01,2.041195550234492728e+00,4.195568513897727030e+02,2.055446629508740557e+02,2.000000000000000000e+01
1.254267642066098887e+01,2.041195550234495393e+00,2.055446629508741125e+02,4.195568513897733851e+02,2.000000000000000000e+01
1.254267642066098887e+01,2.041195550234491840e+00,4.195568513897724188e+02,2.055446629508739989e+02,2.000000000000000000e+01
1.313035759593808116e+01,2.001191327382099594e+00,2.144732705504179648e+02,4.292020489807710533e+02,2.900000000000000000e+01
1.313035759593808116e+01,2.001191327382097818e+00,4.292020489807709964e+02,2.144732705504181070e+02,2.900000000000000000e+01
1.313035759593808116e+01,2.001191327382099594e+00,2.144732705504180501e+02,4.292020489807712806e+02,2.900000000000000000e+01
1.313035759593808116e+01,2.001191327382097374e+00,4.292020489807709964e+02,2.144732705504181638e+02,2.900000000000000000e+01
1.365041222568909696e+01,1.909531364336038983e+00,2.251943362128980084e+02,4.300156480693638628e+02,3.400000000000000000e+01
1.365041222568909696e+01,1.909531364336034098e+00,4.300156480693635785e+02,2.251943362128984631e+02,3.400000000000000000e+01
1.365041222568909696e+01,1.909531364336032544e+00,2.251943362128987758e+02,4.300156480693638059e+02,3.400000000000000000e+01
1.365041222568909696e+01,1.909531364336035875e+00,4.300156480693639196e+02,2.251943362128984347e+02,3.400000000000000000e+01
1.259249569566793880e+01,2.354662718614916272e+00,1.894268352192704015e+02,4.460363067960270200e+02,2.100000000000000000e+01
1.259249569566793880e+01,2.354662718614910499e+00,4.460363067960261105e+02,1.894268352192704867e+02,2.100000000000000000e+01
1.259249569566793880e+01,2.354662718614914052e+00,1.894268352192704867e+02,4.460363067960268495e+02,2.100000000000000000e+01
1.259249569566793880e+01,2.354662718614916272e+00,4.460363067960271337e+02,1.894268352192704583e+02,2.100000000000000000e+01
1.199397080733464627e+01,2.886672022326177700e+00,1.469487166294032932e+02,4.241927490108359962e+02,1.600000000000000000e+01
1.199397080733464627e+01,2.886672022326173703e+00,4.241927490108352004e+02,1.469487166294032079e+02,1.600000000000000000e+01
1.199397080733464627e+01,2.886672022326180365e+00,1.469487166294031226e+02,4.241927490108359393e+02,1.600000000000000000e+01
1.199397080733464627e+01,2.886672022326171927e+00,4.241927490108349161e+02,1.469487166294032079e+02,1.600000000000000000e+01
1.292338137906190099e+01,2.111180172773688746e+00,2.159546007394130527e+02,4.559190713003070528e+02,1.900000000000000000e+01
1.292338137906190099e+01,2.111180172773688302e+00,4.559190713003065412e+02,2.159546007394128821e+02,1.900000000000000000e+01
1.292338137906190099e+01,2.111180172773693631e+00,2.159546007394125127e+02,4.559190713003069391e+02,1.900000000000000000e+01
1.292338137906190099e+01,2.111180172773688302e+00,4.559190713003065980e+02,2.159546007394128821e+02,1.900000000000000000e+01
1.315962791704701473e+01,1.757570538502004842e+00,2.531867137823772396e+02,4.449935088840456956e+02,1.800000000000000000e+01
1.315962791704701473e+01,1.757570538502005064e+00,4.449935088840454682e+02,2.531867137823770690e+02,1.800000000000000000e+01
1.315962791704701473e+01,1.757570538502002844e+00,2.531867137823774101e+02,4.449935088840455251e+02,1.800000000000000000e+01
1.315962791704701473e+01,1.757570538502004620e+00,4.449935088840453545e+02,2.531867137823770690e+02,1.800000000000000000e+01
1.360063861684428765e+01,3.175501686972386217e+00,1.792436008579510371e+02,5.691883569034285983e+02,2.400000000000000000e+01
1.360063861684428765e+01,3.175501686972383997e+00,5.691883569034283710e+02,1.792436008579510940e+02,2.400000000000000000e+01
1.360063861684428765e+01,3.175501686972384441e+00,1.792436008579511508e+02,5.691883569034285983e+02,2.400000000000000000e+01
1.360063861684428765e+01,3.175501686972388882e+00,5.691883569034291668e+02,1.792436008579510656e+02,2.400000000000000000e+01
1.362944409296688875e+01,2.643694942505021128e+00,2.017402941585770577e+02,5.333397953665054274e+02,2.100000000000000000e+01
1.362944409296688875e+01,2.643694942505019796e+00,5.333397953665052000e+02,2.017402941585770577e+02,2.100000000000000000e+01
1.362944409296688875e+01,2.643694942505025125e+00,2.017402941585767735e+02,5.333397953665054274e+02,2.100000000000000000e+01
1.362944409296688875e+01,2.643694942505019796e+00,5.333397953665052000e+02,2.017402941585770861e+02,2.100000000000000000e+01
1.309143514631342953e+01,1.718229971015110102e+00,2.741817072539818128e+02,4.711072269078825911e+02,2.400000000000000000e+01
1.309143514631342953e+01,1.718229971015111213e+00,4.711072269078827617e+02,2.741817072539817559e+02,2.400000000000000000e+01
1.309143514631342953e+01,1.718229971015108548e+00,2.741817072539819264e+02,4.711072269078823069e+02,2.400000000000000000e+01
1.309143514631342953e+01,1.718229971015110324e+00,4.711072269078824206e+02,2.741817072539816991e+02,2.400000000000000000e+01
1.204485958090168118e+01,2.183043238515808060e+00,1.801301738699757209e+02,3.932319581195274054e+02,1.900000000000000000e+01
