white,black
9.950000000000000000e+02,4.781000000000000000e+03
9.950000000000000000e+02,5.089000000000000000e+03
9.950000000000000000e+02,4.781000000000000000e+03
9.950000000000000000e+02,4.481000000000000000e+03
7.030000000000000000e+02,2.433000000000000000e+03
7.030000000000000000e+02,2.213000000000000000e+03
7.030000000000000000e+02,2.213000000000000000e+03
7.030000000000000000e+02,2.213000000000000000e+03
8.720000000000000000e+02,3.484000000000000000e+03
8.720000000000000000e+02,3.484000000000000000e+03
8.720000000000000000e+02,3.484000000000000000e+03
8.720000000000000000e+02,3.224000000000000000e+03
7.350000000000000000e+02,3.109000000000000000e+03
7.350000000000000000e+02,3.361000000000000000e+03
7.350000000000000000e+02,3.109000000000000000e+03
7.350000000000000000e+02,2.865000000000000000e+03
7.230000000000000000e+02,1.981000000000000000e+03
7.230000000000000000e+02,1.981000000000000000e+03
7.230000000000000000e+02,1.777000000000000000e+03
7.230000000000000000e+02,1.777000000000000000e+03
8.400000000000000000e+02,3.004000000000000000e+03
8.400000000000000000e+02,2.760000000000000000e+03
8.400000000000000000e+02,2.524000000000000000e+03
8.400000000000000000e+02,2.760000000000000000e+03
9.750000000000000000e+02,4.209000000000000000e+03
9.750000000000000000e+02,3.925000000000000000e+03
9.750000000000000000e+02,3.925000000000000000e+03
9.750000000000000000e+02,3.925000000000000000e+03
7.350000000000000000e+02,2.401000000000000000e+03
7.350000000000000000e+02,2.181000000000000000e+03
7.350000000000000000e+02,2.181000000000000000e+03
7.350000000000000000e+02,2.181000000000000000e+03
7.620000000000000000e+02,4.422000000000000000e+03
7.620000000000000000e+02,4.138000000000000000e+03
7.620000000000000000e+02,3.862000000000000000e+03
7.620000000000000000e+02,4.138000000000000000e+03
1.044000000000000000e+03,6.012000000000000000e+03
1.044000000000000000e+03,5.680000000000000000e+03
1.044000000000000000e+03,5.356000000000000000e+03
1.044000000000000000e+03,5.680000000000000000e+03
1.232000000000000000e+03,6.868000000000000000e+03
1.232000000000000000e+03,6.512000000000000000e+03
1.232000000000000000e+03,6.512000000000000000e+03
1.232000000000000000e+03,6.868000000000000000e+03
7.290000000000000000e+02,1.771000000000000000e+03
7.290000000000000000e+02,1.771000000000000000e+03
7.290000000000000000e+02,1.575000000000000000e+03
7.290000000000000000e+02,1.771000000000000000e+03
8.090000000000000000e+02,3.547000000000000000e+03
8.090000000000000000e+02,3.287000000000000000e+03
8.090000000000000000e+02,3.287000000000000000e+03
8.090000000000000000e+02,3.287000000000000000e+03
7.430000000000000000e+02,2.857000000000000000e+03
7.430000000000000000e+02,3.101000000000000000e+03
7.430000000000000000e+02,3.101000000000000000e+03
7.430000000000000000e+02,2.857000000000000000e+03
7.250000000000000000e+02,2.411000000000000000e+03
7.250000000000000000e+02,2.639000000000000000e+03
7.250000000000000000e+02,2.411000000000000000e+03
7.250000000000000000e+02,2.191000000000000000e+03
7.950000000000000000e+02,2.569000000000000000e+03
7.950000000000000000e+02,2.569000000000000000e+03
7.950000000000000000e+02,2.341000000000000000e+03
7.950000000000000000e+02,2.569000000000000000e+03
6.930000000000000000e+02,2.907000000000000000e+03
6.930000000000000000e+02,3.151000000000000000e+03
6.930000000000000000e+02,2.907000000000000000e+03
6.930000000000000000e+02,2.907000000000000000e+03
1.061000000000000000e+03,5.995000000000000000e+03
1.061000000000000000e+03,6.335000000000000000e+03
1.061000000000000000e+03,6.335000000000000000e+03
1.061000000000000000e+03,5.995000000000000000e+03
7.420000000000000000e+02,1.758000000000000000e+03
7.420000000000000000e+02,1.562000000000000000e+03
7.420000000000000000e+02,1.562000000000000000e+03
7.420000000000000000e+02,1.562000000000000000e+03
8.710000000000000000e+02,3.753000000000000000e+03
8.710000000000000000e+02,4.029000000000000000e+03
8.710000000000000000e+02,3.753000000000000000e+03
8.710000000000000000e+02,3.753000000000000000e+03
8.240000000000000000e+02,3.272000000000000000e+03
8.240000000000000000e+02,3.272000000000000000e+03
8.240000000000000000e+02,3.272000000000000000e+03
8.240000000000000000e+02,3.020000000000000000e+03
5.390000000000000000e+02,1.225000000000000000e+03
5.390000000000000000e+02,1.225000000000000000e+03
5.390000000000000000e+02,1.061000000000000000e+03
5.390000000000000000e+02,1.061000000000000000e+03
5.810000000000000000e+02,1.535000000000000000e+03
5.810000000000000000e+02,1.535000000000000000e+03
5.810000000000000000e+02,1.723000000000000000e+03
5.810000000000000000e+02,1.535000000000000000e+03
6.770000000000000000e+02,3.167000000000000000e+03
6.770000000000000000e+02,3.419000000000000000e+03
6.770000000000000000e+02,3.167000000000000000e+03
6.770000000000000000e+02,2.923000000000000000e+03
8.870000000000000000e+02,2.957000000000000000e+03
8.870000000000000000e+02,2.713000000000000000e+03
8.870000000000000000e+02,2.477000000000000000e+03
8.870000000000000000e+02,2.713000000000000000e+03
5.080000000000000000e+02,1.428000000000000000e+03
5.080000000000000000e+02,1.608000000000000000e+03
5.080000000000000000e+02,1.428000000000000000e+03
5.080000000000000000e+02,1.256000000000000000e+03
5.280000000000000000e+02,1.236000000000000000e+03
5.280000000000000000e+02,1.072000000000000000e+03
5.280000000000000000e+02,1.072000000000000000e+03
5.280000000000000000e+02,1.072000000000000000e+03
5.940000000000000000e+02,2.110000000000000000e+03
5.940000000000000000e+02,1.906000000000000000e+03
5.940000000000000000e+02,1.710000000000000000e+03
5.940000000000000000e+02,1.906000000000000000e+03
6.090000000000000000e+02,1.891000000000000000e+03
6.090000000000000000e+02,1.891000000000000000e+03
6.090000000000000000e+02,1.891000000000000000e+03
6.090000000000000000e+02,1.891000000000000000e+03
6.460000000000000000e+02,1.470000000000000000e+03
6.460000000000000000e+02,1.658000000000000000e+03
6.460000000000000000e+02,1.658000000000000000e+03
6.460000000000000000e+02,1.658000000000000000e+03
6.750000000000000000e+02,2.241000000000000000e+03
6.750000000000000000e+02,2.461000000000000000e+03
6.750000000000000000e+02,2.241000000000000000e+03
