Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
9.685578004121051521e+00,2.374261479759259608e+00,1.526786517244677839e+02,3.624990415709835361e+02,4.100000000000000000e+01
9.685578004121051521e+00,2.374261479759261384e+00,3.624990415709835361e+02,1.526786517244676702e+02,4.100000000000000000e+01
9.685578004121051521e+00,2.374261479759258719e+00,1.526786517244678976e+02,3.624990415709836498e+02,4.100000000000000000e+01
9.685578004121051521e+00,2.374261479759262272e+00,3.624990415709839340e+02,1.526786517244677839e+02,4.100000000000000000e+01
6.684168018942623135e+00,2.398026129818818131e+00,7.478985418602671587e+01,1.793480245834313962e+02,3.300000000000000000e+01
6.684168018942623135e+00,2.398026129818814578e+00,1.793480245834313678e+02,7.478985418602681534e+01,3.300000000000000000e+01
6.684168018942623135e+00,2.398026129818815022e+00,7.478985418602684376e+01,1.793480245834314530e+02,3.300000000000000000e+01
6.684168018942623135e+00,2.398026129818816354e+00,1.793480245834314530e+02,7.478985418602680113e+01,3.300000000000000000e+01
9.055131438241581066e+00,2.852127962571283870e+00,1.031097536806932453e+02,2.940822116865425642e+02,3.600000000000000000e+01
9.055131438241581066e+00,2.852127962571279873e+00,2.940822116865422799e+02,1.031097536806932879e+02,3.600000000000000000e+01
9.055131438241581066e+00,2.852127962571283426e+00,1.031097536806932453e+02,2.940822116865425073e+02,3.600000000000000000e+01
9.055131438241581066e+00,2.852127962571280317e+00,2.940822116865423368e+02,1.031097536806932879e+02,3.600000000000000000e+01
7.040170186769043603e+00,2.906013449841358121e+00,9.040546600936482946e+01,2.627195001623899202e+02,4.500000000000000000e+01
7.040170186769043603e+00,2.906013449841351015e+00,2.627195001623892381e+02,9.040546600936481525e+01,4.500000000000000000e+01
7.040170186769043603e+00,2.906013449841363894e+00,9.040546600936465893e+01,2.627195001623899770e+02,4.500000000000000000e+01
7.040170186769043603e+00,2.906013449841353236e+00,2.627195001623894086e+02,9.040546600936480104e+01,4.500000000000000000e+01
7.440438556716545193e+00,1.317148502923046305e+00,1.021838569551873377e+02,1.345913142114277150e+02,3.000000000000000000e+01
7.440438556716545193e+00,1.317148502923049191e+00,1.345913142114279140e+02,1.021838569551872666e+02,3.000000000000000000e+01
7.440438556716545193e+00,1.317148502923047193e+00,1.021838569551872666e+02,1.345913142114277150e+02,3.000000000000000000e+01
7.440438556716545193e+00,1.317148502923046083e+00,1.345913142114275161e+02,1.021838569551872098e+02,3.000000000000000000e+01
8.812731298287834747e+00,1.786738313283703583e+00,1.194808672383938415e+02,2.134810431992019346e+02,3.400000000000000000e+01
8.812731298287834747e+00,1.786738313283696922e+00,2.134810431992012241e+02,1.194808672383938983e+02,3.400000000000000000e+01
8.812731298287834747e+00,1.786738313283702251e+00,1.194808672383938983e+02,2.134810431992018493e+02,3.400000000000000000e+01
8.812731298287834747e+00,1.786738313283700474e+00,2.134810431992017925e+02,1.194808672383939694e+02,3.400000000000000000e+01
1.028589830931082538e+01,1.776415103320997391e+00,1.515149273033372879e+02,2.691534052402313364e+02,3.900000000000000000e+01
1.028589830931082538e+01,1.776415103320996502e+00,2.691534052402313364e+02,1.515149273033373731e+02,3.900000000000000000e+01
1.028589830931082538e+01,1.776415103320996725e+00,1.515149273033373447e+02,2.691534052402313364e+02,3.900000000000000000e+01
1.028589830931082538e+01,1.776415103320996502e+00,2.691534052402313364e+02,1.515149273033373731e+02,3.900000000000000000e+01
7.262770569760157002e+00,1.880508081278229326e+00,9.650605151718778529e+01,1.814804097703247407e+02,3.600000000000000000e+01
7.262770569760157002e+00,1.880508081278231769e+00,1.814804097703247407e+02,9.650605151718765740e+01,3.600000000000000000e+01
7.262770569760157002e+00,1.880508081278236654e+00,9.650605151718745844e+01,1.814804097703248544e+02,3.600000000000000000e+01
7.262770569760157002e+00,1.880508081278234433e+00,1.814804097703250818e+02,9.650605151718770003e+01,3.600000000000000000e+01
7.556831257921679423e+00,2.958625954116642198e+00,7.017008730170715580e+01,2.076070414934614234e+02,2.800000000000000000e+01
7.556831257921679423e+00,2.958625954116638646e+00,2.076070414934609971e+02,7.017008730170709896e+01,2.800000000000000000e+01
7.556831257921679423e+00,2.958625954116642198e+00,7.017008730170718422e+01,2.076070414934615087e+02,2.800000000000000000e+01
7.556831257921679423e+00,2.958625954116642642e+00,2.076070414934611961e+02,7.017008730170707054e+01,2.800000000000000000e+01
1.077619216214549702e+01,2.450311288536665799e+00,1.646150923511804649e+02,4.033582190516032711e+02,5.000000000000000000e+01
1.077619216214549702e+01,2.450311288536662691e+00,4.033582190516029868e+02,1.646150923511805786e+02,5.000000000000000000e+01
1.077619216214549702e+01,2.450311288536662691e+00,1.646150923511806639e+02,4.033582190516032142e+02,5.000000000000000000e+01
1.077619216214549702e+01,2.450311288536663579e+00,4.033582190516031005e+02,1.646150923511805502e+02,5.000000000000000000e+01
1.261897171355724012e+01,1.809845065362542194e+00,2.243793358365543043e+02,4.060918337331124803e+02,5.300000000000000000e+01
1.261897171355724012e+01,1.809845065362542416e+00,4.060918337331122530e+02,2.243793358365541906e+02,5.300000000000000000e+01
1.261897171355724012e+01,1.809845065362541305e+00,2.243793358365543895e+02,4.060918337331123666e+02,5.300000000000000000e+01
1.261897171355724012e+01,1.809845065362547079e+00,4.060918337331130488e+02,2.243793358365540485e+02,5.300000000000000000e+01
7.493163178052170359e+00,1.495314510894912852e+00,9.097172282250119224e+01,1.360313372175959614e+02,3.100000000000000000e+01
7.493163178052170359e+00,1.495314510894913296e+00,1.360313372175959046e+02,9.097172282250113540e+01,3.100000000000000000e+01
7.493163178052170359e+00,1.495314510894912630e+00,9.097172282250119224e+01,1.360313372175959330e+02,3.100000000000000000e+01
7.493163178052170359e+00,1.495314510894912852e+00,1.360313372175958762e+02,9.097172282250113540e+01,3.100000000000000000e+01
8.272515892477379396e+00,3.852922726532375108e+00,8.267108536907329608e+01,3.185253036456006157e+02,3.900000000000000000e+01
8.272515892477379396e+00,3.852922726532372888e+00,3.185253036456005020e+02,8.267108536907331029e+01,3.900000000000000000e+01
8.272515892477379396e+00,3.852922726532369335e+00,8.267108536907340977e+01,3.185253036456005589e+02,3.900000000000000000e+01
8.272515892477379396e+00,3.852922726532373776e+00,3.185253036456006726e+02,8.267108536907333871e+01,3.900000000000000000e+01
6.909852159163338392e+00,3.048787576135269628e+00,8.074273276881490347e+01,2.461674405287729996e+02,3.900000000000000000e+01
6.909852159163338392e+00,3.048787576135272293e+00,2.461674405287731418e+02,8.074273276881487504e+01,3.900000000000000000e+01
6.909852159163338392e+00,3.048787576135270960e+00,8.074273276881487504e+01,2.461674405287729996e+02,3.900000000000000000e+01
6.909852159163338392e+00,3.048787576135261634e+00,2.461674405287723175e+02,8.074273276881488925e+01,3.900000000000000000e+01
7.534504768000044095e+00,1.951200903377475537e+00,8.775121760266530657e+01,1.712202550587939811e+02,3.800000000000000000e+01
7.534504768000044095e+00,1.951200903377479090e+00,1.712202550587942937e+02,8.775121760266530657e+01,3.800000000000000000e+01
7.534504768000044095e+00,1.951200903377476203e+00,8.775121760266532078e+01,1.712202550587940664e+02,3.800000000000000000e+01
7.534504768000044095e+00,1.951200903377472873e+00,1.712202550587937537e+02,8.775121760266530657e+01,3.800000000000000000e+01
8.187570896317403424e+00,2.237830498504246535e+00,9.591637036011158557e+01,2.146445788976864719e+02,3.400000000000000000e+01
8.187570896317403424e+00,2.237830498504248311e+00,2.146445788976864151e+02,9.591637036011150030e+01,3.400000000000000000e+01
8.187570896317403424e+00,2.237830498504249643e+00,9.591637036011148609e+01,2.146445788976865288e+02,3.400000000000000000e+01
8.187570896317403424e+00,2.237830498504246091e+00,2.146445788976862445e+02,9.591637036011151451e+01,3.400000000000000000e+01
7.005688256200175879e+00,2.443307291808045179e+00,7.306652680944270628e+01,1.785239777405993777e+02,3.900000000000000000e+01
7.005688256200175879e+00,2.443307291808046955e+00,1.785239777405994630e+02,7.306652680944267786e+01,3.900000000000000000e+01
7.005688256200175879e+00,2.443307291808045179e+00,7.306652680944269207e+01,1.785239777405993493e+02,3.900000000000000000e+01
7.005688256200175879e+00,2.443307291808046511e+00,1.785239777405993777e+02,7.306652680944266365e+01,3.900000000000000000e+01
1.129115068464952465e+01,2.973244328885196630e+00,1.462676396382684061e+02,4.348894300539051869e+02,5.500000000000000000e+01
1.129115068464952465e+01,2.973244328885201071e+00,4.348894300539056985e+02,1.462676396382683777e+02,5.500000000000000000e+01
1.129115068464952465e+01,2.973244328885199739e+00,1.462676396382682924e+02,4.348894300539052438e+02,5.500000000000000000e+01
1.129115068464952465e+01,2.973244328885196186e+00,4.348894300539051301e+02,1.462676396382684345e+02,5.500000000000000000e+01
7.531439271312904360e+00,1.755439889977140178e+00,8.671236794052188657e+01,1.522183496371670230e+02,3.900000000000000000e+01
7.531439271312904360e+00,1.755439889977142398e+00,1.522183496371670799e+02,8.671236794052180130e+01,3.900000000000000000e+01
7.531439271312904360e+00,1.755439889977142176e+00,8.671236794052177288e+01,1.522183496371670230e+02,3.900000000000000000e+01
7.531439271312904360e+00,1.755439889977142842e+00,1.522183496371670515e+02,8.671236794052175867e+01,3.900000000000000000e+01
8.723463330285452955e+00,1.884242979500573290e+00,1.365169082037203339e+02,2.572310258659842361e+02,5.000000000000000000e+01
8.723463330285452955e+00,1.884242979500570625e+00,2.572310258659840088e+02,1.365169082037203907e+02,5.000000000000000000e+01
8.723463330285452955e+00,1.884242979500572401e+00,1.365169082037203623e+02,2.572310258659841793e+02,5.000000000000000000e+01
8.723463330285452955e+00,1.884242979500572401e+00,2.572310258659842930e+02,1.365169082037204191e+02,5.000000000000000000e+01
8.691714125164187621e+00,1.659489001314963019e+00,1.423875774073185312e+02,2.362906186313280159e+02,3.600000000000000000e+01
8.691714125164187621e+00,1.659489001314966128e+00,2.362906186313278454e+02,1.423875774073181617e+02,3.600000000000000000e+01
8.691714125164187621e+00,1.659489001314966350e+00,1.423875774073182754e+02,2.362906186313280728e+02,3.600000000000000000e+01
8.691714125164187621e+00,1.659489001314962575e+00,2.362906186313274475e+02,1.423875774073182185e+02,3.600000000000000000e+01
5.556544933401273312e+00,1.489309518888223050e+00,1.116730690977257012e+02,7.498311645861916475e+01,3.300000000000000000e+01
5.556544933401273312e+00,1.489309518888221939e+00,7.498311645861926422e+01,1.116730690977257723e+02,3.300000000000000000e+01
5.556544933401273312e+00,1.489309518888222383e+00,1.116730690977256728e+02,7.498311645861917896e+01,3.300000000000000000e+01
5.556544933401273312e+00,1.489309518888223272e+00,7.498311645861917896e+01,1.116730690977257439e+02,3.300000000000000000e+01
6.040217719752654091e+00,1.815760240585559071e+00,1.498411599559736658e+02,8.252254708895478075e+01,3.200000000000000000e+01
6.040217719752654091e+00,1.815760240585558627e+00,8.252254708895483759e+01,1.498411599559737226e+02,3.200000000000000000e+01
6.040217719752654091e+00,1.815760240585560403e+00,1.498411599559737226e+02,8.252254708895475233e+01,3.200000000000000000e+01
6.040217719752654091e+00,1.815760240585563290e+00,8.252254708895463864e+01,1.498411599559737510e+02,3.200000000000000000e+01
8.068708946528850845e+00,1.351361174472273552e+00,1.845336778349972064e+02,2.493716476087899707e+02,2.700000000000000000e+01
8.068708946528850845e+00,1.351361174472272442e+00,2.493716476087896012e+02,1.845336778349970643e+02,2.700000000000000000e+01
8.068708946528850845e+00,1.351361174472275550e+00,1.845336778349969222e+02,2.493716476087899423e+02,2.700000000000000000e+01
8.068708946528850845e+00,1.351361174472273996e+00,2.493716476087898855e+02,1.845336778349970643e+02,2.700000000000000000e+01
8.845569768370074470e+00,1.462413149987742411e+00,1.505146236762778074e+02,2.201145649296450699e+02,4.600000000000000000e+01
8.845569768370074470e+00,1.462413149987741967e+00,2.201145649296451268e+02,1.505146236762778926e+02,4.600000000000000000e+01
8.845569768370074470e+00,1.462413149987741967e+00,1.505146236762778358e+02,2.201145649296450415e+02,4.600000000000000000e+01
8.845569768370074470e+00,1.462413149987742189e+00,2.201145649296450415e+02,1.505146236762778074e+02,4.600000000000000000e+01
5.536586917952705633e+00,1.327483334044789132e+00,1.056630918895740479e+02,7.959654873227130167e+01,2.500000000000000000e+01
5.536586917952705633e+00,1.327483334044789354e+00,7.959654873227131588e+01,1.056630918895740905e+02,2.500000000000000000e+01
5.536586917952705633e+00,1.327483334044789354e+00,1.056630918895740763e+02,7.959654873227131588e+01,2.500000000000000000e+01
5.536586917952705633e+00,1.327483334044789132e+00,7.959654873227135852e+01,1.056630918895741047e+02,2.500000000000000000e+01
5.383687236918175856e+00,1.517223773774922790e+00,1.209415200754609998e+02,7.971238136781425965e+01,3.100000000000000000e+01
5.383687236918175856e+00,1.517223773774920348e+00,7.971238136781445860e+01,1.209415200754610993e+02,3.100000000000000000e+01
5.383687236918175856e+00,1.517223773774923679e+00,1.209415200754609856e+02,7.971238136781420280e+01,3.100000000000000000e+01
5.383687236918175856e+00,1.517223773774925899e+00,7.971238136781410333e+01,1.209415200754609998e+02,3.100000000000000000e+01
6.425277967702350601e+00,1.693160397852751853e+00,1.860926685595278798e+02,1.099084698623524616e+02,3.500000000000000000e+01
6.425277967702350601e+00,1.693160397852752297e+00,1.099084698623523906e+02,1.860926685595278229e+02,3.500000000000000000e+01
6.425277967702350601e+00,1.693160397852752963e+00,1.860926685595279650e+02,1.099084698623524332e+02,3.500000000000000000e+01
6.425277967702350601e+00,1.693160397852750743e+00,1.099084698623525185e+02,1.860926685595278514e+02,3.500000000000000000e+01
6.267019889680125466e+00,2.528403574471376647e+00,1.775142995396514891e+02,7.020805591795807743e+01,2.600000000000000000e+01
6.267019889680125466e+00,2.528403574471379756e+00,7.020805591795799216e+01,1.775142995396514891e+02,2.600000000000000000e+01
6.267019889680125466e+00,2.528403574471376203e+00,1.775142995396514891e+02,7.020805591795809164e+01,2.600000000000000000e+01
