white,black
1.236000000000000000e+03,7.600000000000000000e+03
1.236000000000000000e+03,7.600000000000000000e+03
1.236000000000000000e+03,7.600000000000000000e+03
1.236000000000000000e+03,7.980000000000000000e+03
1.202000000000000000e+03,5.522000000000000000e+03
1.202000000000000000e+03,5.854000000000000000e+03
1.202000000000000000e+03,5.854000000000000000e+03
1.202000000000000000e+03,5.854000000000000000e+03
1.213000000000000000e+03,9.191000000000000000e+03
1.213000000000000000e+03,9.603000000000000000e+03
1.213000000000000000e+03,9.191000000000000000e+03
1.213000000000000000e+03,8.787000000000000000e+03
1.192000000000000000e+03,1.135200000000000000e+04
1.191000000000000000e+03,1.135300000000000000e+04
1.191000000000000000e+03,1.090900000000000000e+04
1.192000000000000000e+03,1.090800000000000000e+04
1.064000000000000000e+03,8.936000000000000000e+03
1.064000000000000000e+03,8.540000000000000000e+03
1.064000000000000000e+03,8.540000000000000000e+03
1.064000000000000000e+03,8.936000000000000000e+03
1.256000000000000000e+03,9.148000000000000000e+03
1.256000000000000000e+03,9.560000000000000000e+03
1.256000000000000000e+03,9.560000000000000000e+03
1.256000000000000000e+03,9.148000000000000000e+03
1.374000000000000000e+03,9.862000000000000000e+03
1.374000000000000000e+03,9.442000000000000000e+03
1.374000000000000000e+03,9.030000000000000000e+03
1.374000000000000000e+03,9.442000000000000000e+03
1.140000000000000000e+03,8.464000000000000000e+03
1.140000000000000000e+03,8.860000000000000000e+03
1.140000000000000000e+03,8.860000000000000000e+03
1.140000000000000000e+03,8.464000000000000000e+03
1.124000000000000000e+03,8.092000000000000000e+03
1.124000000000000000e+03,8.092000000000000000e+03
1.124000000000000000e+03,7.712000000000000000e+03
1.124000000000000000e+03,7.712000000000000000e+03
8.770000000000000000e+02,9.123000000000000000e+03
8.770000000000000000e+02,9.527000000000000000e+03
8.770000000000000000e+02,9.123000000000000000e+03
8.770000000000000000e+02,9.123000000000000000e+03
1.466000000000000000e+03,1.293400000000000000e+04
1.466000000000000000e+03,1.341800000000000000e+04
1.466000000000000000e+03,1.293400000000000000e+04
1.466000000000000000e+03,1.293400000000000000e+04
9.460000000000000000e+02,6.798000000000000000e+03
9.460000000000000000e+02,7.154000000000000000e+03
9.460000000000000000e+02,7.154000000000000000e+03
9.460000000000000000e+02,6.798000000000000000e+03
1.129000000000000000e+03,8.087000000000000000e+03
1.129000000000000000e+03,8.475000000000000000e+03
1.129000000000000000e+03,8.475000000000000000e+03
1.129000000000000000e+03,8.087000000000000000e+03
9.710000000000000000e+02,5.113000000000000000e+03
9.710000000000000000e+02,5.429000000000000000e+03
9.710000000000000000e+02,5.113000000000000000e+03
9.710000000000000000e+02,4.805000000000000000e+03
1.416000000000000000e+03,6.328000000000000000e+03
1.416000000000000000e+03,6.684000000000000000e+03
1.416000000000000000e+03,6.684000000000000000e+03
1.416000000000000000e+03,6.684000000000000000e+03
9.680000000000000000e+02,9.436000000000000000e+03
9.680000000000000000e+02,9.848000000000000000e+03
9.680000000000000000e+02,9.436000000000000000e+03
9.680000000000000000e+02,9.032000000000000000e+03
1.218000000000000000e+03,6.882000000000000000e+03
1.218000000000000000e+03,7.246000000000000000e+03
1.218000000000000000e+03,7.246000000000000000e+03
1.218000000000000000e+03,6.882000000000000000e+03
1.060000000000000000e+03,1.017600000000000000e+04
1.060000000000000000e+03,9.756000000000000000e+03
1.060000000000000000e+03,9.344000000000000000e+03
1.060000000000000000e+03,9.756000000000000000e+03
1.198000000000000000e+03,7.266000000000000000e+03
1.198000000000000000e+03,7.638000000000000000e+03
1.198000000000000000e+03,7.266000000000000000e+03
1.198000000000000000e+03,6.902000000000000000e+03
1.058000000000000000e+03,5.026000000000000000e+03
1.058000000000000000e+03,5.026000000000000000e+03
1.058000000000000000e+03,5.026000000000000000e+03
1.058000000000000000e+03,4.718000000000000000e+03
1.199000000000000000e+03,4.577000000000000000e+03
1.199000000000000000e+03,4.885000000000000000e+03
1.199000000000000000e+03,4.885000000000000000e+03
1.199000000000000000e+03,4.577000000000000000e+03
1.633000000000000000e+03,9.183000000000000000e+03
1.633000000000000000e+03,8.771000000000000000e+03
1.633000000000000000e+03,8.771000000000000000e+03
1.633000000000000000e+03,9.183000000000000000e+03
1.387000000000000000e+03,6.357000000000000000e+03
1.387000000000000000e+03,6.713000000000000000e+03
1.387000000000000000e+03,6.713000000000000000e+03
1.387000000000000000e+03,6.357000000000000000e+03
1.248000000000000000e+03,5.808000000000000000e+03
1.248000000000000000e+03,5.476000000000000000e+03
1.248000000000000000e+03,5.476000000000000000e+03
1.248000000000000000e+03,5.808000000000000000e+03
1.131000000000000000e+03,4.053000000000000000e+03
1.131000000000000000e+03,4.345000000000000000e+03
1.131000000000000000e+03,4.345000000000000000e+03
1.131000000000000000e+03,4.053000000000000000e+03
1.420000000000000000e+03,9.816000000000000000e+03
1.420000000000000000e+03,9.396000000000000000e+03
1.420000000000000000e+03,9.396000000000000000e+03
1.420000000000000000e+03,9.816000000000000000e+03
1.151000000000000000e+03,6.245000000000000000e+03
1.151000000000000000e+03,5.905000000000000000e+03
1.151000000000000000e+03,5.905000000000000000e+03
1.151000000000000000e+03,6.245000000000000000e+03
1.142000000000000000e+03,4.634000000000000000e+03
1.142000000000000000e+03,4.634000000000000000e+03
1.142000000000000000e+03,4.634000000000000000e+03
1.142000000000000000e+03,4.942000000000000000e+03
1.328000000000000000e+03,5.072000000000000000e+03
1.328000000000000000e+03,4.756000000000000000e+03
1.328000000000000000e+03,5.072000000000000000e+03
1.328000000000000000e+03,5.072000000000000000e+03
1.300000000000000000e+03,6.800000000000000000e+03
1.300000000000000000e+03,6.800000000000000000e+03
1.300000000000000000e+03,6.800000000000000000e+03
1.300000000000000000e+03,6.800000000000000000e+03
1.203000000000000000e+03,5.197000000000000000e+03
1.203000000000000000e+03,4.881000000000000000e+03
1.203000000000000000e+03,4.881000000000000000e+03
1.203000000000000000e+03,5.197000000000000000e+03
1.223000000000000000e+03,6.173000000000000000e+03
1.223000000000000000e+03,5.833000000000000000e+03
1.223000000000000000e+03,5.833000000000000000e+03
1.223000000000000000e+03,6.173000000000000000e+03
1.439000000000000000e+03,7.397000000000000000e+03
1.439000000000000000e+03,7.397000000000000000e+03
1.439000000000000000e+03,7.397000000000000000e+03
1.439000000000000000e+03,7.025000000000000000e+03
1.021000000000000000e+03,3.879000000000000000e+03
1.021000000000000000e+03,3.603000000000000000e+03
1.021000000000000000e+03,3.879000000000000000e+03
1.021000000000000000e+03,3.879000000000000000e+03
1.174000000000000000e+03,4.010000000000000000e+03
1.174000000000000000e+03,3.726000000000000000e+03
1.174000000000000000e+03,4.010000000000000000e+03
1.174000000000000000e+03,4.302000000000000000e+03
1.372000000000000000e+03,7.092000000000000000e+03
1.372000000000000000e+03,7.464000000000000000e+03
1.372000000000000000e+03,7.464000000000000000e+03
1.372000000000000000e+03,7.092000000000000000e+03
1.404000000000000000e+03,8.200000000000000000e+03
1.404000000000000000e+03,8.596000000000000000e+03
1.404000000000000000e+03,8.596000000000000000e+03
1.404000000000000000e+03,8.200000000000000000e+03
1.230000000000000000e+03,7.986000000000000000e+03
1.230000000000000000e+03,7.606000000000000000e+03
1.230000000000000000e+03,7.606000000000000000e+03
1.230000000000000000e+03,7.986000000000000000e+03
1.071000000000000000e+03,4.113000000000000000e+03
1.071000000000000000e+03,3.829000000000000000e+03
1.071000000000000000e+03,3.829000000000000000e+03
1.071000000000000000e+03,4.113000000000000000e+03
2.044000000000000000e+03,7.956000000000000000e+03
2.044000000000000000e+03,8.360000000000000000e+03
2.044000000000000000e+03,8.360000000000000000e+03
2.044000000000000000e+03,7.956000000000000000e+03
7.700000000000000000e+02,6.286000000000000000e+03
7.700000000000000000e+02,6.286000000000000000e+03
7.700000000000000000e+02,5.954000000000000000e+03
7.700000000000000000e+02,5.954000000000000000e+03
5.320000000000000000e+02,4.944000000000000000e+03
5.320000000000000000e+02,5.244000000000000000e+03
5.320000000000000000e+02,4.944000000000000000e+03
5.320000000000000000e+02,4.652000000000000000e+03
7.140000000000000000e+02,4.762000000000000000e+03
7.140000000000000000e+02,5.062000000000000000e+03
7.140000000000000000e+02,4.762000000000000000e+03
7.140000000000000000e+02,4.470000000000000000e+03
8.030000000000000000e+02,5.597000000000000000e+03
8.030000000000000000e+02,5.597000000000000000e+03
8.030000000000000000e+02,5.281000000000000000e+03
8.030000000000000000e+02,5.281000000000000000e+03
7.150000000000000000e+02,5.685000000000000000e+03
7.150000000000000000e+02,5.685000000000000000e+03
7.150000000000000000e+02,5.369000000000000000e+03
7.150000000000000000e+02,5.369000000000000000e+03
7.120000000000000000e+02,5.064000000000000000e+03
7.120000000000000000e+02,5.064000000000000000e+03
7.120000000000000000e+02,4.764000000000000000e+03
7.120000000000000000e+02,4.764000000000000000e+03
8.640000000000000000e+02,4.912000000000000000e+03
8.640000000000000000e+02,4.912000000000000000e+03
8.640000000000000000e+02,4.612000000000000000e+03
8.640000000000000000e+02,4.912000000000000000e+03
7.470000000000000000e+02,5.337000000000000000e+03
7.470000000000000000e+02,5.029000000000000000e+03
7.470000000000000000e+02,4.729000000000000000e+03
7.470000000000000000e+02,5.029000000000000000e+03
7.270000000000000000e+02,4.173000000000000000e+03
7.270000000000000000e+02,4.173000000000000000e+03
7.270000000000000000e+02,3.897000000000000000e+03
7.270000000000000000e+02,3.897000000000000000e+03
7.770000000000000000e+02,5.623000000000000000e+03
7.770000000000000000e+02,5.307000000000000000e+03
7.770000000000000000e+02,4.999000000000000000e+03
7.770000000000000000e+02,5.307000000000000000e+03
6.170000000000000000e+02,3.479000000000000000e+03
6.170000000000000000e+02,3.227000000000000000e+03
6.170000000000000000e+02,3.227000000000000000e+03
6.170000000000000000e+02,3.479000000000000000e+03
9.360000000000000000e+02,1.160800000000000000e+04
9.360000000000000000e+02,1.160800000000000000e+04
9.360000000000000000e+02,1.116400000000000000e+04
9.360000000000000000e+02,1.160800000000000000e+04
8.410000000000000000e+02,5.883000000000000000e+03
8.410000000000000000e+02,5.883000000000000000e+03
8.410000000000000000e+02,5.559000000000000000e+03
8.410000000000000000e+02,5.559000000000000000e+03
7.680000000000000000e+02,6.288000000000000000e+03
7.680000000000000000e+02,6.288000000000000000e+03
7.680000000000000000e+02,5.956000000000000000e+03
7.680000000000000000e+02,5.956000000000000000e+03
7.070000000000000000e+02,3.389000000000000000e+03
7.070000000000000000e+02,3.137000000000000000e+03
7.070000000000000000e+02,3.389000000000000000e+03
7.070000000000000000e+02,3.137000000000000000e+03
7.890000000000000000e+02,4.987000000000000000e+03
7.890000000000000000e+02,4.687000000000000000e+03
7.890000000000000000e+02,4.395000000000000000e+03
7.890000000000000000e+02,4.687000000000000000e+03
6.710000000000000000e+02,3.685000000000000000e+03
6.710000000000000000e+02,3.425000000000000000e+03
6.710000000000000000e+02,3.173000000000000000e+03
6.710000000000000000e+02,3.425000000000000000e+03
7.950000000000000000e+02,4.981000000000000000e+03
7.950000000000000000e+02,4.681000000000000000e+03
7.950000000000000000e+02,4.981000000000000000e+03
7.950000000000000000e+02,4.681000000000000000e+03
7.160000000000000000e+02,5.368000000000000000e+03
7.160000000000000000e+02,5.060000000000000000e+03
7.160000000000000000e+02,4.760000000000000000e+03
7.160000000000000000e+02,5.060000000000000000e+03
1.114000000000000000e+03,8.886000000000000000e+03
1.114000000000000000e+03,8.490000000000000000e+03
1.114000000000000000e+03,8.102000000000000000e+03
