Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
1.440435932969524835e+01,1.655137904335423293e+00,2.296067978603247752e+02,3.800309142317051396e+02,3.300000000000000000e+01
1.440435932969524835e+01,1.655137904335423960e+00,3.800309142317053670e+02,2.296067978603248321e+02,3.300000000000000000e+01
1.440435932969524835e+01,1.655137904335423737e+00,2.296067978603246615e+02,3.800309142317050259e+02,3.300000000000000000e+01
1.440435932969524835e+01,1.655137904335423737e+00,3.800309142317049691e+02,2.296067978603246331e+02,3.300000000000000000e+01
1.364574885621010836e+01,1.805931841672954175e+00,2.174164052378956740e+02,3.926392091211862407e+02,4.500000000000000000e+01
1.364574885621010836e+01,1.805931841672949068e+00,3.926392091211861270e+02,2.174164052378962140e+02,4.500000000000000000e+01
1.364574885621010836e+01,1.805931841672949956e+00,2.174164052378961571e+02,3.926392091211861839e+02,4.500000000000000000e+01
1.364574885621010836e+01,1.805931841672951288e+00,3.926392091211865818e+02,2.174164052378962140e+02,4.500000000000000000e+01
1.364140241003971532e+01,2.051750604757913266e+00,2.752643403211519058e+02,5.647737767222114371e+02,4.700000000000000000e+01
1.364140241003971532e+01,2.051750604757915486e+00,5.647737767222117782e+02,2.752643403211517352e+02,4.700000000000000000e+01
1.364140241003971532e+01,2.051750604757916374e+00,2.752643403211515079e+02,5.647737767222115508e+02,4.700000000000000000e+01
1.364140241003971532e+01,2.051750604757915486e+00,5.647737767222117782e+02,2.752643403211517352e+02,4.700000000000000000e+01
1.531739483974310367e+01,1.512005780888188156e+00,3.148086877598923365e+02,4.759925557667818339e+02,4.200000000000000000e+01
1.531739483974310367e+01,1.512005780888190154e+00,4.759925557667818339e+02,3.148086877598919386e+02,4.200000000000000000e+01
1.531739483974310367e+01,1.512005780888190598e+00,3.148086877598917681e+02,4.759925557667817202e+02,4.200000000000000000e+01
1.531739483974310367e+01,1.512005780888193041e+00,4.759925557667826865e+02,3.148086877598918818e+02,4.200000000000000000e+01
1.257234301397913789e+01,2.899317374178201678e+00,1.893735544067512819e+02,5.490540365013749806e+02,3.800000000000000000e+01
1.257234301397913789e+01,2.899317374178203455e+00,5.490540365013754354e+02,1.893735544067513388e+02,3.800000000000000000e+01
1.257234301397913789e+01,2.899317374178202122e+00,1.893735544067512819e+02,5.490540365013750943e+02,3.800000000000000000e+01
1.257234301397913789e+01,2.899317374178191020e+00,5.490540365013730479e+02,1.893735544067513388e+02,3.800000000000000000e+01
1.358196098553603193e+01,2.620504909907333868e+00,2.312278356979702494e+02,6.059336787537773716e+02,6.000000000000000000e+01
1.358196098553603193e+01,2.620504909907336533e+00,6.059336787537770306e+02,2.312278356979699083e+02,6.000000000000000000e+01
1.358196098553603193e+01,2.620504909907340529e+00,2.312278356979697946e+02,6.059336787537775990e+02,6.000000000000000000e+01
1.358196098553603193e+01,2.620504909907340974e+00,6.059336787537780538e+02,2.312278356979699083e+02,6.000000000000000000e+01
1.566066106697543603e+01,1.322254532198045895e+00,3.281147921345835812e+02,4.338512709811729451e+02,4.500000000000000000e+01
1.566066106697543603e+01,1.322254532198046562e+00,4.338512709811728314e+02,3.281147921345833538e+02,4.500000000000000000e+01
