white,black
6.230000000000000000e+02,4.561000000000000000e+03
6.230000000000000000e+02,4.853000000000000000e+03
6.230000000000000000e+02,4.853000000000000000e+03
6.230000000000000000e+02,4.561000000000000000e+03
5.750000000000000000e+02,4.901000000000000000e+03
5.750000000000000000e+02,4.901000000000000000e+03
5.750000000000000000e+02,4.609000000000000000e+03
5.750000000000000000e+02,4.609000000000000000e+03
4.650000000000000000e+02,2.899000000000000000e+03
4.650000000000000000e+02,2.899000000000000000e+03
4.650000000000000000e+02,2.671000000000000000e+03
4.650000000000000000e+02,2.671000000000000000e+03
6.680000000000000000e+02,3.176000000000000000e+03
6.680000000000000000e+02,3.176000000000000000e+03
6.680000000000000000e+02,2.932000000000000000e+03
6.680000000000000000e+02,3.176000000000000000e+03
5.780000000000000000e+02,3.518000000000000000e+03
5.780000000000000000e+02,3.518000000000000000e+03
5.780000000000000000e+02,3.778000000000000000e+03
5.780000000000000000e+02,3.518000000000000000e+03
5.270000000000000000e+02,2.837000000000000000e+03
5.270000000000000000e+02,2.837000000000000000e+03
5.270000000000000000e+02,2.609000000000000000e+03
5.270000000000000000e+02,2.609000000000000000e+03
6.290000000000000000e+02,3.467000000000000000e+03
6.290000000000000000e+02,3.467000000000000000e+03
6.290000000000000000e+02,3.215000000000000000e+03
6.290000000000000000e+02,3.215000000000000000e+03
6.650000000000000000e+02,3.179000000000000000e+03
6.650000000000000000e+02,3.179000000000000000e+03
6.650000000000000000e+02,2.935000000000000000e+03
6.650000000000000000e+02,3.179000000000000000e+03
5.870000000000000000e+02,4.889000000000000000e+03
5.870000000000000000e+02,4.889000000000000000e+03
5.870000000000000000e+02,4.597000000000000000e+03
5.870000000000000000e+02,4.597000000000000000e+03
5.190000000000000000e+02,1.981000000000000000e+03
5.190000000000000000e+02,1.785000000000000000e+03
5.190000000000000000e+02,1.981000000000000000e+03
5.190000000000000000e+02,2.185000000000000000e+03
6.990000000000000000e+02,6.357000000000000000e+03
6.990000000000000000e+02,6.697000000000000000e+03
6.990000000000000000e+02,6.697000000000000000e+03
6.990000000000000000e+02,6.357000000000000000e+03
5.170000000000000000e+02,3.839000000000000000e+03
5.170000000000000000e+02,3.839000000000000000e+03
5.170000000000000000e+02,3.579000000000000000e+03
5.170000000000000000e+02,3.579000000000000000e+03
6.350000000000000000e+02,5.141000000000000000e+03
6.350000000000000000e+02,5.141000000000000000e+03
6.350000000000000000e+02,4.841000000000000000e+03
6.350000000000000000e+02,4.841000000000000000e+03
5.090000000000000000e+02,3.847000000000000000e+03
5.090000000000000000e+02,3.587000000000000000e+03
5.090000000000000000e+02,3.335000000000000000e+03
5.090000000000000000e+02,3.587000000000000000e+03
5.270000000000000000e+02,2.837000000000000000e+03
5.270000000000000000e+02,2.609000000000000000e+03
5.270000000000000000e+02,2.609000000000000000e+03
5.270000000000000000e+02,2.609000000000000000e+03
5.530000000000000000e+02,4.071000000000000000e+03
5.530000000000000000e+02,4.071000000000000000e+03
5.530000000000000000e+02,3.803000000000000000e+03
5.530000000000000000e+02,3.803000000000000000e+03
5.250000000000000000e+02,2.839000000000000000e+03
5.250000000000000000e+02,2.839000000000000000e+03
5.250000000000000000e+02,2.611000000000000000e+03
5.250000000000000000e+02,2.611000000000000000e+03
5.810000000000000000e+02,2.555000000000000000e+03
5.810000000000000000e+02,2.555000000000000000e+03
5.810000000000000000e+02,2.335000000000000000e+03
5.810000000000000000e+02,2.335000000000000000e+03
5.760000000000000000e+02,3.780000000000000000e+03
5.760000000000000000e+02,3.780000000000000000e+03
5.760000000000000000e+02,3.520000000000000000e+03
5.760000000000000000e+02,3.520000000000000000e+03
8.170000000000000000e+02,9.587000000000000000e+03
8.170000000000000000e+02,9.587000000000000000e+03
8.210000000000000000e+02,9.583000000000000000e+03
8.210000000000000000e+02,9.583000000000000000e+03
7.450000000000000000e+02,3.611000000000000000e+03
7.450000000000000000e+02,3.611000000000000000e+03
7.450000000000000000e+02,3.351000000000000000e+03
7.450000000000000000e+02,3.611000000000000000e+03
8.380000000000000000e+02,3.006000000000000000e+03
8.380000000000000000e+02,2.762000000000000000e+03
8.380000000000000000e+02,2.762000000000000000e+03
8.380000000000000000e+02,3.006000000000000000e+03
7.510000000000000000e+02,3.093000000000000000e+03
7.510000000000000000e+02,3.093000000000000000e+03
7.510000000000000000e+02,3.093000000000000000e+03
7.510000000000000000e+02,3.093000000000000000e+03
6.490000000000000000e+02,2.055000000000000000e+03
6.490000000000000000e+02,2.267000000000000000e+03
6.490000000000000000e+02,2.267000000000000000e+03
6.490000000000000000e+02,2.055000000000000000e+03
7.310000000000000000e+02,5.045000000000000000e+03
7.310000000000000000e+02,4.745000000000000000e+03
7.310000000000000000e+02,4.745000000000000000e+03
7.310000000000000000e+02,5.045000000000000000e+03
5.910000000000000000e+02,1.713000000000000000e+03
5.910000000000000000e+02,1.525000000000000000e+03
5.910000000000000000e+02,1.713000000000000000e+03
5.910000000000000000e+02,1.909000000000000000e+03
6.700000000000000000e+02,2.034000000000000000e+03
6.700000000000000000e+02,1.830000000000000000e+03
6.700000000000000000e+02,1.830000000000000000e+03
6.700000000000000000e+02,1.830000000000000000e+03
6.490000000000000000e+02,2.715000000000000000e+03
6.490000000000000000e+02,2.487000000000000000e+03
6.490000000000000000e+02,2.267000000000000000e+03
6.490000000000000000e+02,2.487000000000000000e+03
6.260000000000000000e+02,2.738000000000000000e+03
6.260000000000000000e+02,2.510000000000000000e+03
6.260000000000000000e+02,2.290000000000000000e+03
6.260000000000000000e+02,2.510000000000000000e+03
6.890000000000000000e+02,3.155000000000000000e+03
6.890000000000000000e+02,2.911000000000000000e+03
6.890000000000000000e+02,2.911000000000000000e+03
6.890000000000000000e+02,3.155000000000000000e+03
7.350000000000000000e+02,3.621000000000000000e+03
7.350000000000000000e+02,3.889000000000000000e+03
7.350000000000000000e+02,3.889000000000000000e+03
7.350000000000000000e+02,3.621000000000000000e+03
8.010000000000000000e+02,2.799000000000000000e+03
8.010000000000000000e+02,3.043000000000000000e+03
8.010000000000000000e+02,3.043000000000000000e+03
8.010000000000000000e+02,2.799000000000000000e+03
8.340000000000000000e+02,5.250000000000000000e+03
8.340000000000000000e+02,4.942000000000000000e+03
8.340000000000000000e+02,4.642000000000000000e+03
8.340000000000000000e+02,4.942000000000000000e+03
7.030000000000000000e+02,4.197000000000000000e+03
7.030000000000000000e+02,3.921000000000000000e+03
7.030000000000000000e+02,3.921000000000000000e+03
7.030000000000000000e+02,4.197000000000000000e+03
7.430000000000000000e+02,3.101000000000000000e+03
7.430000000000000000e+02,2.857000000000000000e+03
7.430000000000000000e+02,2.621000000000000000e+03
7.430000000000000000e+02,2.857000000000000000e+03
9.090000000000000000e+02,3.715000000000000000e+03
9.090000000000000000e+02,3.991000000000000000e+03
9.090000000000000000e+02,3.991000000000000000e+03
9.090000000000000000e+02,3.715000000000000000e+03
6.750000000000000000e+02,2.689000000000000000e+03
6.750000000000000000e+02,2.461000000000000000e+03
6.750000000000000000e+02,2.689000000000000000e+03
6.750000000000000000e+02,2.925000000000000000e+03
5.500000000000000000e+02,3.050000000000000000e+03
5.500000000000000000e+02,2.814000000000000000e+03
5.500000000000000000e+02,2.814000000000000000e+03
5.500000000000000000e+02,3.050000000000000000e+03
5.940000000000000000e+02,3.006000000000000000e+03
5.940000000000000000e+02,2.770000000000000000e+03
5.940000000000000000e+02,2.542000000000000000e+03
5.940000000000000000e+02,2.770000000000000000e+03
7.710000000000000000e+02,3.853000000000000000e+03
7.710000000000000000e+02,3.853000000000000000e+03
7.710000000000000000e+02,3.853000000000000000e+03
7.710000000000000000e+02,3.853000000000000000e+03
6.500000000000000000e+02,7.450000000000000000e+03
6.500000000000000000e+02,7.450000000000000000e+03
6.500000000000000000e+02,7.094000000000000000e+03
6.500000000000000000e+02,7.094000000000000000e+03
7.530000000000000000e+02,6.991000000000000000e+03
7.530000000000000000e+02,6.991000000000000000e+03
7.530000000000000000e+02,6.643000000000000000e+03
7.530000000000000000e+02,6.643000000000000000e+03
8.350000000000000000e+02,7.265000000000000000e+03
8.350000000000000000e+02,7.265000000000000000e+03
8.350000000000000000e+02,6.909000000000000000e+03
8.350000000000000000e+02,6.909000000000000000e+03
8.710000000000000000e+02,5.213000000000000000e+03
8.710000000000000000e+02,5.529000000000000000e+03
8.710000000000000000e+02,5.529000000000000000e+03
8.710000000000000000e+02,5.529000000000000000e+03
8.380000000000000000e+02,7.626000000000000000e+03
8.380000000000000000e+02,7.626000000000000000e+03
8.380000000000000000e+02,7.262000000000000000e+03
8.380000000000000000e+02,7.262000000000000000e+03
7.670000000000000000e+02,5.957000000000000000e+03
7.670000000000000000e+02,6.289000000000000000e+03
7.670000000000000000e+02,6.289000000000000000e+03
7.670000000000000000e+02,6.289000000000000000e+03
7.450000000000000000e+02,9.659000000000000000e+03
7.450000000000000000e+02,9.659000000000000000e+03
7.450000000000000000e+02,9.255000000000000000e+03
7.450000000000000000e+02,9.255000000000000000e+03
9.990000000000000000e+02,5.401000000000000000e+03
9.990000000000000000e+02,5.401000000000000000e+03
9.990000000000000000e+02,5.725000000000000000e+03
9.990000000000000000e+02,5.401000000000000000e+03
5.860000000000000000e+02,4.890000000000000000e+03
5.860000000000000000e+02,4.890000000000000000e+03
5.860000000000000000e+02,4.598000000000000000e+03
5.860000000000000000e+02,4.598000000000000000e+03
8.020000000000000000e+02,6.254000000000000000e+03
8.020000000000000000e+02,5.922000000000000000e+03
8.020000000000000000e+02,5.598000000000000000e+03
8.020000000000000000e+02,5.922000000000000000e+03
7.730000000000000000e+02,5.003000000000000000e+03
7.730000000000000000e+02,5.003000000000000000e+03
7.730000000000000000e+02,4.703000000000000000e+03
7.730000000000000000e+02,4.703000000000000000e+03
6.480000000000000000e+02,4.828000000000000000e+03
6.480000000000000000e+02,4.828000000000000000e+03
6.480000000000000000e+02,4.536000000000000000e+03
6.480000000000000000e+02,4.536000000000000000e+03
7.550000000000000000e+02,6.301000000000000000e+03
7.550000000000000000e+02,6.301000000000000000e+03
7.550000000000000000e+02,5.969000000000000000e+03
7.550000000000000000e+02,5.969000000000000000e+03
8.880000000000000000e+02,9.928000000000000000e+03
8.880000000000000000e+02,9.928000000000000000e+03
8.880000000000000000e+02,9.516000000000000000e+03
8.880000000000000000e+02,9.516000000000000000e+03
8.740000000000000000e+02,5.526000000000000000e+03
8.740000000000000000e+02,5.850000000000000000e+03
8.740000000000000000e+02,5.850000000000000000e+03
8.740000000000000000e+02,5.526000000000000000e+03
8.080000000000000000e+02,9.596000000000000000e+03
8.080000000000000000e+02,9.596000000000000000e+03
8.080000000000000000e+02,9.192000000000000000e+03
8.080000000000000000e+02,9.192000000000000000e+03
7.860000000000000000e+02,8.430000000000000000e+03
7.860000000000000000e+02,8.430000000000000000e+03
7.860000000000000000e+02,8.050000000000000000e+03
7.860000000000000000e+02,8.050000000000000000e+03
6.460000000000000000e+02,6.078000000000000000e+03
6.460000000000000000e+02,6.078000000000000000e+03
6.460000000000000000e+02,5.754000000000000000e+03
6.460000000000000000e+02,5.754000000000000000e+03
8.270000000000000000e+02,6.917000000000000000e+03
8.270000000000000000e+02,6.917000000000000000e+03
8.270000000000000000e+02,7.273000000000000000e+03
8.270000000000000000e+02,6.917000000000000000e+03
