Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
6.524075339776602256e+00,1.723150883906775066e+00,1.172262383517942794e+02,2.019984962329606333e+02,2.800000000000000000e+01
6.524075339776602256e+00,1.723150883906777064e+00,2.019984962329608322e+02,1.172262383517942794e+02,2.800000000000000000e+01
6.524075339776602256e+00,1.723150883906779063e+00,1.172262383517940236e+02,2.019984962329606333e+02,2.800000000000000000e+01
6.524075339776602256e+00,1.723150883906775510e+00,2.019984962329605480e+02,1.172262383517942084e+02,2.800000000000000000e+01
6.577112622173247658e+00,2.815608345549429181e+00,2.816687031510173256e+02,1.000383109377569895e+02,2.400000000000000000e+01
6.577112622173247658e+00,2.815608345549426073e+00,1.000383109377571031e+02,2.816687031510173256e+02,2.400000000000000000e+01
6.577112622173247658e+00,2.815608345549429181e+00,2.816687031510177803e+02,1.000383109377571458e+02,2.400000000000000000e+01
6.577112622173247658e+00,2.815608345549428737e+00,1.000383109377570463e+02,2.816687031510174393e+02,2.400000000000000000e+01
5.483315625384321379e+00,2.479987880165729131e+00,1.507910816739344000e+02,6.080315266051120915e+01,1.800000000000000000e+01
5.483315625384321379e+00,2.479987880165726910e+00,6.080315266051125889e+01,1.507910816739344000e+02,1.800000000000000000e+01
5.483315625384321379e+00,2.479987880165729131e+00,1.507910816739344568e+02,6.080315266051123047e+01,1.800000000000000000e+01
5.483315625384321379e+00,2.479987880165734904e+00,6.080315266051104572e+01,1.507910816739343431e+02,1.800000000000000000e+01
5.818328275113218595e+00,1.455768671099298084e+00,1.478134801038242756e+02,1.015363793975628965e+02,3.000000000000000000e+01
5.818328275113218595e+00,1.455768671099297418e+00,1.015363793975628823e+02,1.478134801038241903e+02,3.000000000000000000e+01
5.818328275113218595e+00,1.455768671099298750e+00,1.478134801038242472e+02,1.015363793975628255e+02,3.000000000000000000e+01
5.818328275113218595e+00,1.455768671099299194e+00,1.015363793975626692e+02,1.478134801038240767e+02,3.000000000000000000e+01
6.187767960486284302e+00,1.912351552645259911e+00,9.954659557885328525e+01,1.903680866157698404e+02,3.000000000000000000e+01
6.187767960486284302e+00,1.912351552645260133e+00,1.903680866157699825e+02,9.954659557885334209e+01,3.000000000000000000e+01
6.187767960486284302e+00,1.912351552645256803e+00,9.954659557885346999e+01,1.903680866157698688e+02,3.000000000000000000e+01
6.187767960486284302e+00,1.912351552645259245e+00,1.903680866157698119e+02,9.954659557885329946e+01,3.000000000000000000e+01
5.979786433948906854e+00,1.327262240459654574e+00,1.250205594070434785e+02,9.419431638750351965e+01,1.900000000000000000e+01
5.979786433948906854e+00,1.327262240459653686e+00,9.419431638750359070e+01,1.250205594070435069e+02,1.900000000000000000e+01
5.979786433948906854e+00,1.327262240459655240e+00,1.250205594070434358e+02,9.419431638750343438e+01,1.900000000000000000e+01
5.979786433948906854e+00,1.327262240459656573e+00,9.419431638750336333e+01,1.250205594070434501e+02,1.900000000000000000e+01
5.421009663390003119e+00,1.964836716788282311e+00,1.586101598435533333e+02,8.072434644992645758e+01,2.400000000000000000e+01
5.421009663390003119e+00,1.964836716788288307e+00,8.072434644992617336e+01,1.586101598435532480e+02,2.400000000000000000e+01
5.421009663390003119e+00,1.964836716788283422e+00,1.586101598435533901e+02,8.072434644992644337e+01,2.400000000000000000e+01
5.421009663390003119e+00,1.964836716788285642e+00,8.072434644992625863e+01,1.586101598435532196e+02,2.400000000000000000e+01
5.897588131835315828e+00,1.252144839882666894e+00,1.676718283623584682e+02,1.339076942393263892e+02,2.200000000000000000e+01
5.897588131835315828e+00,1.252144839882667560e+00,1.339076942393263607e+02,1.676718283623585251e+02,2.200000000000000000e+01
5.897588131835315828e+00,1.252144839882666671e+00,1.676718283623584682e+02,1.339076942393264176e+02,2.200000000000000000e+01
5.897588131835315828e+00,1.252144839882666894e+00,1.339076942393264176e+02,1.676718283623584966e+02,2.200000000000000000e+01
5.477017764783359333e+00,3.079098919296675341e+00,2.322407717966847827e+02,7.542491419851265277e+01,3.400000000000000000e+01
5.477017764783359333e+00,3.079098919296674008e+00,7.542491419851272383e+01,2.322407717966848679e+02,3.400000000000000000e+01
5.477017764783359333e+00,3.079098919296678005e+00,2.322407717966848395e+02,7.542491419851261014e+01,3.400000000000000000e+01
5.477017764783359333e+00,3.079098919296684223e+00,7.542491419851245382e+01,2.322407717966848395e+02,3.400000000000000000e+01
4.858058975841630378e+00,1.218627971222024708e+00,1.096364271097364167e+02,8.996710210072922109e+01,2.300000000000000000e+01
4.858058975841630378e+00,1.218627971222026263e+00,8.996710210072913583e+01,1.096364271097364451e+02,2.300000000000000000e+01
4.858058975841630378e+00,1.218627971222025375e+00,1.096364271097364735e+02,8.996710210072922109e+01,2.300000000000000000e+01
4.858058975841630378e+00,1.218627971222023376e+00,8.996710210072933478e+01,1.096364271097364309e+02,2.300000000000000000e+01
8.176784429636832385e+00,1.633844604226633024e+00,1.779827409226652719e+02,2.907961409019634402e+02,3.100000000000000000e+01
8.176784429636832385e+00,1.633844604226633912e+00,2.907961409019636676e+02,1.779827409226653288e+02,3.100000000000000000e+01
8.176784429636832385e+00,1.633844604226631025e+00,1.779827409226656130e+02,2.907961409019636108e+02,3.100000000000000000e+01
8.176784429636832385e+00,1.633844604226632358e+00,2.907961409019635539e+02,1.779827409226654424e+02,3.100000000000000000e+01
5.556570063459789210e+00,3.443763245720921518e+00,1.836758310565861620e+02,5.333578935335179949e+01,2.600000000000000000e+01
5.556570063459789210e+00,3.443763245720924182e+00,5.333578935335179949e+01,1.836758310565863042e+02,2.600000000000000000e+01
5.556570063459789210e+00,3.443763245720925514e+00,1.836758310565863326e+02,5.333578935335178528e+01,2.600000000000000000e+01
5.556570063459789210e+00,3.443763245720926847e+00,5.333578935335174265e+01,1.836758310565862473e+02,2.600000000000000000e+01
6.861959105464426223e+00,1.992981726644799778e+00,2.617620467104860040e+02,1.313419201043877251e+02,3.200000000000000000e+01
6.861959105464426223e+00,1.992981726644799334e+00,1.313419201043877820e+02,2.617620467104860609e+02,3.200000000000000000e+01
6.861959105464426223e+00,1.992981726644799556e+00,2.617620467104861177e+02,1.313419201043878104e+02,3.200000000000000000e+01
6.861959105464426223e+00,1.992981726644799778e+00,1.313419201043877251e+02,2.617620467104860040e+02,3.200000000000000000e+01
5.703469036282352356e+00,2.250183105092552260e+00,1.776592308857569265e+02,7.895323295410203457e+01,1.800000000000000000e+01
5.703469036282352356e+00,2.250183105092549596e+00,7.895323295410216247e+01,1.776592308857570117e+02,1.800000000000000000e+01
5.703469036282352356e+00,2.250183105092548708e+00,1.776592308857568128e+02,7.895323295410210562e+01,1.800000000000000000e+01
5.703469036282352356e+00,2.250183105092541158e+00,7.895323295410236142e+01,1.776592308857568128e+02,1.800000000000000000e+01
5.280350289355301818e+00,1.639531860718331124e+00,1.448655821491028064e+02,8.835789387199379519e+01,2.500000000000000000e+01
5.280350289355301818e+00,1.639531860718330902e+00,8.835789387199378098e+01,1.448655821491027780e+02,2.500000000000000000e+01
5.280350289355301818e+00,1.639531860718331346e+00,1.448655821491027211e+02,8.835789387199372413e+01,2.500000000000000000e+01
5.280350289355301818e+00,1.639531860718332457e+00,8.835789387199366729e+01,1.448655821491027211e+02,2.500000000000000000e+01
6.406634015727190601e+00,2.491610576223978413e+00,1.829513909505317315e+02,7.342696033494668484e+01,2.900000000000000000e+01
6.406634015727190601e+00,2.491610576223977080e+00,7.342696033494675589e+01,1.829513909505317883e+02,2.900000000000000000e+01
6.406634015727190601e+00,2.491610576223977969e+00,1.829513909505317315e+02,7.342696033494669905e+01,2.900000000000000000e+01
6.406634015727190601e+00,2.491610576223980633e+00,7.342696033494662800e+01,1.829513909505317315e+02,2.900000000000000000e+01
5.822948851255477898e+00,1.138791579440100676e+00,1.187606656181322080e+02,1.042865681150559567e+02,2.400000000000000000e+01
5.822948851255477898e+00,1.138791579440099122e+00,1.042865681150560278e+02,1.187606656181321370e+02,2.400000000000000000e+01
5.822948851255477898e+00,1.138791579440099344e+00,1.187606656181320801e+02,1.042865681150559567e+02,2.400000000000000000e+01
5.822948851255477898e+00,1.138791579440098234e+00,1.042865681150560562e+02,1.187606656181320801e+02,2.400000000000000000e+01
4.687674636247949778e+00,1.487485133923517333e+00,1.254193080797601283e+02,8.431634388771570343e+01,2.300000000000000000e+01
4.687674636247949778e+00,1.487485133923518887e+00,8.431634388771556132e+01,1.254193080797600572e+02,2.300000000000000000e+01
4.687674636247949778e+00,1.487485133923517333e+00,1.254193080797600999e+02,8.431634388771567501e+01,2.300000000000000000e+01
4.687674636247949778e+00,1.487485133923520442e+00,8.431634388771544764e+01,1.254193080797600146e+02,2.300000000000000000e+01
5.253356520025451282e+00,2.292899641154777068e+00,1.928180438152489273e+02,8.409353831035519988e+01,2.500000000000000000e+01
5.253356520025451282e+00,2.292899641154774404e+00,8.409353831035522830e+01,1.928180438152487852e+02,2.500000000000000000e+01
5.253356520025451282e+00,2.292899641154777957e+00,1.928180438152489273e+02,8.409353831035517146e+01,2.500000000000000000e+01
5.253356520025451282e+00,2.292899641154773960e+00,8.409353831035521409e+01,1.928180438152487284e+02,2.500000000000000000e+01
8.723474347302424547e+00,3.148455756329004984e+00,4.638501752288666466e+02,1.473262485256265961e+02,2.600000000000000000e+01
8.723474347302424547e+00,3.148455756329002320e+00,1.473262485256267382e+02,4.638501752288666466e+02,2.600000000000000000e+01
8.723474347302424547e+00,3.148455756329007649e+00,4.638501752288669309e+02,1.473262485256265677e+02,2.600000000000000000e+01
8.723474347302424547e+00,3.148455756329004984e+00,1.473262485256266814e+02,4.638501752288669309e+02,2.600000000000000000e+01
6.622661494389666004e+00,1.288515610944174883e+00,1.411967814067038489e+02,1.819342570576100968e+02,3.200000000000000000e+01
6.622661494389666004e+00,1.288515610944174217e+00,1.819342570576099831e+02,1.411967814067038205e+02,3.200000000000000000e+01
6.622661494389666004e+00,1.288515610944176215e+00,1.411967814067036500e+02,1.819342570576100684e+02,3.200000000000000000e+01
6.622661494389666004e+00,1.288515610944175549e+00,1.819342570576102673e+02,1.411967814067038773e+02,3.200000000000000000e+01
4.979859409714847196e+00,3.594912413196590162e+00,7.023039085069257226e+01,2.524721038528029453e+02,3.800000000000000000e+01
4.979859409714847196e+00,3.594912413196576395e+00,2.524721038528025474e+02,7.023039085069272858e+01,3.800000000000000000e+01
4.979859409714847196e+00,3.594912413196578616e+00,7.023039085069279963e+01,2.524721038528029453e+02,3.800000000000000000e+01
4.979859409714847196e+00,3.594912413196579948e+00,2.524721038528028600e+02,7.023039085069274279e+01,3.800000000000000000e+01
6.154379660266560137e+00,2.713928844260809381e+00,8.885655539985990004e+01,2.411503687013383797e+02,3.200000000000000000e+01
6.154379660266560137e+00,2.713928844260808937e+00,2.411503687013384933e+02,8.885655539985997109e+01,3.200000000000000000e+01
6.154379660266560137e+00,2.713928844260813378e+00,8.885655539985981477e+01,2.411503687013384933e+02,3.200000000000000000e+01
6.154379660266560137e+00,2.713928844260808493e+00,2.411503687013384933e+02,8.885655539985998530e+01,3.200000000000000000e+01
6.207410627139601011e+00,2.124613582877289186e+00,8.764914967474794594e+01,1.862205739266140370e+02,3.100000000000000000e+01
6.207410627139601011e+00,2.124613582877285189e+00,1.862205739266136391e+02,8.764914967474793173e+01,3.100000000000000000e+01
6.207410627139601011e+00,2.124613582877289630e+00,8.764914967474791752e+01,1.862205739266140085e+02,3.100000000000000000e+01
6.207410627139601011e+00,2.124613582877289630e+00,1.862205739266139517e+02,8.764914967474790330e+01,3.100000000000000000e+01
6.695393720878201727e+00,3.089451805091391279e+00,9.330929691987682872e+01,2.882745758009220367e+02,2.700000000000000000e+01
6.695393720878201727e+00,3.089451805091385506e+00,2.882745758009225483e+02,9.330929691987715557e+01,2.700000000000000000e+01
6.695393720878201727e+00,3.089451805091382397e+00,9.330929691987705610e+01,2.882745758009219230e+02,2.700000000000000000e+01
6.695393720878201727e+00,3.089451805091388614e+00,2.882745758009226051e+02,9.330929691987708452e+01,2.700000000000000000e+01
5.278773594733219277e+00,1.117831531181092908e+00,9.516302390628813157e+01,1.063762287249890051e+02,2.600000000000000000e+01
5.278773594733219277e+00,1.117831531181093130e+00,1.063762287249889198e+02,9.516302390628803209e+01,2.600000000000000000e+01
5.278773594733219277e+00,1.117831531181093574e+00,9.516302390628804631e+01,1.063762287249889766e+02,2.600000000000000000e+01
5.278773594733219277e+00,1.117831531181093352e+00,1.063762287249890619e+02,9.516302390628813157e+01,2.600000000000000000e+01
6.228540575135883550e+00,2.366808806286835321e+00,8.078090876787081243e+01,1.911929662516500628e+02,3.500000000000000000e+01
6.228540575135883550e+00,2.366808806286833988e+00,1.911929662516502901e+02,8.078090876787095453e+01,3.500000000000000000e+01
6.228540575135883550e+00,2.366808806286835765e+00,8.078090876787078400e+01,1.911929662516500343e+02,3.500000000000000000e+01
6.228540575135883550e+00,2.366808806286836653e+00,1.911929662516502901e+02,8.078090876787085506e+01,3.500000000000000000e+01
6.318255055918547747e+00,2.242500420876662126e+00,8.289677695929712797e+01,1.858960572205425876e+02,3.900000000000000000e+01
6.318255055918547747e+00,2.242500420876662126e+00,1.858960572205426161e+02,8.289677695929714218e+01,3.900000000000000000e+01
6.318255055918547747e+00,2.242500420876660794e+00,8.289677695929718482e+01,1.858960572205426161e+02,3.900000000000000000e+01
6.318255055918547747e+00,2.242500420876661238e+00,1.858960572205426161e+02,8.289677695929717061e+01,3.900000000000000000e+01
6.208695347884393811e+00,1.907068577894620143e+00,8.331792664244190405e+01,1.588929998751299593e+02,3.300000000000000000e+01
6.208695347884393811e+00,1.907068577894621031e+00,1.588929998751300445e+02,8.331792664244190405e+01,3.300000000000000000e+01
6.208695347884393811e+00,1.907068577894619699e+00,8.331792664244194668e+01,1.588929998751300161e+02,3.300000000000000000e+01
6.208695347884393811e+00,1.907068577894620809e+00,1.588929998751300161e+02,8.331792664244190405e+01,3.300000000000000000e+01
6.163038402268960603e+00,2.036413504904968974e+00,9.899078929854094611e+01,2.015861801887510580e+02,2.800000000000000000e+01
6.163038402268960603e+00,2.036413504904967642e+00,2.015861801887509444e+02,9.899078929854094611e+01,2.800000000000000000e+01
6.163038402268960603e+00,2.036413504904966754e+00,9.899078929854103137e+01,2.015861801887510296e+02,2.800000000000000000e+01
6.163038402268960603e+00,2.036413504904969418e+00,2.015861801887512001e+02,9.899078929854098874e+01,2.800000000000000000e+01
6.930169219298726979e+00,2.669678127349558228e+00,9.400325829523978882e+01,2.509584425703926058e+02,2.900000000000000000e+01
6.930169219298726979e+00,2.669678127349562669e+00,2.509584425703928616e+02,9.400325829523973198e+01,2.900000000000000000e+01
6.930169219298726979e+00,2.669678127349565333e+00,9.400325829523956145e+01,2.509584425703926627e+02,2.900000000000000000e+01
6.930169219298726979e+00,2.669678127349558228e+00,2.509584425703924921e+02,9.400325829523976040e+01,2.900000000000000000e+01
5.486474239856379498e+00,2.001925232920785280e+00,9.762093638142980012e+01,1.954298158033390109e+02,3.400000000000000000e+01
5.486474239856379498e+00,2.001925232920785724e+00,1.954298158033388972e+02,9.762093638142971486e+01,3.400000000000000000e+01
5.486474239856379498e+00,2.001925232920783060e+00,9.762093638142999907e+01,1.954298158033391815e+02,3.400000000000000000e+01
5.486474239856379498e+00,2.001925232920785724e+00,1.954298158033390109e+02,9.762093638142977170e+01,3.400000000000000000e+01
7.059304142512461411e+00,2.968104337033685702e+00,9.868418962413727513e+01,2.929049712200564954e+02,3.400000000000000000e+01
7.059304142512461411e+00,2.968104337033686591e+00,2.929049712200564386e+02,9.868418962413723250e+01,3.400000000000000000e+01
7.059304142512461411e+00,2.968104337033681261e+00,9.868418962413743145e+01,2.929049712200565523e+02,3.400000000000000000e+01
7.059304142512461411e+00,2.968104337033687923e+00,2.929049712200564954e+02,9.868418962413720408e+01,3.400000000000000000e+01
6.794648263933868115e+00,2.905636372050854455e+00,8.455445725138190483e+01,2.456845064086343768e+02,3.300000000000000000e+01
6.794648263933868115e+00,2.905636372050857563e+00,2.456845064086347179e+02,8.455445725138193325e+01,3.300000000000000000e+01
6.794648263933868115e+00,2.905636372050854455e+00,8.455445725138193325e+01,2.456845064086344621e+02,3.300000000000000000e+01
6.794648263933868115e+00,2.905636372050854010e+00,2.456845064086344621e+02,8.455445725138194746e+01,3.300000000000000000e+01
6.964367546803832631e+00,1.718701778223214793e+00,1.196930150327033857e+02,2.057165977776052728e+02,3.600000000000000000e+01
6.964367546803832631e+00,1.718701778223213905e+00,2.057165977776051022e+02,1.196930150327033431e+02,3.600000000000000000e+01
6.964367546803832631e+00,1.718701778223215015e+00,1.196930150327034426e+02,2.057165977776054149e+02,3.600000000000000000e+01
6.964367546803832631e+00,1.718701778223213905e+00,2.057165977776052159e+02,1.196930150327033999e+02,3.600000000000000000e+01
6.334769437333684472e+00,2.534008064725500997e+00,1.108033911241192868e+02,2.807766867074522565e+02,3.300000000000000000e+01
6.334769437333684472e+00,2.534008064725495668e+00,2.807766867074521997e+02,1.108033911241195000e+02,3.300000000000000000e+01
6.334769437333684472e+00,2.534008064725494336e+00,1.108033911241195995e+02,2.807766867074523134e+02,3.300000000000000000e+01
6.334769437333684472e+00,2.534008064725498333e+00,2.807766867074522565e+02,1.108033911241194005e+02,3.300000000000000000e+01
5.705999441220543922e+00,2.082405861224137400e+00,8.638639187665970098e+01,1.798915287739613689e+02,2.800000000000000000e+01
5.705999441220543922e+00,2.082405861224138288e+00,1.798915287739613404e+02,8.638639187665964414e+01,2.800000000000000000e+01
5.705999441220543922e+00,2.082405861224138732e+00,8.638639187665964414e+01,1.798915287739613689e+02,2.800000000000000000e+01
