white,black
1.246000000000000000e+03,4.838000000000000000e+03
1.246000000000000000e+03,4.530000000000000000e+03
1.246000000000000000e+03,4.530000000000000000e+03
1.246000000000000000e+03,4.838000000000000000e+03
1.601000000000000000e+03,1.049900000000000000e+04
1.601000000000000000e+03,1.006300000000000000e+04
1.601000000000000000e+03,9.635000000000000000e+03
1.601000000000000000e+03,1.006300000000000000e+04
1.276000000000000000e+03,7.940000000000000000e+03
1.276000000000000000e+03,7.560000000000000000e+03
1.276000000000000000e+03,7.560000000000000000e+03
1.276000000000000000e+03,7.560000000000000000e+03
1.297000000000000000e+03,6.447000000000000000e+03
1.297000000000000000e+03,6.099000000000000000e+03
1.297000000000000000e+03,6.447000000000000000e+03
1.297000000000000000e+03,6.447000000000000000e+03
1.292000000000000000e+03,5.764000000000000000e+03
1.292000000000000000e+03,5.764000000000000000e+03
1.292000000000000000e+03,5.432000000000000000e+03
1.292000000000000000e+03,5.432000000000000000e+03
1.341000000000000000e+03,6.403000000000000000e+03
1.341000000000000000e+03,6.055000000000000000e+03
1.341000000000000000e+03,5.715000000000000000e+03
1.341000000000000000e+03,6.055000000000000000e+03
1.466000000000000000e+03,6.998000000000000000e+03
1.466000000000000000e+03,6.998000000000000000e+03
1.466000000000000000e+03,6.634000000000000000e+03
1.466000000000000000e+03,6.634000000000000000e+03
1.396000000000000000e+03,8.208000000000000000e+03
1.396000000000000000e+03,7.820000000000000000e+03
1.396000000000000000e+03,7.440000000000000000e+03
1.396000000000000000e+03,7.820000000000000000e+03
1.404000000000000000e+03,8.200000000000000000e+03
1.404000000000000000e+03,7.812000000000000000e+03
1.404000000000000000e+03,7.812000000000000000e+03
1.404000000000000000e+03,7.812000000000000000e+03
1.469000000000000000e+03,7.367000000000000000e+03
1.469000000000000000e+03,6.995000000000000000e+03
1.469000000000000000e+03,6.631000000000000000e+03
1.469000000000000000e+03,6.995000000000000000e+03
1.486000000000000000e+03,8.118000000000000000e+03
1.486000000000000000e+03,8.118000000000000000e+03
1.486000000000000000e+03,7.730000000000000000e+03
1.486000000000000000e+03,7.730000000000000000e+03
9.320000000000000000e+02,3.968000000000000000e+03
9.320000000000000000e+02,3.968000000000000000e+03
9.320000000000000000e+02,3.692000000000000000e+03
9.320000000000000000e+02,3.692000000000000000e+03
1.368000000000000000e+03,9.868000000000000000e+03
1.368000000000000000e+03,9.448000000000000000e+03
1.368000000000000000e+03,9.448000000000000000e+03
1.368000000000000000e+03,9.448000000000000000e+03
1.765000000000000000e+03,8.639000000000000000e+03
1.765000000000000000e+03,8.235000000000000000e+03
1.765000000000000000e+03,8.235000000000000000e+03
1.765000000000000000e+03,8.235000000000000000e+03
1.597000000000000000e+03,9.639000000000000000e+03
1.597000000000000000e+03,9.639000000000000000e+03
