Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
1.153585938843242253e+01,1.418383253540959066e+00,3.807662937451568155e+02,2.684509231158666580e+02,6.400000000000000000e+01
1.153585938843242253e+01,1.418383253540961952e+00,2.684509231158660896e+02,3.807662937451567586e+02,6.400000000000000000e+01
1.153585938843242253e+01,1.418383253540956623e+00,3.807662937451560197e+02,2.684509231158665443e+02,6.400000000000000000e+01
1.153585938843242253e+01,1.418383253540954625e+00,2.684509231158675675e+02,3.807662937451568723e+02,6.400000000000000000e+01
1.481781230942644356e+01,1.863079744842230490e+00,6.873647897858877513e+02,3.689400798268542303e+02,8.500000000000000000e+01
1.481781230942644356e+01,1.863079744842230046e+00,3.689400798268543440e+02,6.873647897858877513e+02,8.500000000000000000e+01
1.481781230942644356e+01,1.863079744842231156e+00,6.873647897858882061e+02,3.689400798268543440e+02,8.500000000000000000e+01
1.481781230942644356e+01,1.863079744842227603e+00,3.689400798268547987e+02,6.873647897858877513e+02,8.500000000000000000e+01
1.234978746307702835e+01,2.534757954422569348e+00,5.409700549603121544e+02,2.134207938933355990e+02,7.000000000000000000e+01
1.234978746307702835e+01,2.534757954422567128e+00,2.134207938933358832e+02,5.409700549603123818e+02,7.000000000000000000e+01
1.234978746307702835e+01,2.534757954422569792e+00,5.409700549603119271e+02,2.134207938933354853e+02,7.000000000000000000e+01
1.234978746307702835e+01,2.534757954422568904e+00,2.134207938933356274e+02,5.409700549603121544e+02,7.000000000000000000e+01
1.259060397723390601e+01,1.421896071272216400e+00,4.591110399720455462e+02,3.228864958894387200e+02,5.600000000000000000e+01
1.259060397723390601e+01,1.421896071272218176e+00,3.228864958894384927e+02,4.591110399720458304e+02,5.600000000000000000e+01
1.259060397723390601e+01,1.421896071272218620e+00,4.591110399720462283e+02,3.228864958894386632e+02,5.600000000000000000e+01
1.259060397723390601e+01,1.421896071272216400e+00,3.228864958894390043e+02,4.591110399720460009e+02,5.600000000000000000e+01
1.112513993652228983e+01,1.517603811699048011e+00,3.926687316852554659e+02,2.587425839723210856e+02,6.100000000000000000e+01
1.112513993652228983e+01,1.517603811699046679e+00,2.587425839723215404e+02,3.926687316852558070e+02,6.100000000000000000e+01
1.112513993652228983e+01,1.517603811699046457e+00,3.926687316852555227e+02,2.587425839723213699e+02,6.100000000000000000e+01
1.112513993652228983e+01,1.517603811699048899e+00,2.587425839723210856e+02,3.926687316852556933e+02,6.100000000000000000e+01
1.310862301603269131e+01,1.141104797301873530e+00,3.786417090998099866e+02,3.318202762753281263e+02,6.400000000000000000e+01
1.310862301603269131e+01,1.141104797301871310e+00,3.318202762753282968e+02,3.786417090998094750e+02,6.400000000000000000e+01
1.310862301603269131e+01,1.141104797301871532e+00,3.786417090998093045e+02,3.318202762753281263e+02,6.400000000000000000e+01
1.310862301603269131e+01,1.141104797301873752e+00,3.318202762753276147e+02,3.786417090998094750e+02,6.400000000000000000e+01
1.406344536534493272e+01,1.867861285081116263e+00,6.099731766385660876e+02,3.265623531632203367e+02,6.700000000000000000e+01
1.406344536534493272e+01,1.867861285081118261e+00,3.265623531632203367e+02,6.099731766385666560e+02,6.700000000000000000e+01
1.406344536534493272e+01,1.867861285081116929e+00,6.099731766385660876e+02,3.265623531632202230e+02,6.700000000000000000e+01
1.406344536534493272e+01,1.867861285081114708e+00,3.265623531632207914e+02,6.099731766385664287e+02,6.700000000000000000e+01
1.286150932489573329e+01,1.593141930715279431e+00,4.592648871588156112e+02,2.882761907802009773e+02,5.600000000000000000e+01
1.286150932489573329e+01,1.593141930715280097e+00,2.882761907802008636e+02,4.592648871588156680e+02,5.600000000000000000e+01
1.286150932489573329e+01,1.593141930715279209e+00,4.592648871588157249e+02,2.882761907802010910e+02,5.600000000000000000e+01
1.286150932489573329e+01,1.593141930715278987e+00,2.882761907802010342e+02,4.592648871588156112e+02,5.600000000000000000e+01
1.311333575095583903e+01,1.530647517559971860e+00,4.652901007657713990e+02,3.039825272819815041e+02,5.500000000000000000e+01
1.311333575095583903e+01,1.530647517559969417e+00,3.039825272819818451e+02,4.652901007657711716e+02,5.500000000000000000e+01
1.311333575095583903e+01,1.530647517559972082e+00,4.652901007657715695e+02,3.039825272819815609e+02,5.500000000000000000e+01
1.311333575095583903e+01,1.530647517559970749e+00,3.039825272819816178e+02,4.652901007657712285e+02,5.500000000000000000e+01
1.295346805550616409e+01,1.515863411792671034e+00,5.156178239658984239e+02,3.401479446991368718e+02,6.200000000000000000e+01
1.295346805550616409e+01,1.515863411792670146e+00,3.401479446991371560e+02,5.156178239658985376e+02,6.200000000000000000e+01
1.295346805550616409e+01,1.515863411792671256e+00,5.156178239658985376e+02,3.401479446991369286e+02,6.200000000000000000e+01
1.295346805550616409e+01,1.515863411792671256e+00,3.401479446991369286e+02,5.156178239658985376e+02,6.200000000000000000e+01
1.296288093694365884e+01,1.927348869819973665e+00,5.552116333564056276e+02,2.880701268205095857e+02,6.500000000000000000e+01
1.296288093694365884e+01,1.927348869819972332e+00,2.880701268205096994e+02,5.552116333564054003e+02,6.500000000000000000e+01
1.296288093694365884e+01,1.927348869819972554e+00,5.552116333564054003e+02,2.880701268205096426e+02,6.500000000000000000e+01
1.296288093694365884e+01,1.927348869819970556e+00,2.880701268205099268e+02,5.552116333564054003e+02,6.500000000000000000e+01
9.129977955940599799e+00,1.631940228464234144e+00,2.546276096550566876e+02,1.560275341056323271e+02,3.900000000000000000e+01
9.129977955940599799e+00,1.631940228464234144e+00,1.560275341056325260e+02,2.546276096550570003e+02,3.900000000000000000e+01
9.129977955940599799e+00,1.631940228464237030e+00,2.546276096550570003e+02,1.560275341056322418e+02,3.900000000000000000e+01
9.129977955940599799e+00,1.631940228464236364e+00,1.560275341056322986e+02,2.546276096550570003e+02,3.900000000000000000e+01
1.334673585451299616e+01,3.184356395672164552e+00,7.164989971755301212e+02,2.250059064209391408e+02,5.700000000000000000e+01
1.334673585451299616e+01,3.184356395672163664e+00,2.250059064209392545e+02,7.164989971755303486e+02,5.700000000000000000e+01
1.334673585451299616e+01,3.184356395672163664e+00,7.164989971755301212e+02,2.250059064209391977e+02,5.700000000000000000e+01
1.334673585451299616e+01,3.184356395672159223e+00,2.250059064209397093e+02,7.164989971755306897e+02,5.700000000000000000e+01
1.569457101707897095e+01,1.642436502798848341e+00,6.668663881830644868e+02,4.060226298226255608e+02,6.300000000000000000e+01
1.569457101707897095e+01,1.642436502798850340e+00,4.060226298226258450e+02,6.668663881830658511e+02,6.300000000000000000e+01
1.569457101707897095e+01,1.642436502798848119e+00,6.668663881830644868e+02,4.060226298226256176e+02,6.300000000000000000e+01
1.569457101707897095e+01,1.642436502798851672e+00,4.060226298226255039e+02,6.668663881830657374e+02,6.300000000000000000e+01
1.507337829846535371e+01,1.487970145851619908e+00,7.723997431240065907e+02,5.190962636430678003e+02,7.100000000000000000e+01
1.507337829846535371e+01,1.487970145851615467e+00,5.190962636430692783e+02,7.723997431240064770e+02,7.100000000000000000e+01
1.507337829846535371e+01,1.487970145851619463e+00,7.723997431240065907e+02,5.190962636430680277e+02,7.100000000000000000e+01
1.507337829846535371e+01,1.487970145851619463e+00,5.190962636430678003e+02,7.723997431240063634e+02,7.100000000000000000e+01
1.414808187924171712e+01,1.543021912701234344e+00,5.420453347326888434e+02,3.512881640052519856e+02,6.200000000000000000e+01
1.414808187924171712e+01,1.543021912701233012e+00,3.512881640052517582e+02,5.420453347326880476e+02,6.200000000000000000e+01
1.414808187924171712e+01,1.543021912701235010e+00,5.420453347326888434e+02,3.512881640052518719e+02,6.200000000000000000e+01
1.414808187924171712e+01,1.543021912701234566e+00,3.512881640052513603e+02,5.420453347326879339e+02,6.200000000000000000e+01
1.239095776119091141e+01,1.897408814879461447e+00,3.919755246120506627e+02,2.065846440356882567e+02,5.700000000000000000e+01
1.239095776119091141e+01,1.897408814879459893e+00,2.065846440356881999e+02,3.919755246120502647e+02,5.700000000000000000e+01
1.239095776119091141e+01,1.897408814879458783e+00,3.919755246120501511e+02,2.065846440356882852e+02,5.700000000000000000e+01
1.239095776119091141e+01,1.897408814879461003e+00,2.065846440356881999e+02,3.919755246120504353e+02,5.700000000000000000e+01
1.453367347277667321e+01,1.189071570372018938e+00,3.492367677009963813e+02,2.937054222831451398e+02,5.000000000000000000e+01
1.453367347277667321e+01,1.189071570372018716e+00,2.937054222831451966e+02,3.492367677009963245e+02,5.000000000000000000e+01
1.453367347277667321e+01,1.189071570372018272e+00,3.492367677009962108e+02,2.937054222831451966e+02,5.000000000000000000e+01
1.453367347277667321e+01,1.189071570372017606e+00,2.937054222831454240e+02,3.492367677009963245e+02,5.000000000000000000e+01
