white,black
7.380000000000000000e+02,6.318000000000000000e+03
7.380000000000000000e+02,6.658000000000000000e+03
7.380000000000000000e+02,6.658000000000000000e+03
7.380000000000000000e+02,6.658000000000000000e+03
1.206000000000000000e+03,1.729000000000000000e+04
1.208000000000000000e+03,1.783600000000000000e+04
1.208000000000000000e+03,1.783600000000000000e+04
1.206000000000000000e+03,1.729000000000000000e+04
8.260000000000000000e+02,7.638000000000000000e+03
8.260000000000000000e+02,8.010000000000000000e+03
8.260000000000000000e+02,8.010000000000000000e+03
8.260000000000000000e+02,8.010000000000000000e+03
9.660000000000000000e+02,9.438000000000000000e+03
9.660000000000000000e+02,9.850000000000000000e+03
9.660000000000000000e+02,1.027000000000000000e+04
9.660000000000000000e+02,9.850000000000000000e+03
7.490000000000000000e+02,5.651000000000000000e+03
7.490000000000000000e+02,5.975000000000000000e+03
7.490000000000000000e+02,6.307000000000000000e+03
7.490000000000000000e+02,5.975000000000000000e+03
8.260000000000000000e+02,6.570000000000000000e+03
8.260000000000000000e+02,6.918000000000000000e+03
8.260000000000000000e+02,6.918000000000000000e+03
8.260000000000000000e+02,6.918000000000000000e+03
9.930000000000000000e+02,9.411000000000000000e+03
9.930000000000000000e+02,9.823000000000000000e+03
9.930000000000000000e+02,9.823000000000000000e+03
9.930000000000000000e+02,9.411000000000000000e+03
6.750000000000000000e+02,6.381000000000000000e+03
6.750000000000000000e+02,6.049000000000000000e+03
6.750000000000000000e+02,5.725000000000000000e+03
6.750000000000000000e+02,6.049000000000000000e+03
9.510000000000000000e+02,9.049000000000000000e+03
9.510000000000000000e+02,9.453000000000000000e+03
9.510000000000000000e+02,9.453000000000000000e+03
9.510000000000000000e+02,9.049000000000000000e+03
8.270000000000000000e+02,5.897000000000000000e+03
8.270000000000000000e+02,6.229000000000000000e+03
8.270000000000000000e+02,6.569000000000000000e+03
8.270000000000000000e+02,6.229000000000000000e+03
8.790000000000000000e+02,1.122100000000000000e+04
8.790000000000000000e+02,1.166500000000000000e+04
8.790000000000000000e+02,1.166500000000000000e+04
8.790000000000000000e+02,1.166500000000000000e+04
1.018000000000000000e+03,7.082000000000000000e+03
1.018000000000000000e+03,7.082000000000000000e+03
1.018000000000000000e+03,7.446000000000000000e+03
1.018000000000000000e+03,7.082000000000000000e+03
8.410000000000000000e+02,7.995000000000000000e+03
8.410000000000000000e+02,7.995000000000000000e+03
8.410000000000000000e+02,8.375000000000000000e+03
8.410000000000000000e+02,7.995000000000000000e+03
7.030000000000000000e+02,6.693000000000000000e+03
6.980000000000000000e+02,6.026000000000000000e+03
6.980000000000000000e+02,6.026000000000000000e+03
6.980000000000000000e+02,6.358000000000000000e+03
1.165000000000000000e+03,1.093500000000000000e+04
1.165000000000000000e+03,1.137900000000000000e+04
1.165000000000000000e+03,1.137900000000000000e+04
1.165000000000000000e+03,1.137900000000000000e+04
8.190000000000000000e+02,8.017000000000000000e+03
8.190000000000000000e+02,8.017000000000000000e+03
8.190000000000000000e+02,8.397000000000000000e+03
8.190000000000000000e+02,8.017000000000000000e+03
8.440000000000000000e+02,9.972000000000000000e+03
8.440000000000000000e+02,9.560000000000000000e+03
8.440000000000000000e+02,9.156000000000000000e+03
8.440000000000000000e+02,9.560000000000000000e+03
9.100000000000000000e+02,7.554000000000000000e+03
9.100000000000000000e+02,7.926000000000000000e+03
9.100000000000000000e+02,7.926000000000000000e+03
9.100000000000000000e+02,7.554000000000000000e+03
8.190000000000000000e+02,8.397000000000000000e+03
8.190000000000000000e+02,8.397000000000000000e+03
8.190000000000000000e+02,8.785000000000000000e+03
8.190000000000000000e+02,8.397000000000000000e+03
8.510000000000000000e+02,7.613000000000000000e+03
8.510000000000000000e+02,7.985000000000000000e+03
8.510000000000000000e+02,7.985000000000000000e+03
8.510000000000000000e+02,7.613000000000000000e+03
1.229000000000000000e+03,9.587000000000000000e+03
1.229000000000000000e+03,9.587000000000000000e+03
1.229000000000000000e+03,9.175000000000000000e+03
1.229000000000000000e+03,9.175000000000000000e+03
7.740000000000000000e+02,6.282000000000000000e+03
7.740000000000000000e+02,6.282000000000000000e+03
7.740000000000000000e+02,5.950000000000000000e+03
7.740000000000000000e+02,5.950000000000000000e+03
8.370000000000000000e+02,5.887000000000000000e+03
8.370000000000000000e+02,6.219000000000000000e+03
8.370000000000000000e+02,5.887000000000000000e+03
8.370000000000000000e+02,5.887000000000000000e+03
8.630000000000000000e+02,7.973000000000000000e+03
8.630000000000000000e+02,7.973000000000000000e+03
8.630000000000000000e+02,7.601000000000000000e+03
8.630000000000000000e+02,7.601000000000000000e+03
8.190000000000000000e+02,6.577000000000000000e+03
8.190000000000000000e+02,6.925000000000000000e+03
8.190000000000000000e+02,6.577000000000000000e+03
8.190000000000000000e+02,6.237000000000000000e+03
5.000000000000000000e+02,3.344000000000000000e+03
5.000000000000000000e+02,3.596000000000000000e+03
5.000000000000000000e+02,3.344000000000000000e+03
5.000000000000000000e+02,3.100000000000000000e+03
8.840000000000000000e+02,5.200000000000000000e+03
8.840000000000000000e+02,5.200000000000000000e+03
8.840000000000000000e+02,4.892000000000000000e+03
8.840000000000000000e+02,4.892000000000000000e+03
7.420000000000000000e+02,5.982000000000000000e+03
7.420000000000000000e+02,5.982000000000000000e+03
7.420000000000000000e+02,5.658000000000000000e+03
7.420000000000000000e+02,5.658000000000000000e+03
7.150000000000000000e+02,6.009000000000000000e+03
7.150000000000000000e+02,6.341000000000000000e+03
7.150000000000000000e+02,6.009000000000000000e+03
7.150000000000000000e+02,5.685000000000000000e+03
7.140000000000000000e+02,5.686000000000000000e+03
7.140000000000000000e+02,6.010000000000000000e+03
7.140000000000000000e+02,5.686000000000000000e+03
7.140000000000000000e+02,5.370000000000000000e+03
1.069000000000000000e+03,8.931000000000000000e+03
1.069000000000000000e+03,8.931000000000000000e+03
1.069000000000000000e+03,8.535000000000000000e+03
1.069000000000000000e+03,8.535000000000000000e+03
6.110000000000000000e+02,5.473000000000000000e+03
6.110000000000000000e+02,5.789000000000000000e+03
6.110000000000000000e+02,5.473000000000000000e+03
6.110000000000000000e+02,5.165000000000000000e+03
1.279000000000000000e+03,8.721000000000000000e+03
1.279000000000000000e+03,8.721000000000000000e+03
1.279000000000000000e+03,8.325000000000000000e+03
1.279000000000000000e+03,8.325000000000000000e+03
7.530000000000000000e+02,4.723000000000000000e+03
7.530000000000000000e+02,5.023000000000000000e+03
7.530000000000000000e+02,4.723000000000000000e+03
7.530000000000000000e+02,4.723000000000000000e+03
6.920000000000000000e+02,4.784000000000000000e+03
6.920000000000000000e+02,5.084000000000000000e+03
6.920000000000000000e+02,4.784000000000000000e+03
6.920000000000000000e+02,4.492000000000000000e+03
6.490000000000000000e+02,5.435000000000000000e+03
6.490000000000000000e+02,5.435000000000000000e+03
6.490000000000000000e+02,5.127000000000000000e+03
6.490000000000000000e+02,5.127000000000000000e+03
7.380000000000000000e+02,7.362000000000000000e+03
7.380000000000000000e+02,7.362000000000000000e+03
7.380000000000000000e+02,7.362000000000000000e+03
7.380000000000000000e+02,7.006000000000000000e+03
6.640000000000000000e+02,6.732000000000000000e+03
6.640000000000000000e+02,6.732000000000000000e+03
6.640000000000000000e+02,6.732000000000000000e+03
6.640000000000000000e+02,6.392000000000000000e+03
6.880000000000000000e+02,7.056000000000000000e+03
6.880000000000000000e+02,7.056000000000000000e+03
6.880000000000000000e+02,6.708000000000000000e+03
6.880000000000000000e+02,6.708000000000000000e+03
7.850000000000000000e+02,6.611000000000000000e+03
7.850000000000000000e+02,6.959000000000000000e+03
7.850000000000000000e+02,6.611000000000000000e+03
7.850000000000000000e+02,6.271000000000000000e+03
5.750000000000000000e+02,2.789000000000000000e+03
5.750000000000000000e+02,3.025000000000000000e+03
5.750000000000000000e+02,2.789000000000000000e+03
5.750000000000000000e+02,2.561000000000000000e+03
7.880000000000000000e+02,4.988000000000000000e+03
7.880000000000000000e+02,4.988000000000000000e+03
7.880000000000000000e+02,5.296000000000000000e+03
7.880000000000000000e+02,4.988000000000000000e+03
5.390000000000000000e+02,2.597000000000000000e+03
5.390000000000000000e+02,2.825000000000000000e+03
5.390000000000000000e+02,2.825000000000000000e+03
5.390000000000000000e+02,2.597000000000000000e+03
5.880000000000000000e+02,4.596000000000000000e+03
5.880000000000000000e+02,4.888000000000000000e+03
5.880000000000000000e+02,4.888000000000000000e+03
5.880000000000000000e+02,4.596000000000000000e+03
8.210000000000000000e+02,5.263000000000000000e+03
8.210000000000000000e+02,5.263000000000000000e+03
8.210000000000000000e+02,5.263000000000000000e+03
8.210000000000000000e+02,4.955000000000000000e+03
8.200000000000000000e+02,8.016000000000000000e+03
8.200000000000000000e+02,8.396000000000000000e+03
8.200000000000000000e+02,8.396000000000000000e+03
8.200000000000000000e+02,8.016000000000000000e+03
6.230000000000000000e+02,4.853000000000000000e+03
6.230000000000000000e+02,5.153000000000000000e+03
6.230000000000000000e+02,5.153000000000000000e+03
6.230000000000000000e+02,4.853000000000000000e+03
7.410000000000000000e+02,3.883000000000000000e+03
7.410000000000000000e+02,4.159000000000000000e+03
7.410000000000000000e+02,4.159000000000000000e+03
7.410000000000000000e+02,4.159000000000000000e+03
5.720000000000000000e+02,3.524000000000000000e+03
5.720000000000000000e+02,3.784000000000000000e+03
5.720000000000000000e+02,4.052000000000000000e+03
5.720000000000000000e+02,3.784000000000000000e+03
4.740000000000000000e+02,2.026000000000000000e+03
4.740000000000000000e+02,2.230000000000000000e+03
4.740000000000000000e+02,2.230000000000000000e+03
4.740000000000000000e+02,2.026000000000000000e+03
5.040000000000000000e+02,3.096000000000000000e+03
5.040000000000000000e+02,3.340000000000000000e+03
5.040000000000000000e+02,3.340000000000000000e+03
5.040000000000000000e+02,3.096000000000000000e+03
6.800000000000000000e+02,3.676000000000000000e+03
6.800000000000000000e+02,3.944000000000000000e+03
6.800000000000000000e+02,3.676000000000000000e+03
6.800000000000000000e+02,3.676000000000000000e+03
5.660000000000000000e+02,3.278000000000000000e+03
5.660000000000000000e+02,3.530000000000000000e+03
5.660000000000000000e+02,3.530000000000000000e+03
5.660000000000000000e+02,3.278000000000000000e+03
5.320000000000000000e+02,3.068000000000000000e+03
5.320000000000000000e+02,3.312000000000000000e+03
5.320000000000000000e+02,3.312000000000000000e+03
5.320000000000000000e+02,3.068000000000000000e+03
6.650000000000000000e+02,5.419000000000000000e+03
6.650000000000000000e+02,5.735000000000000000e+03
6.650000000000000000e+02,6.059000000000000000e+03
6.650000000000000000e+02,5.735000000000000000e+03
9.580000000000000000e+02,7.142000000000000000e+03
9.430000000000000000e+02,7.157000000000000000e+03
9.430000000000000000e+02,7.157000000000000000e+03
9.530000000000000000e+02,7.147000000000000000e+03
6.790000000000000000e+02,3.165000000000000000e+03
6.790000000000000000e+02,3.417000000000000000e+03
6.790000000000000000e+02,3.417000000000000000e+03
6.790000000000000000e+02,3.165000000000000000e+03
5.880000000000000000e+02,3.256000000000000000e+03
5.880000000000000000e+02,3.508000000000000000e+03
5.880000000000000000e+02,3.256000000000000000e+03
5.880000000000000000e+02,3.012000000000000000e+03
6.450000000000000000e+02,7.099000000000000000e+03
6.450000000000000000e+02,7.455000000000000000e+03
6.450000000000000000e+02,7.455000000000000000e+03
6.450000000000000000e+02,7.099000000000000000e+03
5.840000000000000000e+02,2.552000000000000000e+03
5.840000000000000000e+02,2.780000000000000000e+03
5.840000000000000000e+02,2.780000000000000000e+03
5.840000000000000000e+02,2.552000000000000000e+03
9.530000000000000000e+02,3.947000000000000000e+03
9.530000000000000000e+02,4.231000000000000000e+03
9.530000000000000000e+02,4.231000000000000000e+03
9.530000000000000000e+02,3.947000000000000000e+03
7.130000000000000000e+02,5.371000000000000000e+03
7.130000000000000000e+02,5.063000000000000000e+03
7.130000000000000000e+02,4.763000000000000000e+03
7.130000000000000000e+02,5.063000000000000000e+03
4.870000000000000000e+02,1.449000000000000000e+03
4.870000000000000000e+02,1.449000000000000000e+03
4.870000000000000000e+02,1.449000000000000000e+03
4.870000000000000000e+02,1.277000000000000000e+03
6.330000000000000000e+02,2.503000000000000000e+03
6.330000000000000000e+02,2.283000000000000000e+03
6.330000000000000000e+02,2.283000000000000000e+03
6.330000000000000000e+02,2.503000000000000000e+03
7.140000000000000000e+02,2.650000000000000000e+03
7.140000000000000000e+02,2.422000000000000000e+03
7.140000000000000000e+02,2.650000000000000000e+03
7.140000000000000000e+02,2.886000000000000000e+03
6.780000000000000000e+02,2.686000000000000000e+03
6.780000000000000000e+02,2.458000000000000000e+03
6.780000000000000000e+02,2.238000000000000000e+03
6.780000000000000000e+02,2.458000000000000000e+03
6.350000000000000000e+02,2.729000000000000000e+03
6.350000000000000000e+02,2.501000000000000000e+03
6.350000000000000000e+02,2.281000000000000000e+03
6.350000000000000000e+02,2.501000000000000000e+03
6.120000000000000000e+02,2.988000000000000000e+03
6.120000000000000000e+02,2.988000000000000000e+03
6.120000000000000000e+02,2.752000000000000000e+03
6.120000000000000000e+02,2.988000000000000000e+03
6.350000000000000000e+02,2.281000000000000000e+03
6.350000000000000000e+02,2.501000000000000000e+03
6.350000000000000000e+02,2.501000000000000000e+03
6.350000000000000000e+02,2.281000000000000000e+03
6.330000000000000000e+02,2.071000000000000000e+03
6.330000000000000000e+02,1.867000000000000000e+03
6.330000000000000000e+02,1.867000000000000000e+03
6.330000000000000000e+02,1.867000000000000000e+03
7.420000000000000000e+02,2.858000000000000000e+03
7.420000000000000000e+02,2.858000000000000000e+03
7.420000000000000000e+02,2.622000000000000000e+03
7.420000000000000000e+02,2.622000000000000000e+03
5.360000000000000000e+02,1.580000000000000000e+03
5.360000000000000000e+02,1.400000000000000000e+03
5.360000000000000000e+02,1.400000000000000000e+03
5.360000000000000000e+02,1.580000000000000000e+03
7.280000000000000000e+02,3.628000000000000000e+03
7.280000000000000000e+02,3.368000000000000000e+03
7.280000000000000000e+02,3.116000000000000000e+03
7.280000000000000000e+02,3.368000000000000000e+03
6.920000000000000000e+02,2.908000000000000000e+03
6.920000000000000000e+02,2.908000000000000000e+03
6.920000000000000000e+02,3.152000000000000000e+03
6.920000000000000000e+02,3.152000000000000000e+03
9.310000000000000000e+02,2.433000000000000000e+03
9.310000000000000000e+02,2.205000000000000000e+03
9.310000000000000000e+02,2.205000000000000000e+03
9.310000000000000000e+02,2.205000000000000000e+03
5.640000000000000000e+02,1.936000000000000000e+03
5.640000000000000000e+02,1.936000000000000000e+03
5.640000000000000000e+02,2.140000000000000000e+03
5.640000000000000000e+02,1.936000000000000000e+03
7.920000000000000000e+02,3.304000000000000000e+03
7.920000000000000000e+02,3.052000000000000000e+03
7.920000000000000000e+02,3.052000000000000000e+03
7.920000000000000000e+02,3.304000000000000000e+03
6.040000000000000000e+02,1.700000000000000000e+03
6.040000000000000000e+02,1.700000000000000000e+03
6.040000000000000000e+02,1.700000000000000000e+03
6.040000000000000000e+02,1.700000000000000000e+03
8.250000000000000000e+02,3.271000000000000000e+03
8.250000000000000000e+02,3.531000000000000000e+03
8.250000000000000000e+02,3.531000000000000000e+03
8.250000000000000000e+02,3.531000000000000000e+03
6.220000000000000000e+02,1.878000000000000000e+03
6.220000000000000000e+02,1.682000000000000000e+03
