Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn
6.793306619059958251e+00,8.704956678769995904e+00,4.879413585833157185e+01,4.247508388247940161e+02,3.300000000000000000e+01
6.793306619059958251e+00,8.704956678770010114e+00,4.247508388247940161e+02,4.879413585833150080e+01,3.300000000000000000e+01
6.793306619059958251e+00,8.704956678770018996e+00,4.879413585833145817e+01,4.247508388247940729e+02,3.300000000000000000e+01
6.793306619059958251e+00,8.704956678770006562e+00,4.247508388247939024e+02,4.879413585833150080e+01,3.300000000000000000e+01
8.115913966831373116e+00,5.618387736188868331e+00,1.508770657227449874e+02,8.476858557288322800e+02,3.800000000000000000e+01
8.115913966831373116e+00,5.618387736188889647e+00,8.476858557288326210e+02,1.508770657227444758e+02,3.800000000000000000e+01
8.115913966831373116e+00,5.618387736188898529e+00,1.508770657227441916e+02,8.476858557288323937e+02,3.800000000000000000e+01
8.115913966831373116e+00,5.618387736188886983e+00,8.476858557288323937e+02,1.508770657227445042e+02,3.800000000000000000e+01
7.285770321625051338e+00,5.670671258931323955e+00,8.777147916137892025e+01,4.977232042343210878e+02,3.200000000000000000e+01
7.285770321625051338e+00,5.670671258931314185e+00,4.977232042343212015e+02,8.777147916137909078e+01,3.200000000000000000e+01
7.285770321625051338e+00,5.670671258931317738e+00,8.777147916137903394e+01,4.977232042343211447e+02,3.200000000000000000e+01
7.285770321625051338e+00,5.670671258931314185e+00,4.977232042343213152e+02,8.777147916137911920e+01,3.200000000000000000e+01
8.488346009902684841e+00,6.393346299597588711e+00,9.875537139260882213e+01,6.313772882583211867e+02,3.800000000000000000e+01
8.488346009902684841e+00,6.393346299597601146e+00,6.313772882583209594e+02,9.875537139260859476e+01,3.800000000000000000e+01
8.488346009902684841e+00,6.393346299597608251e+00,9.875537139260848107e+01,6.313772882583209594e+02,3.800000000000000000e+01
8.488346009902684841e+00,6.393346299597611804e+00,6.313772882583209594e+02,9.875537139260842423e+01,3.800000000000000000e+01
6.800633346040807048e+00,1.060879851767747795e+01,3.985235282132094881e+01,4.227855815367895502e+02,2.800000000000000000e+01
6.800633346040807048e+00,1.060879851767751525e+01,4.227855815367895502e+02,3.985235282132080670e+01,2.800000000000000000e+01
6.800633346040807048e+00,1.060879851767755078e+01,3.985235282132066459e+01,4.227855815367894365e+02,2.800000000000000000e+01
6.800633346040807048e+00,1.060879851767755611e+01,4.227855815367893229e+02,3.985235282132063617e+01,2.800000000000000000e+01
7.338854082910544641e+00,8.405877408653712024e+00,6.146752805072122783e+01,5.166885054073459287e+02,2.800000000000000000e+01
7.338854082910544641e+00,8.405877408653704919e+00,5.166885054073459287e+02,6.146752805072128467e+01,2.800000000000000000e+01
7.338854082910544641e+00,8.405877408653690708e+00,6.146752805072139836e+01,5.166885054073460424e+02,2.800000000000000000e+01
7.338854082910544641e+00,8.405877408653671168e+00,5.166885054073458150e+02,6.146752805072151205e+01,2.800000000000000000e+01
9.373312569889449719e+00,7.865298536387347994e+00,9.128623622304490937e+01,7.179935001574248190e+02,5.000000000000000000e+01
9.373312569889449719e+00,7.865298536387332007e+00,7.179935001574253874e+02,9.128623622304516516e+01,5.000000000000000000e+01
9.373312569889449719e+00,7.865298536387337336e+00,9.128623622304502305e+01,7.179935001574248190e+02,5.000000000000000000e+01
9.373312569889449719e+00,7.865298536387340889e+00,7.179935001574248190e+02,9.128623622304499463e+01,5.000000000000000000e+01
6.510616097962903304e+00,8.643183646341848103e+00,3.766171726190834192e+02,4.357389453115268907e+01,2.200000000000000000e+01
6.510616097962903304e+00,8.643183646341801918e+00,4.357389453115294486e+01,3.766171726190835898e+02,2.200000000000000000e+01
6.510616097962903304e+00,8.643183646341803694e+00,3.766171726190837035e+02,4.357389453115294486e+01,2.200000000000000000e+01
6.510616097962903304e+00,8.643183646341839221e+00,4.357389453115274591e+01,3.766171726190835329e+02,2.200000000000000000e+01
7.835243034359995917e+00,1.144580370817367587e+01,5.774203137114773199e+01,6.609039567853634480e+02,3.700000000000000000e+01
7.835243034359995917e+00,1.144580370817365633e+01,6.609039567853635617e+02,5.774203137114784568e+01,3.700000000000000000e+01
