white,black
7.620000000000000000e+02,3.334000000000000000e+03
7.620000000000000000e+02,3.594000000000000000e+03
7.620000000000000000e+02,3.594000000000000000e+03
7.620000000000000000e+02,3.594000000000000000e+03
1.090000000000000000e+03,6.306000000000000000e+03
1.090000000000000000e+03,6.654000000000000000e+03
1.090000000000000000e+03,6.654000000000000000e+03
1.090000000000000000e+03,6.654000000000000000e+03
9.310000000000000000e+02,5.793000000000000000e+03
9.310000000000000000e+02,5.469000000000000000e+03
9.310000000000000000e+02,5.469000000000000000e+03
9.310000000000000000e+02,5.793000000000000000e+03
7.540000000000000000e+02,4.146000000000000000e+03
7.540000000000000000e+02,3.870000000000000000e+03
7.540000000000000000e+02,4.146000000000000000e+03
7.540000000000000000e+02,4.430000000000000000e+03
8.750000000000000000e+02,5.849000000000000000e+03
8.750000000000000000e+02,5.849000000000000000e+03
8.750000000000000000e+02,6.181000000000000000e+03
8.750000000000000000e+02,6.181000000000000000e+03
7.390000000000000000e+02,4.445000000000000000e+03
7.390000000000000000e+02,4.737000000000000000e+03
7.390000000000000000e+02,4.737000000000000000e+03
7.390000000000000000e+02,4.737000000000000000e+03
8.680000000000000000e+02,4.608000000000000000e+03
8.680000000000000000e+02,4.608000000000000000e+03
8.680000000000000000e+02,4.608000000000000000e+03
8.680000000000000000e+02,4.908000000000000000e+03
9.630000000000000000e+02,6.433000000000000000e+03
9.630000000000000000e+02,6.781000000000000000e+03
9.630000000000000000e+02,6.781000000000000000e+03
9.630000000000000000e+02,6.781000000000000000e+03
7.710000000000000000e+02,4.413000000000000000e+03
7.710000000000000000e+02,4.129000000000000000e+03
7.710000000000000000e+02,4.413000000000000000e+03
7.710000000000000000e+02,4.705000000000000000e+03
9.900000000000000000e+02,7.474000000000000000e+03
9.900000000000000000e+02,7.846000000000000000e+03
9.900000000000000000e+02,8.226000000000000000e+03
9.900000000000000000e+02,7.846000000000000000e+03
9.360000000000000000e+02,5.788000000000000000e+03
9.360000000000000000e+02,6.120000000000000000e+03
9.360000000000000000e+02,6.120000000000000000e+03
9.360000000000000000e+02,6.120000000000000000e+03
9.850000000000000000e+02,5.099000000000000000e+03
9.850000000000000000e+02,5.415000000000000000e+03
9.850000000000000000e+02,5.415000000000000000e+03
9.850000000000000000e+02,5.415000000000000000e+03
9.510000000000000000e+02,1.250500000000000000e+04
9.510000000000000000e+02,1.204500000000000000e+04
9.510000000000000000e+02,1.204500000000000000e+04
9.510000000000000000e+02,1.250500000000000000e+04
8.590000000000000000e+02,5.541000000000000000e+03
8.590000000000000000e+02,5.865000000000000000e+03
8.590000000000000000e+02,6.197000000000000000e+03
8.590000000000000000e+02,5.865000000000000000e+03
8.600000000000000000e+02,4.040000000000000000e+03
